GeneID	Chr	Start	End	Strand
OG_70	OKXB01000124	2	4027	-
OG_291	OKXB01000124	4035	5225	-
OG_70	OKXB01000124	5229	6725	-
OG_47	OKXB01000124	6722	9088	-
OG_64	OKXB01000124	9189	12548	-
OG_1859	OKXB01000124	12529	12849	-
OG_407	OKXB01000124	12827	13387	-
OG_596	OKXB01000124	13387	13785	-
OG_749	OKXB01000124	13724	14041	-
OG_819	OKXB01000124	14031	14417	-
OG_597	OKXB01000124	14404	14754	-
OG_598	OKXB01000124	14751	14942	-
OG_664	OKXB01000124	14955	15107	-
OG_1860	OKXB01000124	15210	15605	-
OG_673	OKXB01000124	15596	16045	-
OG_793	OKXB01000124	16054	16245	-
OG_599	OKXB01000124	16537	16962	-
OG_68	OKXB01000124	16959	18455	-
OG_160	OKXB01000124	18472	18981	-
OG_1874	OKXB01000124	19072	19197	-
OG_1861	OKXB01000124	20024	20356	+
OG_1862	OKXB01000124	20924	21310	+
OG_1875	OKXB01000124	21389	21619	-
OG_1857	OKXB01000124	22456	22989	+
OG_390	OKXB01000124	22934	24088	+
OG_161	OKXB01000124	24085	24675	+
OG_1863	OKXB01000124	24672	24824	+
OG_441	OKXB01000124	24821	26014	+
OG_1097	OKXB01000124	26002	26679	+
OG_610	OKXB01000124	26739	27146	+
OG_585	OKXB01000124	27166	28029	+
OG_323	OKXB01000124	28045	29076	+
OG_589	OKXB01000124	29102	29785	+
OG_1465	OKXB01000124	29782	30903	+
OG_1099	OKXB01000124	30953	31840	+
OG_1098	OKXB01000124	31837	32532	+
OG_1864	OKXB01000124	32532	33104	+
OG_1096	OKXB01000124	33091	33804	+
OG_74	OKXB01000124	33770	34264	+
OG_1865	OKXB01000124	34261	34479	+
OG_275	OKXB01000124	34605	35633	+
OG_211	OKXB01000124	35630	36094	+
OG_593	OKXB01000124	36132	36641	+
OG_417	OKXB01000124	36622	38145	+
OG_417	OKXB01000124	38608	39141	+
OG_356	OKXB01000124	39618	40316	+
OG_417	OKXB01000124	40382	40528	+
OG_1866	OKXB01000124	40516	40833	+
OG_601	OKXB01000124	40866	41093	+
OG_1867	OKXB01000124	41329	41562	+
OG_332	OKXB01000124	41570	42040	+
OG_1876	OKXB01000124	42112	42534	+
OG_332	OKXB01000124	42567	42701	+
OG_250	OKXB01000124	42720	43109	+
OG_250	OKXB01000124	43120	43596	+
OG_1868	OKXB01000124	43596	43697	+
OG_1869	OKXB01000124	43639	44286	+
OG_62	OKXB01000124	44319	48314	-
OG_62	OKXB01000124	48316	55059	-
OG_62	OKXB01000124	55092	62516	-
OG_594	OKXB01000124	62522	64162	-
OG_229	OKXB01000124	64167	66617	-
OG_408	OKXB01000124	66732	71165	-
OG_583	OKXB01000124	71168	71875	-
OG_351	OKXB01000124	71839	72390	-
OG_393	OKXB01000124	72374	73096	-
OG_1870	OKXB01000124	73099	73659	-
OG_70	OKXB01000124	73663	75420	-
OG_1871	OKXB01000124	75456	76577	-
OG_1872	OKXB01000124	76638	77036	-
OG_162	OKXB01000124	77046	77384	-
OG_595	OKXB01000124	77377	77943	-
OG_1152	OKXB01000124	78029	79069	-
OG_414	OKXB01000124	79082	79780	-
OG_446	OKXB01000124	79785	80840	-
OG_1038	OKXB01000124	80887	81162	-
OG_317	OKXB01000124	81318	81923	-
OG_1038	OKXB01000124	82034	82954	-
OG_317	OKXB01000124	83080	83658	-
OG_1038	OKXB01000124	83734	84051	-
OG_376	OKXB01000124	84434	85618	-
OG_420	OKXB01000124	85766	86410	-
OG_278	OKXB01000124	86407	86796	-
OG_425	OKXB01000124	86793	87299	-
OG_37	OKXB01000124	87360	88196	-
UG_452	OKXB01000124	88221	88394	+
OG_225	OKXB01000124	88591	88971	-
OG_180	OKXB01000124	88913	89326	-
OG_1156	OKXB01000124	89637	90050	-
OG_252	OKXB01000124	90013	90429	-
OG_191	OKXB01000124	90465	91082	-
OG_1873	OKXB01000124	91159	91572	-
OG_2132	OKXB01000124	91601	91939	-
OG_70	OKXB01000124	92204	92866	-
