GeneID	Chr	Start	End	Strand
OG_1039	OLFZ01000108	3	65	-
OG_431	OLFZ01000108	82	1392	-
OG_47	OLFZ01000108	1764	4196	-
OG_1471	OLFZ01000108	4193	4459	-
OG_64	OLFZ01000108	4462	6759	-
OG_3420	OLFZ01000108	7118	7453	-
OG_4767	OLFZ01000108	7450	8064	-
OG_429	OLFZ01000108	8080	9078	-
OG_407	OLFZ01000108	9075	9794	-
OG_547	OLFZ01000108	9751	10296	-
OG_157	OLFZ01000108	10302	10943	-
OG_3199	OLFZ01000108	11721	11936	+
OG_705	OLFZ01000108	12412	13101	+
OG_684	OLFZ01000108	13319	13534	+
OG_3643	OLFZ01000108	14587	14760	+
OG_3169	OLFZ01000108	14757	14948	+
OG_3198	OLFZ01000108	14981	15898	+
OG_685	OLFZ01000108	15973	16125	+
OG_263	OLFZ01000108	16142	16528	+
OG_262	OLFZ01000108	16671	17210	+
OG_686	OLFZ01000108	17642	17962	+
OG_2136	OLFZ01000108	17981	18133	+
OG_687	OLFZ01000108	18111	18422	+
OG_688	OLFZ01000108	18424	18675	+
OG_542	OLFZ01000108	18680	19045	+
OG_434	OLFZ01000108	19035	19532	+
OG_253	OLFZ01000108	19806	20654	+
OG_434	OLFZ01000108	20690	21658	+
OG_717	OLFZ01000108	21672	23867	+
OG_724	OLFZ01000108	23872	24105	+
OG_218	OLFZ01000108	24102	25568	+
OG_3862	OLFZ01000108	25642	26556	+
OG_1980	OLFZ01000108	26674	27429	+
OG_2687	OLFZ01000108	27606	28649	+
OG_323	OLFZ01000108	28724	29857	+
OG_680	OLFZ01000108	29850	30389	+
OG_430	OLFZ01000108	30361	30843	+
OG_245	OLFZ01000108	30840	32105	+
OG_539	OLFZ01000108	32062	32415	+
OG_689	OLFZ01000108	32771	33049	+
OG_317	OLFZ01000108	33036	33368	+
OG_2141	OLFZ01000108	33358	33636	+
OG_690	OLFZ01000108	33638	33937	+
OG_699	OLFZ01000108	33927	34103	+
OG_3745	OLFZ01000108	34216	34392	+
OG_691	OLFZ01000108	34373	34642	+
OG_692	OLFZ01000108	34614	34784	+
OG_228	OLFZ01000108	34774	35547	+
OG_534	OLFZ01000108	35549	35653	+
OG_353	OLFZ01000108	35656	36744	+
OG_693	OLFZ01000108	36735	36887	+
OG_694	OLFZ01000108	36878	37123	+
OG_3957	OLFZ01000108	37107	37301	+
OG_211	OLFZ01000108	37294	37959	+
OG_326	OLFZ01000108	37996	38463	+
OG_3819	OLFZ01000108	38466	38738	+
OG_695	OLFZ01000108	38722	38859	+
OG_696	OLFZ01000108	38923	39105	+
OG_618	OLFZ01000108	39551	40042	+
OG_62	OLFZ01000108	40139	52522	-
OG_314	OLFZ01000108	52692	58751	-
OG_1794	OLFZ01000108	58755	61523	-
OG_436	OLFZ01000108	61541	63211	-
OG_415	OLFZ01000108	63208	67071	-
OG_584	OLFZ01000108	67071	67802	-
OG_361	OLFZ01000108	67756	68727	-
OG_464	OLFZ01000108	68730	69422	-
OG_156	OLFZ01000108	69772	70131	-
OG_697	OLFZ01000108	70133	70300	-
OG_420	OLFZ01000108	70410	71066	-
OG_278	OLFZ01000108	71074	71445	-
OG_425	OLFZ01000108	71445	71960	-
OG_37	OLFZ01000108	71988	72704	-
OG_231	OLFZ01000108	72907	73218	-
OG_698	OLFZ01000108	73224	73322	-
OG_322	OLFZ01000108	73323	77579	-
OG_28	OLFZ01000108	77569	77847	-
OG_224	OLFZ01000108	77995	85863	-
OG_176	OLFZ01000108	85866	89327	-
OG_120	OLFZ01000108	89329	90297	-
OG_185	OLFZ01000108	90294	90512	-
OG_2390	OLFZ01000108	90512	91102	-
OG_1151	OLFZ01000108	91195	92079	-
OG_439	OLFZ01000108	92081	92734	-
OG_410	OLFZ01000108	92747	93901	-
OG_1038	OLFZ01000108	93928	95391	-
