GeneID	Chr	Start	End	Strand
OG_225	ERR844030_ms_2	30	362	-
OG_180	ERR844030_ms_2	319	693	-
OG_1156	ERR844030_ms_2	860	1324	-
OG_252	ERR844030_ms_2	1272	1649	-
OG_253	ERR844030_ms_2	1689	2324	-
OG_191	ERR844030_ms_2	2321	2938	-
OG_291	ERR844030_ms_2	3090	5426	-
OG_291	ERR844030_ms_2	5447	8428	-
OG_70	ERR844030_ms_2	8444	9631	-
OG_47	ERR844030_ms_2	9634	12042	-
OG_64	ERR844030_ms_2	12142	15438	-
OG_638	ERR844030_ms_2	15410	15763	-
OG_407	ERR844030_ms_2	15766	16305	-
OG_73	ERR844030_ms_2	16341	16859	-
OG_596	ERR844030_ms_2	16852	17271	-
OG_326	ERR844030_ms_2	17273	17617	-
OG_749	ERR844030_ms_2	17614	17883	-
OG_819	ERR844030_ms_2	17880	18260	-
OG_597	ERR844030_ms_2	18270	18602	-
OG_598	ERR844030_ms_2	18630	18851	-
OG_1158	ERR844030_ms_2	18820	19149	-
OG_664	ERR844030_ms_2	19157	19354	-
OG_673	ERR844030_ms_2	19636	20082	-
OG_473	ERR844030_ms_2	20596	21132	-
OG_2013	ERR844030_ms_2	21971	22417	-
OG_4498	ERR844030_ms_2	22410	22505	-
OG_599	ERR844030_ms_2	23270	23671	-
OG_622	ERR844030_ms_2	24167	24427	+
OG_4499	ERR844030_ms_2	24904	25056	+
OG_4497	ERR844030_ms_2	25400	25591	+
OG_1157	ERR844030_ms_2	25685	25900	+
OG_1736	ERR844030_ms_2	26107	26343	+
OG_52	ERR844030_ms_2	26340	26783	+
OG_1466	ERR844030_ms_2	27300	27443	+
OG_1466	ERR844030_ms_2	27483	27608	+
OG_607	ERR844030_ms_2	27646	28068	+
OG_1168	ERR844030_ms_2	28171	28725	+
OG_608	ERR844030_ms_2	28727	28912	+
OG_354	ERR844030_ms_2	28909	29661	+
OG_450	ERR844030_ms_2	29732	29917	+
OG_1208	ERR844030_ms_2	29907	30692	+
OG_1174	ERR844030_ms_2	30689	31027	+
OG_1617	ERR844030_ms_2	31024	31515	+
OG_390	ERR844030_ms_2	31493	32632	+
OG_161	ERR844030_ms_2	32629	33228	+
OG_441	ERR844030_ms_2	33231	33404	+
OG_253	ERR844030_ms_2	33470	34111	+
OG_441	ERR844030_ms_2	34308	35378	+
OG_1097	ERR844030_ms_2	35402	36172	+
OG_609	ERR844030_ms_2	36165	36452	+
OG_611	ERR844030_ms_2	36470	36958	+
OG_317	ERR844030_ms_2	36995	37492	+
OG_585	ERR844030_ms_2	37494	38441	+
OG_323	ERR844030_ms_2	38465	39502	+
OG_317	ERR844030_ms_2	39533	40072	+
OG_589	ERR844030_ms_2	40105	40830	+
OG_1465	ERR844030_ms_2	40900	42201	+
OG_1099	ERR844030_ms_2	42140	43357	+
OG_1098	ERR844030_ms_2	43354	44274	+
OG_600	ERR844030_ms_2	44274	45044	+
OG_1096	ERR844030_ms_2	45041	45718	+
OG_658	ERR844030_ms_2	45735	46289	+
OG_74	ERR844030_ms_2	46279	47196	+
OG_423	ERR844030_ms_2	47186	47503	+
OG_275	ERR844030_ms_2	47503	48552	+
OG_40	ERR844030_ms_2	48549	50750	+
OG_211	ERR844030_ms_2	50698	51276	+
OG_593	ERR844030_ms_2	51300	51797	+
OG_630	ERR844030_ms_2	51797	52066	+
OG_417	ERR844030_ms_2	52076	54397	+
OG_219	ERR844030_ms_2	54399	54701	+
OG_299	ERR844030_ms_2	54694	54933	+
OG_1159	ERR844030_ms_2	55046	55321	+
UG_35	ERR844030_ms_2	55373	55462	+
OG_603	ERR844030_ms_2	55462	55671	+
OG_601	ERR844030_ms_2	55664	56020	+
OG_460	ERR844030_ms_2	56036	56287	+
OG_312	ERR844030_ms_2	56274	57272	+
OG_196	ERR844030_ms_2	57279	57416	+
OG_194	ERR844030_ms_2	57520	57864	+
OG_62	ERR844030_ms_2	58258	66042	+
OG_62	ERR844030_ms_2	66046	70101	+
OG_317	ERR844030_ms_2	70216	70740	+
OG_62	ERR844030_ms_2	70776	78224	-
OG_594	ERR844030_ms_2	78228	80009	-
OG_253	ERR844030_ms_2	80002	80721	-
OG_229	ERR844030_ms_2	80718	82808	-
OG_408	ERR844030_ms_2	82917	87317	-
OG_583	ERR844030_ms_2	87319	88026	-
OG_351	ERR844030_ms_2	88019	88609	-
OG_393	ERR844030_ms_2	88590	89273	-
OG_162	ERR844030_ms_2	89360	89701	-
OG_595	ERR844030_ms_2	89694	90299	-
OG_1152	ERR844030_ms_2	90357	91412	-
OG_414	ERR844030_ms_2	91442	92116	-
OG_446	ERR844030_ms_2	92116	93141	-
OG_1038	ERR844030_ms_2	93210	94721	-
OG_376	ERR844030_ms_2	94764	95924	-
OG_420	ERR844030_ms_2	96077	96697	-
OG_278	ERR844030_ms_2	96702	97082	-
OG_37	ERR844030_ms_2	97085	97942	-
OG_427	ERR844030_ms_2	98113	98439	-
UG_36	ERR844030_ms_2	98420	98527	-
