GeneID	Chr	Start	End	Strand
OG_322	OMAL01000049	1	2031	+
OG_231	OMAL01000049	2037	2309	+
OG_70	OMAL01000049	2311	3798	+
OG_70	OMAL01000049	3805	5511	+
OG_70	OMAL01000049	5531	6064	+
OG_70	OMAL01000049	6066	7343	+
OG_124	OMAL01000049	7606	8628	+
OG_896	OMAL01000049	8731	9351	+
OG_191	OMAL01000049	9353	9967	+
OG_319	OMAL01000049	10001	10600	+
OG_268	OMAL01000049	10633	11481	+
OG_352	OMAL01000049	11501	11923	+
OG_304	OMAL01000049	11967	12533	+
OG_456	OMAL01000049	12667	13323	+
OG_351	OMAL01000049	13320	13769	+
OG_583	OMAL01000049	13773	14681	+
OG_408	OMAL01000049	14681	18775	+
OG_445	OMAL01000049	18775	20925	+
OG_125	OMAL01000049	20928	22724	+
OG_62	OMAL01000049	22726	36540	+
OG_130	OMAL01000049	36543	40871	+
OG_1030	OMAL01000049	40937	41419	-
OG_275	OMAL01000049	41397	42371	-
OG_906	OMAL01000049	42368	42490	-
OG_32	OMAL01000049	42487	43272	-
OG_74	OMAL01000049	43285	43665	-
OG_4547	OMAL01000049	43669	43956	-
OG_323	OMAL01000049	43960	45048	-
OG_416	OMAL01000049	45181	45807	-
OG_306	OMAL01000049	45828	46571	-
OG_770	OMAL01000049	46655	47083	-
OG_448	OMAL01000049	47097	47753	-
OG_356	OMAL01000049	48005	48601	-
OG_448	OMAL01000049	48611	48964	-
OG_338	OMAL01000049	48945	49511	-
OG_717	OMAL01000049	49567	51516	-
OG_852	OMAL01000049	51666	52298	-
OG_1724	OMAL01000049	52324	53094	-
OG_175	OMAL01000049	53148	53651	-
OG_234	OMAL01000049	53861	54442	-
OG_234	OMAL01000049	54448	55128	-
OG_909	OMAL01000049	55415	55672	+
OG_845	OMAL01000049	57135	57560	-
OG_184	OMAL01000049	57547	57960	-
OG_362	OMAL01000049	58025	59554	-
OG_846	OMAL01000049	59620	59988	-
OG_841	OMAL01000049	60000	60563	-
OG_758	OMAL01000049	60614	60994	-
OG_840	OMAL01000049	60988	61467	-
OG_754	OMAL01000049	61585	61926	-
OG_753	OMAL01000049	62764	63225	-
OG_4548	OMAL01000049	63255	63416	-
OG_847	OMAL01000049	63451	63687	-
OG_203	OMAL01000049	63922	64071	-
OG_854	OMAL01000049	64062	64160	-
OG_283	OMAL01000049	64163	64633	-
OG_848	OMAL01000049	64639	64887	-
OG_349	OMAL01000049	65329	65826	-
OG_856	OMAL01000049	65830	66078	-
OG_171	OMAL01000049	66106	66414	-
OG_4374	OMAL01000049	66509	66745	-
OG_587	OMAL01000049	66948	67349	-
OG_2791	OMAL01000049	68076	68240	-
OG_1033	OMAL01000049	68258	68449	-
OG_4373	OMAL01000049	68640	68909	-
OG_266	OMAL01000049	68997	69704	-
OG_865	OMAL01000049	70149	70337	+
OG_866	OMAL01000049	70408	70617	+
OG_751	OMAL01000049	70652	71002	+
OG_752	OMAL01000049	71240	71629	+
OG_822	OMAL01000049	71622	72014	+
OG_818	OMAL01000049	71989	72375	+
OG_750	OMAL01000049	72347	72547	+
OG_427	OMAL01000049	72522	72986	+
OG_276	OMAL01000049	72949	73356	+
OG_210	OMAL01000049	73390	73782	+
OG_849	OMAL01000049	73760	74050	+
OG_396	OMAL01000049	74050	74583	+
OG_215	OMAL01000049	74643	74780	+
OG_4372	OMAL01000049	75024	75305	+
OG_64	OMAL01000049	75457	77538	+
OG_47	OMAL01000049	77541	81113	+
OG_813	OMAL01000049	81115	81432	+
OG_288	OMAL01000049	81469	83874	+
OG_898	OMAL01000049	83874	84188	+
OG_106	OMAL01000049	84228	85403	+
OG_317	OMAL01000049	85421	85993	+
OG_1038	OMAL01000049	86005	87474	+
OG_253	OMAL01000049	87545	88630	+
OG_446	OMAL01000049	88655	89407	+
OG_462	OMAL01000049	89407	90105	+
OG_439	OMAL01000049	90123	90770	+
OG_1149	OMAL01000049	90873	91853	+
OG_812	OMAL01000049	91933	92550	+
OG_853	OMAL01000049	92528	92764	+
OG_291	OMAL01000049	92739	95864	+
OG_318	OMAL01000049	95867	96115	+
OG_378	OMAL01000049	96145	96462	+
OG_173	OMAL01000049	96422	96589	+
OG_1471	OMAL01000049	96582	96818	+
OG_1156	OMAL01000049	96809	97270	+
OG_322	OMAL01000049	97288	98811	+
