GeneID	Chr	Start	End	Strand
UG_537	OMAV01000002	213	638	+
UG_538	OMAV01000002	777	1019	+
UG_539	OMAV01000002	1463	2167	-
UG_540	OMAV01000002	2438	2989	-
UG_541	OMAV01000002	3591	4616	+
UG_542	OMAV01000002	4936	5568	-
UG_543	OMAV01000002	6191	6436	+
UG_544	OMAV01000002	6452	6997	+
OG_1515	OMAV01000002	6988	8208	+
OG_288	OMAV01000002	8183	9418	+
UG_545	OMAV01000002	9408	10097	+
UG_546	OMAV01000002	10148	10327	+
OG_2696	OMAV01000002	10331	10624	+
OG_68	OMAV01000002	10906	12525	-
UG_547	OMAV01000002	12522	12665	-
OG_367	OMAV01000002	12823	13596	-
OG_229	OMAV01000002	13602	13835	-
OG_2577	OMAV01000002	13893	14567	+
OG_429	OMAV01000002	14658	16517	+
OG_105	OMAV01000002	16483	17286	+
OG_1215	OMAV01000002	17283	17522	+
OG_951	OMAV01000002	17742	18404	+
OG_949	OMAV01000002	18406	18648	+
OG_29	OMAV01000002	18656	20158	+
OG_396	OMAV01000002	20171	20851	+
OG_64	OMAV01000002	20876	23065	+
OG_1789	OMAV01000002	23091	23735	+
OG_1789	OMAV01000002	23760	24281	+
OG_948	OMAV01000002	24325	24657	+
OG_47	OMAV01000002	24647	26851	+
OG_947	OMAV01000002	26858	27658	+
OG_2457	OMAV01000002	27671	27916	+
OG_22	OMAV01000002	27892	29685	+
OG_343	OMAV01000002	29687	31405	+
OG_70	OMAV01000002	31432	34659	+
OG_291	OMAV01000002	34712	35452	+
OG_291	OMAV01000002	35487	38300	+
OG_70	OMAV01000002	38467	40326	+
OG_593	OMAV01000002	40331	40723	+
OG_71	OMAV01000002	40726	41766	+
OG_70	OMAV01000002	41825	42796	+
OG_71	OMAV01000002	42809	43819	+
OG_1581	OMAV01000002	43992	44234	+
OG_100	OMAV01000002	44249	48046	+
OG_1156	OMAV01000002	48086	48541	-
UG_548	OMAV01000002	48597	49019	+
OG_3518	OMAV01000002	49039	49509	+
UG_549	OMAV01000002	49511	49972	+
UG_550	OMAV01000002	49986	50699	+
OG_152	OMAV01000002	50798	53068	+
OG_10	OMAV01000002	53107	54387	+
OG_1041	OMAV01000002	54410	55855	+
OG_391	OMAV01000002	55964	56953	+
OG_439	OMAV01000002	56985	57917	+
OG_21	OMAV01000002	57943	58926	+
OG_1898	OMAV01000002	61164	62063	+
OG_72	OMAV01000002	62138	63121	-
OG_9	OMAV01000002	63300	64001	+
