GeneID	Chr	Start	End	Strand
OG_62	OJMP01000066	3	704	-
OG_356	OJMP01000066	821	1528	-
OG_62	OJMP01000066	1719	12254	-
OG_125	OJMP01000066	12268	14148	-
OG_445	OJMP01000066	14148	16088	-
OG_408	OJMP01000066	16054	20241	-
OG_583	OJMP01000066	20232	21149	-
OG_351	OJMP01000066	21158	21625	-
OG_456	OJMP01000066	21622	22287	-
OG_317	OJMP01000066	22293	22871	-
OG_304	OJMP01000066	23101	23679	-
OG_352	OJMP01000066	23732	24007	-
OG_268	OJMP01000066	23989	24429	-
OG_319	OJMP01000066	24453	25088	-
OG_191	OJMP01000066	25085	25741	-
OG_679	OJMP01000066	25698	26240	-
OG_70	OJMP01000066	26625	30596	-
OG_70	OJMP01000066	30875	32143	-
OG_70	OJMP01000066	32140	32454	-
OG_811	OJMP01000066	32473	32802	-
OG_65	OJMP01000066	32851	33312	-
OG_322	OJMP01000066	33330	33479	-
OG_173	OJMP01000066	33457	33672	-
OG_378	OJMP01000066	33632	33928	-
OG_300	OJMP01000066	33951	38564	-
OG_291	OJMP01000066	38564	38761	-
OG_812	OJMP01000066	38758	39294	-
OG_1149	OJMP01000066	39370	40359	-
OG_439	OJMP01000066	40464	41150	-
OG_253	OJMP01000066	41191	41544	-
OG_462	OJMP01000066	41547	42224	-
OG_446	OJMP01000066	42224	42976	-
OG_253	OJMP01000066	43006	43797	-
OG_1038	OJMP01000066	43873	44508	-
OG_317	OJMP01000066	44584	45237	-
OG_1038	OJMP01000066	45328	46197	-
OG_106	OJMP01000066	46239	47417	-
OG_229	OJMP01000066	47439	47612	-
OG_288	OJMP01000066	47575	49011	-
OG_813	OJMP01000066	49073	49282	-
OG_47	OJMP01000066	49429	51924	-
OG_64	OJMP01000066	51927	55025	-
OG_253	OJMP01000066	55036	55854	-
OG_814	OJMP01000066	56001	56240	-
OG_396	OJMP01000066	56292	56819	-
OG_815	OJMP01000066	56806	57129	-
OG_211	OJMP01000066	57132	57353	-
OG_77	OJMP01000066	57438	58205	-
OG_211	OJMP01000066	58274	58591	-
OG_447	OJMP01000066	58594	58923	-
OG_276	OJMP01000066	58913	59191	-
OG_427	OJMP01000066	59175	59609	-
OG_817	OJMP01000066	59606	59743	-
OG_750	OJMP01000066	59740	59940	-
OG_818	OJMP01000066	59888	60250	-
OG_822	OJMP01000066	60240	60611	-
OG_752	OJMP01000066	60604	61032	-
OG_823	OJMP01000066	61014	61208	-
OG_751	OJMP01000066	61360	61713	-
OG_200	OJMP01000066	61759	61965	-
OG_1091	OJMP01000066	62201	62386	-
OG_1095	OJMP01000066	62383	62472	-
OG_1091	OJMP01000066	62469	62624	-
OG_183	OJMP01000066	62839	63528	+
OG_1092	OJMP01000066	63646	63750	+
OG_223	OJMP01000066	63940	64164	+
OG_198	OJMP01000066	64194	64598	+
OG_1093	OJMP01000066	64785	64895	+
OG_824	OJMP01000066	64912	65169	+
OG_825	OJMP01000066	65141	65287	+
OG_349	OJMP01000066	65304	65750	+
OG_826	OJMP01000066	66500	66889	+
OG_1094	OJMP01000066	67044	67322	+
OG_827	OJMP01000066	67699	68148	+
OG_833	OJMP01000066	69271	69474	+
OG_2551	OJMP01000066	69455	69796	+
OG_754	OJMP01000066	69789	70079	+
OG_834	OJMP01000066	70081	70284	+
OG_840	OJMP01000066	70278	70736	+
OG_758	OJMP01000066	70736	71182	+
OG_841	OJMP01000066	71235	71780	+
OG_842	OJMP01000066	71798	72148	+
OG_267	OJMP01000066	72217	73932	+
OG_197	OJMP01000066	73952	74422	+
OG_479	OJMP01000066	76502	77080	+
OG_214	OJMP01000066	77103	77642	+
OG_175	OJMP01000066	78019	78513	+
OG_875	OJMP01000066	78612	79436	+
OG_717	OJMP01000066	79511	81361	+
OG_338	OJMP01000066	81411	81983	+
OG_448	OJMP01000066	81955	82959	+
OG_770	OJMP01000066	82940	83518	+
OG_306	OJMP01000066	83602	84351	+
OG_416	OJMP01000066	84378	84998	+
OG_323	OJMP01000066	85124	86098	+
OG_810	OJMP01000066	86073	86411	+
OG_74	OJMP01000066	86404	86757	+
OG_32	OJMP01000066	86769	87641	+
OG_908	OJMP01000066	87688	88503	+
OG_275	OJMP01000066	88639	89631	+
OG_843	OJMP01000066	89612	90046	+
OG_130	OJMP01000066	90081	95390	-
OG_62	OJMP01000066	95393	97444	-
