GeneID	Chr	Start	End	Strand
OG_62	OJOA01000027	2	4696	-
OG_594	OJOA01000027	4698	6278	-
OG_229	OJOA01000027	6271	9291	-
OG_408	OJOA01000027	9396	14069	-
OG_583	OJOA01000027	14071	14769	-
OG_351	OJOA01000027	14759	15319	-
OG_456	OJOA01000027	15319	16005	-
OG_162	OJOA01000027	16102	16446	-
OG_595	OJOA01000027	16430	17083	-
OG_1152	OJOA01000027	17157	18155	-
OG_414	OJOA01000027	18183	18872	-
OG_439	OJOA01000027	18872	19579	-
OG_446	OJOA01000027	19583	20578	-
OG_1038	OJOA01000027	20643	22157	-
OG_431	OJOA01000027	22189	23355	-
OG_1156	OJOA01000027	23624	24085	-
OG_3144	OJOA01000027	24085	24612	-
OG_3144	OJOA01000027	24621	25619	-
OG_252	OJOA01000027	25626	25940	-
OG_191	OJOA01000027	25962	26561	-
OG_322	OJOA01000027	26558	27181	-
OG_28	OJOA01000027	27196	27447	-
OG_426	OJOA01000027	27538	28197	-
OG_520	OJOA01000027	28210	29607	-
OG_291	OJOA01000027	29629	32136	-
OG_291	OJOA01000027	32225	34360	-
OG_70	OJOA01000027	34366	35235	-
OG_47	OJOA01000027	35237	37624	-
OG_64	OJOA01000027	37731	40016	-
OG_638	OJOA01000027	39985	40329	-
OG_407	OJOA01000027	40333	40899	-
OG_596	OJOA01000027	40957	41397	-
OG_749	OJOA01000027	41390	41686	-
OG_819	OJOA01000027	41683	42066	-
OG_597	OJOA01000027	42079	42432	-
OG_1158	OJOA01000027	42576	42854	-
OG_664	OJOA01000027	42844	43002	-
OG_673	OJOA01000027	43010	43483	-
OG_599	OJOA01000027	43955	44362	-
OG_2025	OJOA01000027	44359	44544	-
OG_2026	OJOA01000027	44990	45271	-
OG_622	OJOA01000027	45593	45901	+
OG_2027	OJOA01000027	45898	46005	-
OG_1467	OJOA01000027	46103	46327	+
OG_2028	OJOA01000027	46324	46533	+
OG_52	OJOA01000027	46544	47212	+
OG_2029	OJOA01000027	47209	47319	+
OG_52	OJOA01000027	47646	48095	+
OG_2023	OJOA01000027	48092	48361	+
OG_2030	OJOA01000027	48358	49143	+
OG_1464	OJOA01000027	49137	49628	+
OG_607	OJOA01000027	49621	49905	+
OG_2031	OJOA01000027	49905	50189	+
OG_2032	OJOA01000027	50388	50807	+
OG_2033	OJOA01000027	50797	51144	+
OG_2020	OJOA01000027	51146	51574	+
OG_2019	OJOA01000027	51579	52049	+
OG_390	OJOA01000027	52046	53257	+
OG_628	OJOA01000027	53254	53658	+
OG_161	OJOA01000027	53661	54266	+
OG_441	OJOA01000027	54270	55493	+
OG_306	OJOA01000027	55480	56298	+
OG_609	OJOA01000027	56298	56564	+
OG_611	OJOA01000027	56575	56907	+
OG_585	OJOA01000027	56938	57831	+
OG_323	OJOA01000027	57847	58845	+
OG_589	OJOA01000027	58863	59570	+
OG_1465	OJOA01000027	59623	60900	+
OG_1099	OJOA01000027	60854	61930	+
OG_1098	OJOA01000027	61933	63264	+
OG_600	OJOA01000027	63261	63914	+
OG_1096	OJOA01000027	63907	64581	+
OG_2034	OJOA01000027	64571	64960	+
OG_74	OJOA01000027	64953	65444	+
OG_423	OJOA01000027	65398	65676	+
OG_275	OJOA01000027	65657	66697	+
OG_40	OJOA01000027	66694	67251	+
OG_333	OJOA01000027	67278	68192	+
OG_40	OJOA01000027	68223	71108	+
OG_2022	OJOA01000027	71112	71315	+
OG_211	OJOA01000027	71326	71793	+
OG_593	OJOA01000027	71818	72339	+
OG_630	OJOA01000027	72329	72631	+
OG_417	OJOA01000027	72628	74946	+
OG_219	OJOA01000027	74946	75221	+
OG_299	OJOA01000027	75209	75625	+
OG_1167	OJOA01000027	75615	75833	+
OG_1162	OJOA01000027	75823	76122	+
OG_603	OJOA01000027	76107	76337	+
OG_2035	OJOA01000027	76330	76674	+
OG_606	OJOA01000027	76667	76978	+
OG_2036	OJOA01000027	77200	77508	+
OG_312	OJOA01000027	77483	78541	+
OG_2024	OJOA01000027	78614	78865	+
OG_521	OJOA01000027	79072	79482	+
OG_62	OJOA01000027	79712	86920	+
OG_62	OJOA01000027	86924	90973	+
OG_2037	OJOA01000027	91022	91402	+
OG_2038	OJOA01000027	91432	91536	+
OG_62	OJOA01000027	91597	94266	-
