GeneID	Chr	Start	End	Strand
OG_1658	OWII01000011	47	592	+
OG_2596	OWII01000011	579	824	+
OG_2597	OWII01000011	799	1536	+
OG_1656	OWII01000011	1523	2428	+
OG_2553	OWII01000011	2430	2681	+
OG_2554	OWII01000011	2668	2850	+
OG_248	OWII01000011	2847	3563	+
OG_335	OWII01000011	3625	8196	-
OG_24	OWII01000011	8196	10610	-
OG_24	OWII01000011	10612	13563	-
OG_356	OWII01000011	13623	14327	-
OG_24	OWII01000011	14656	21450	-
OG_421	OWII01000011	21456	30359	-
OG_941	OWII01000011	30361	32193	-
OG_63	OWII01000011	32184	36848	-
OG_942	OWII01000011	36917	37237	-
OG_79	OWII01000011	37422	38027	-
OG_7	OWII01000011	38080	38646	-
OG_8	OWII01000011	38643	40337	-
OG_408	OWII01000011	40342	45147	-
OG_432	OWII01000011	45153	48641	-
OG_944	OWII01000011	48644	49237	-
OG_943	OWII01000011	49218	49658	-
OG_582	OWII01000011	49660	50349	-
OG_9	OWII01000011	50349	51026	-
OG_21	OWII01000011	51091	52131	-
OG_439	OWII01000011	52143	53099	-
OG_391	OWII01000011	53099	53974	-
OG_1041	OWII01000011	54066	55487	-
OG_10	OWII01000011	55505	56614	-
OG_152	OWII01000011	56736	58763	-
OG_1156	OWII01000011	58763	59215	-
OG_1618	OWII01000011	59230	59562	-
OG_31	OWII01000011	59562	60002	-
OG_1616	OWII01000011	60004	60489	-
OG_37	OWII01000011	60567	61463	-
OG_70	OWII01000011	61698	63146	-
OG_291	OWII01000011	63212	65161	-
OG_70	OWII01000011	65189	66172	-
OG_291	OWII01000011	66181	67257	-
OG_70	OWII01000011	67272	68873	-
OG_343	OWII01000011	68854	70245	-
OG_22	OWII01000011	70251	72020	-
OG_947	OWII01000011	72177	72935	-
OG_47	OWII01000011	72935	75136	-
OG_948	OWII01000011	75114	75425	-
OG_64	OWII01000011	75367	77643	-
OG_396	OWII01000011	77646	78221	-
OG_29	OWII01000011	78224	79051	-
OG_949	OWII01000011	79051	79275	-
OG_951	OWII01000011	79275	79826	-
OG_1215	OWII01000011	79839	80108	-
OG_429	OWII01000011	80195	81067	-
OG_2577	OWII01000011	81054	81812	-
OG_229	OWII01000011	81974	82276	+
OG_305	OWII01000011	82279	82950	+
