GeneID	Chr	Start	End	Strand
OG_434	OGZB01000001	1	744	+
OG_110	OGZB01000001	744	1730	+
OG_1904	OGZB01000001	1733	2092	+
OG_1905	OGZB01000001	2046	2360	+
OG_1505	OGZB01000001	2357	2941	+
OG_1504	OGZB01000001	3017	4117	+
OG_1503	OGZB01000001	4136	4960	+
OG_1906	OGZB01000001	4987	5244	+
OG_1907	OGZB01000001	5244	5792	+
OG_478	OGZB01000001	5740	6384	+
OG_82	OGZB01000001	6377	6688	+
OG_1901	OGZB01000001	6688	7287	+
OG_317	OGZB01000001	7388	7891	+
OG_77	OGZB01000001	8010	8693	+
OG_1909	OGZB01000001	8946	9233	+
OG_1502	OGZB01000001	9211	9960	+
OG_211	OGZB01000001	9957	10547	+
OG_642	OGZB01000001	10540	10734	+
OG_1910	OGZB01000001	10740	11015	+
OG_105	OGZB01000001	11038	11649	+
OG_1911	OGZB01000001	11675	11953	-
OG_4770	OGZB01000001	11950	12204	-
OG_457	OGZB01000001	12455	13204	+
OG_1912	OGZB01000001	13354	13917	-
UG_264	OGZB01000001	14031	14192	+
OG_457	OGZB01000001	14137	14892	-
OG_1500	OGZB01000001	15449	15979	+
OG_1913	OGZB01000001	16666	16872	+
OG_3080	OGZB01000001	17306	17497	+
OG_883	OGZB01000001	17920	18162	+
OG_1894	OGZB01000001	18174	18446	+
OG_4167	OGZB01000001	18539	18850	+
OG_3075	OGZB01000001	18880	19311	+
OG_3079	OGZB01000001	19298	19405	+
OG_3078	OGZB01000001	19414	19890	+
OG_1565	OGZB01000001	19881	20111	+
OG_1914	OGZB01000001	20146	20451	+
OG_1498	OGZB01000001	20448	20735	+
OG_1915	OGZB01000001	20708	21061	+
OG_1916	OGZB01000001	21061	21570	+
OG_1495	OGZB01000001	21572	21796	+
OG_96	OGZB01000001	21798	22298	+
OG_1917	OGZB01000001	22279	22521	+
OG_4725	OGZB01000001	22699	23250	+
OG_42	OGZB01000001	23247	23672	+
OG_2272	OGZB01000001	23696	24004	+
OG_1919	OGZB01000001	24008	24397	+
OG_1921	OGZB01000001	24404	24742	+
OG_1920	OGZB01000001	24773	25510	+
OG_1953	OGZB01000001	25507	25599	+
OG_1922	OGZB01000001	25636	26343	+
OG_53	OGZB01000001	26340	26768	+
OG_1554	OGZB01000001	26781	27017	+
OG_2234	OGZB01000001	27028	27924	+
OG_2204	OGZB01000001	27957	28253	+
OG_2043	OGZB01000001	28277	29338	+
OG_308	OGZB01000001	29575	30270	+
UG_265	OGZB01000001	30215	30343	+
OG_95	OGZB01000001	30283	30453	+
OG_3410	OGZB01000001	30598	30807	+
OG_1552	OGZB01000001	30819	31001	+
OG_2261	OGZB01000001	31004	31207	+
OG_2273	OGZB01000001	31247	31381	+
OG_2262	OGZB01000001	31454	31819	+
OG_2264	OGZB01000001	31803	31988	+
OG_2263	OGZB01000001	32001	32318	+
OG_97	OGZB01000001	32339	32581	+
OG_6	OGZB01000001	32593	32910	+
OG_94	OGZB01000001	32888	33589	+
OG_251	OGZB01000001	33586	34029	+
OG_1896	OGZB01000001	34026	34442	+
OG_329	OGZB01000001	34651	35424	+
OG_1924	OGZB01000001	35428	35667	+
OG_1490	OGZB01000001	35689	36486	+
OG_98	OGZB01000001	36495	36863	+
OG_2278	OGZB01000001	36916	37401	+
OG_1778	OGZB01000001	37391	37627	+
OG_1925	OGZB01000001	37764	38045	+
OG_1892	OGZB01000001	38023	38709	+
OG_2818	OGZB01000001	38711	39175	+
OG_1926	OGZB01000001	39129	39488	+
OG_1488	OGZB01000001	39485	39985	+
OG_1893	OGZB01000001	39955	41400	+
OG_1487	OGZB01000001	41400	42353	+
OG_1802	OGZB01000001	42337	42624	+
OG_1927	OGZB01000001	42621	43184	+
OG_1928	OGZB01000001	43174	43575	+
OG_1481	OGZB01000001	43541	43828	+
OG_448	OGZB01000001	43825	44967	+
OG_122	OGZB01000001	44970	45611	+
OG_1929	OGZB01000001	45571	45909	+
OG_1486	OGZB01000001	45921	46619	+
OG_1542	OGZB01000001	46621	46905	+
OG_1542	OGZB01000001	46892	47179	+
OG_1930	OGZB01000001	47179	47280	+
OG_1931	OGZB01000001	47267	47692	+
OG_1485	OGZB01000001	47661	48686	+
OG_1933	OGZB01000001	48752	49342	+
OG_99	OGZB01000001	49355	50815	+
OG_1501	OGZB01000001	50812	51678	+
OG_3107	OGZB01000001	51680	52027	+
OG_1935	OGZB01000001	52030	52251	+
OG_2265	OGZB01000001	52268	52573	+
OG_447	OGZB01000001	52575	53165	+
OG_1520	OGZB01000001	53144	53470	+
OG_1936	OGZB01000001	53472	53747	+
OG_1515	OGZB01000001	53752	54897	+
OG_1937	OGZB01000001	54904	55236	+
OG_1938	OGZB01000001	55233	55340	+
OG_2279	OGZB01000001	55472	55672	+
OG_1939	OGZB01000001	55750	56145	+
OG_102	OGZB01000001	56151	57167	+
OG_2280	OGZB01000001	57192	57419	+
OG_1940	OGZB01000001	57367	57855	+
OG_1941	OGZB01000001	57856	58233	+
OG_4780	OGZB01000001	58230	58436	+
OG_4781	OGZB01000001	58417	58641	+
OG_2281	OGZB01000001	58756	59259	+
OG_1943	OGZB01000001	59279	59404	+
OG_4779	OGZB01000001	59401	59796	+
OG_1787	OGZB01000001	59804	60175	+
OG_2282	OGZB01000001	60186	60401	+
OG_147	OGZB01000001	60427	61011	+
OG_1944	OGZB01000001	61008	61124	+
OG_1489	OGZB01000001	61117	61347	+
OG_1945	OGZB01000001	61351	61806	+
OG_1946	OGZB01000001	61779	62291	+
OG_2266	OGZB01000001	62288	62443	+
OG_93	OGZB01000001	62395	62889	+
OG_3106	OGZB01000001	62902	63294	+
OG_102	OGZB01000001	63291	64289	+
OG_2267	OGZB01000001	64267	64710	+
OG_3725	OGZB01000001	64888	65256	+
OG_1777	OGZB01000001	65253	65531	+
OG_200	OGZB01000001	65528	65935	+
OG_1161	OGZB01000001	65937	66290	+
OG_3077	OGZB01000001	66287	66403	+
OG_2275	OGZB01000001	66464	66679	+
OG_123	OGZB01000001	66714	67589	-
OG_130	OGZB01000001	67778	74224	-
OG_427	OGZB01000001	74334	74738	-
OG_4397	OGZB01000001	74786	75079	-
OG_92	OGZB01000001	75076	75297	-
OG_426	OGZB01000001	75479	75796	-
OG_426	OGZB01000001	75893	76552	-
OG_169	OGZB01000001	76642	77691	-
