GeneID	Chr	Start	End	Strand
UG_495	OLSB01000098	2	778	-
OG_773	OLSB01000098	775	1659	-
OG_1149	OLSB01000098	1724	2770	-
OG_439	OLSB01000098	2849	3544	-
OG_439	OLSB01000098	3541	4329	-
OG_462	OLSB01000098	4326	4991	-
OG_446	OLSB01000098	5008	5760	-
OG_1038	OLSB01000098	5839	6354	-
OG_1038	OLSB01000098	6628	7638	-
OG_106	OLSB01000098	7667	8809	-
OG_229	OLSB01000098	8858	11194	-
OG_428	OLSB01000098	11172	11972	-
OG_47	OLSB01000098	11975	14455	-
OG_64	OLSB01000098	14459	17641	-
UG_496	OLSB01000098	17641	17838	-
OG_396	OLSB01000098	17841	18359	-
OG_211	OLSB01000098	18435	19034	-
OG_77	OLSB01000098	19163	20065	-
OG_255	OLSB01000098	20254	20583	-
OG_750	OLSB01000098	20587	20820	-
OG_751	OLSB01000098	20792	21187	-
OG_752	OLSB01000098	21187	21585	-
OG_299	OLSB01000098	21902	22171	+
OG_427	OLSB01000098	22140	22538	+
OG_1028	OLSB01000098	22540	23178	+
OG_763	OLSB01000098	23165	23698	+
OG_4313	OLSB01000098	23710	23991	+
OG_312	OLSB01000098	23988	24887	+
OG_4312	OLSB01000098	25290	25541	+
OG_4311	OLSB01000098	25563	25769	+
OG_4310	OLSB01000098	26064	26753	+
UG_497	OLSB01000098	26813	27082	+
UG_498	OLSB01000098	27045	27245	+
OG_3309	OLSB01000098	27242	27505	+
UG_499	OLSB01000098	27522	27824	+
OG_4309	OLSB01000098	27827	28144	+
OG_775	OLSB01000098	28684	28965	+
UG_500	OLSB01000098	29127	29360	+
OG_768	OLSB01000098	29578	30000	+
OG_4308	OLSB01000098	29997	30365	+
OG_1194	OLSB01000098	30352	30567	+
UG_501	OLSB01000098	30542	30826	+
OG_349	OLSB01000098	30983	31417	+
OG_777	OLSB01000098	31417	31956	+
UG_502	OLSB01000098	31845	32291	-
OG_753	OLSB01000098	32366	32887	+
OG_756	OLSB01000098	33575	34072	+
OG_840	OLSB01000098	34069	34530	+
OG_758	OLSB01000098	34497	34874	+
OG_841	OLSB01000098	34889	35443	+
OG_193	OLSB01000098	35437	35805	+
OG_362	OLSB01000098	35875	37311	+
UG_503	OLSB01000098	37489	37650	+
OG_1605	OLSB01000098	37671	38072	+
OG_479	OLSB01000098	40129	40737	+
OG_214	OLSB01000098	40737	41282	+
OG_175	OLSB01000098	41686	42240	+
OG_782	OLSB01000098	42442	43260	+
OG_717	OLSB01000098	43430	45340	+
OG_338	OLSB01000098	45357	45926	+
OG_448	OLSB01000098	45907	46857	+
OG_770	OLSB01000098	46878	47327	+
OG_306	OLSB01000098	47369	47803	+
OG_305	OLSB01000098	47800	48456	+
OG_306	OLSB01000098	48516	48941	+
OG_416	OLSB01000098	48950	49543	+
OG_323	OLSB01000098	49831	50814	+
OG_74	OLSB01000098	50801	51205	+
OG_32	OLSB01000098	51177	51968	+
OG_2924	OLSB01000098	51971	52135	+
OG_275	OLSB01000098	52122	53096	+
OG_1030	OLSB01000098	53101	53601	+
OG_130	OLSB01000098	53689	60015	-
OG_62	OLSB01000098	60025	77859	-
OG_125	OLSB01000098	77862	79625	-
OG_190	OLSB01000098	79631	81733	-
OG_408	OLSB01000098	81724	86850	-
OG_583	OLSB01000098	86840	87697	-
OG_351	OLSB01000098	87672	88124	-
OG_456	OLSB01000098	88114	88797	-
OG_191	OLSB01000098	88799	89425	-
OG_679	OLSB01000098	89412	89924	-
OG_3162	OLSB01000098	89926	90357	-
OG_341	OLSB01000098	90354	91472	-
OG_342	OLSB01000098	91475	91972	-
OG_304	OLSB01000098	91959	92444	-
OG_268	OLSB01000098	92511	93347	-
UG_504	OLSB01000098	93537	94265	-
OG_70	OLSB01000098	94286	95146	-
OG_176	OLSB01000098	95149	95493	-
OG_318	OLSB01000098	95505	96332	-
