GeneID	Chr	Start	End	Strand
OG_875	OIHW01000011	2	487	+
OG_717	OIHW01000011	562	2412	+
OG_338	OIHW01000011	2463	3035	+
OG_448	OIHW01000011	3007	3990	+
OG_770	OIHW01000011	3993	4571	+
OG_306	OIHW01000011	4656	5399	+
OG_416	OIHW01000011	5420	6040	+
OG_168	OIHW01000011	6121	7101	+
OG_323	OIHW01000011	7166	8140	+
OG_810	OIHW01000011	8115	8453	+
OG_74	OIHW01000011	8419	8799	+
OG_32	OIHW01000011	8811	9686	+
OG_908	OIHW01000011	9733	10548	+
OG_275	OIHW01000011	10669	11676	+
OG_843	OIHW01000011	11657	12091	+
OG_130	OIHW01000011	12126	16532	-
OG_62	OIHW01000011	16535	29857	-
OG_125	OIHW01000011	29870	31732	-
OG_445	OIHW01000011	31732	33462	-
OG_408	OIHW01000011	33428	37606	-
OG_253	OIHW01000011	37585	38298	-
OG_583	OIHW01000011	38289	39212	-
OG_351	OIHW01000011	39221	39691	-
OG_456	OIHW01000011	39688	40353	-
OG_317	OIHW01000011	40358	40915	-
OG_304	OIHW01000011	41145	41723	-
OG_352	OIHW01000011	41776	42192	-
OG_268	OIHW01000011	42210	43040	-
OG_319	OIHW01000011	43151	43786	-
OG_191	OIHW01000011	43783	44439	-
OG_679	OIHW01000011	44396	44914	-
OG_124	OIHW01000011	45037	46065	-
OG_70	OIHW01000011	46392	49895	-
OG_70	OIHW01000011	49911	50465	-
OG_811	OIHW01000011	50484	50813	-
OG_317	OIHW01000011	50862	51485	-
OG_65	OIHW01000011	51543	52004	-
OG_322	OIHW01000011	52032	52499	-
OG_173	OIHW01000011	52462	52692	-
OG_378	OIHW01000011	52652	52948	-
OG_300	OIHW01000011	52970	57988	-
OG_300	OIHW01000011	57958	58224	-
OG_291	OIHW01000011	58221	58760	-
OG_812	OIHW01000011	58757	59290	-
OG_1149	OIHW01000011	59365	60348	-
OG_439	OIHW01000011	60448	61188	-
OG_462	OIHW01000011	61185	61862	-
OG_446	OIHW01000011	61862	62614	-
OG_253	OIHW01000011	62638	63294	-
OG_1038	OIHW01000011	63376	64845	-
OG_106	OIHW01000011	64888	66066	-
OG_288	OIHW01000011	66088	67224	-
OG_813	OIHW01000011	67214	67741	-
OG_47	OIHW01000011	67744	70230	-
OG_64	OIHW01000011	70272	72332	-
OG_2800	OIHW01000011	72335	72562	-
OG_814	OIHW01000011	72714	72953	-
OG_396	OIHW01000011	73005	73532	-
OG_815	OIHW01000011	73519	73863	-
OG_211	OIHW01000011	73850	74353	-
OG_816	OIHW01000011	74341	74592	-
OG_447	OIHW01000011	74585	74914	-
OG_276	OIHW01000011	74904	75182	-
OG_427	OIHW01000011	75166	75600	-
OG_817	OIHW01000011	75597	75734	-
OG_750	OIHW01000011	75731	75931	-
OG_818	OIHW01000011	75885	76241	-
OG_822	OIHW01000011	76234	76602	-
OG_752	OIHW01000011	76595	77023	-
OG_823	OIHW01000011	77005	77217	-
OG_751	OIHW01000011	77351	77704	-
OG_200	OIHW01000011	77750	77956	-
OG_1091	OIHW01000011	78192	78452	-
OG_183	OIHW01000011	78668	79357	+
OG_198	OIHW01000011	79970	80272	+
OG_762	OIHW01000011	80269	80586	+
OG_824	OIHW01000011	80665	80922	+
OG_825	OIHW01000011	80894	81040	+
OG_349	OIHW01000011	81056	81316	+
OG_826	OIHW01000011	82059	82448	+
OG_827	OIHW01000011	82960	83409	+
OG_828	OIHW01000011	84053	84295	+
OG_832	OIHW01000011	84613	85167	+
OG_833	OIHW01000011	85475	85678	+
OG_2551	OIHW01000011	85659	86000	+
OG_754	OIHW01000011	85993	86283	+
OG_834	OIHW01000011	86285	86488	+
OG_840	OIHW01000011	86482	86940	+
OG_758	OIHW01000011	86940	87386	+
OG_841	OIHW01000011	87439	87984	+
OG_842	OIHW01000011	88002	88352	+
OG_267	OIHW01000011	88421	90136	+
OG_197	OIHW01000011	90156	90626	+
OG_479	OIHW01000011	92707	93285	+
OG_214	OIHW01000011	93308	93847	+
OG_175	OIHW01000011	94228	94722	+
OG_875	OIHW01000011	94821	95213	+
