GeneID	Chr	Start	End	Strand
OG_717	OOBV01000062	2	421	-
OG_1724	OOBV01000062	551	1342	-
OG_893	OOBV01000062	1359	1574	-
OG_175	OOBV01000062	1577	2104	-
OG_234	OOBV01000062	2327	3526	-
OG_2815	OOBV01000062	4274	4408	-
OG_845	OOBV01000062	5631	6029	-
OG_184	OOBV01000062	6046	6447	-
OG_362	OOBV01000062	6519	8021	-
OG_846	OOBV01000062	8108	8479	-
OG_841	OOBV01000062	8495	9055	-
OG_758	OOBV01000062	9104	9496	-
OG_840	OOBV01000062	9447	9944	-
OG_835	OOBV01000062	9941	10126	-
OG_754	OOBV01000062	10117	10395	-
OG_753	OOBV01000062	11180	11647	-
OG_888	OOBV01000062	11685	11918	-
OG_203	OOBV01000062	12161	12307	-
OG_283	OOBV01000062	12380	12865	-
OG_848	OOBV01000062	12883	13146	-
OG_1810	OOBV01000062	13128	13370	-
OG_1808	OOBV01000062	13616	13753	-
OG_349	OOBV01000062	13774	14238	-
OG_250	OOBV01000062	14264	14632	-
OG_171	OOBV01000062	14652	14957	-
OG_587	OOBV01000062	15890	16336	-
OG_3800	OOBV01000062	16357	16566	-
OG_1726	OOBV01000062	16834	17115	-
OG_3529	OOBV01000062	17152	17376	-
OG_3088	OOBV01000062	17357	17584	-
OG_3401	OOBV01000062	17597	17704	-
OG_938	OOBV01000062	17685	17915	-
OG_3400	OOBV01000062	18324	18638	-
OG_204	OOBV01000062	18725	19441	-
OG_204	OOBV01000062	19754	20452	-
OG_3057	OOBV01000062	20585	20728	-
OG_312	OOBV01000062	21081	21968	+
OG_865	OOBV01000062	22128	22319	+
OG_1807	OOBV01000062	22316	22576	+
OG_447	OOBV01000062	22554	22868	+
OG_866	OOBV01000062	22855	23064	+
OG_751	OOBV01000062	23097	23456	+
OG_752	OOBV01000062	23601	23978	+
OG_822	OOBV01000062	23971	24348	+
OG_818	OOBV01000062	24338	24721	+
OG_750	OOBV01000062	24693	24902	+
OG_427	OOBV01000062	24868	25305	+
OG_276	OOBV01000062	25295	25672	+
OG_879	OOBV01000062	25626	25727	+
OG_210	OOBV01000062	25733	26107	+
OG_849	OOBV01000062	26109	26423	+
OG_396	OOBV01000062	26410	26940	+
OG_215	OOBV01000062	26998	27135	+
OG_148	OOBV01000062	27406	27849	+
OG_148	OOBV01000062	28046	28708	+
OG_64	OOBV01000062	28695	30776	+
OG_47	OOBV01000062	30779	33286	+
OG_813	OOBV01000062	33289	33753	+
OG_885	OOBV01000062	33840	34085	+
OG_288	OOBV01000062	34087	35238	+
OG_229	OOBV01000062	35231	35464	+
OG_106	OOBV01000062	35486	36652	+
OG_1038	OOBV01000062	36684	38153	+
OG_446	OOBV01000062	38226	38978	+
OG_462	OOBV01000062	38978	39688	+
OG_439	OOBV01000062	39691	40359	+
OG_1149	OOBV01000062	40457	41431	+
OG_812	OOBV01000062	41532	42230	+
OG_300	OOBV01000062	42242	45541	+
OG_318	OOBV01000062	45552	45956	+
OG_291	OOBV01000062	45940	49341	+
OG_100	OOBV01000062	49334	51574	+
OG_173	OOBV01000062	51574	51765	+
OG_65	OOBV01000062	51740	52186	+
OG_70	OOBV01000062	52190	53032	+
OG_291	OOBV01000062	53038	53658	+
OG_227	OOBV01000062	53658	54737	+
OG_70	OOBV01000062	54836	57406	+
OG_124	OOBV01000062	57669	58691	+
OG_679	OOBV01000062	58807	59316	+
OG_191	OOBV01000062	59288	59926	+
OG_319	OOBV01000062	59963	60598	+
OG_268	OOBV01000062	60627	61613	+
OG_352	OOBV01000062	61632	62060	+
OG_304	OOBV01000062	62109	62672	+
OG_317	OOBV01000062	62810	63388	+
OG_456	OOBV01000062	63378	64022	+
OG_351	OOBV01000062	64030	64479	+
OG_583	OOBV01000062	64476	65417	+
OG_408	OOBV01000062	65414	69586	+
OG_445	OOBV01000062	69588	71429	+
OG_125	OOBV01000062	71419	73392	+
OG_62	OOBV01000062	73458	87380	+
OG_130	OOBV01000062	87392	91546	+
OG_1030	OOBV01000062	91630	92130	-
OG_275	OOBV01000062	92108	93103	-
OG_908	OOBV01000062	93119	93838	-
OG_74	OOBV01000062	93887	94270	-
OG_2744	OOBV01000062	94242	94589	-
OG_323	OOBV01000062	94528	95496	-
OG_416	OOBV01000062	95800	96429	-
OG_306	OOBV01000062	96446	97186	-
OG_770	OOBV01000062	97261	97776	-
OG_448	OOBV01000062	97791	98771	-
OG_338	OOBV01000062	98752	99321	-
OG_717	OOBV01000062	99379	100992	-
