GeneID	Chr	Start	End	Strand
OG_2233	OCHF01000011	195	464	+
OG_373	OCHF01000011	808	1149	+
OG_107	OCHF01000011	1164	1478	+
OG_1567	OCHF01000011	1654	1887	+
OG_1499	OCHF01000011	2007	2261	+
OG_3533	OCHF01000011	2258	3067	+
OG_1495	OCHF01000011	3131	3379	+
OG_1564	OCHF01000011	3360	3653	+
OG_1563	OCHF01000011	3604	3987	+
OG_1562	OCHF01000011	3999	4268	+
OG_1561	OCHF01000011	4270	4743	+
OG_1560	OCHF01000011	4727	5131	+
OG_1559	OCHF01000011	5209	5460	+
OG_108	OCHF01000011	5457	5972	+
OG_1558	OCHF01000011	5959	6327	+
OG_1557	OCHF01000011	6314	6502	+
OG_1556	OCHF01000011	6586	6876	+
OG_1555	OCHF01000011	6908	7222	+
OG_1494	OCHF01000011	7232	7684	+
OG_1483	OCHF01000011	7696	8505	+
OG_53	OCHF01000011	8649	9062	+
OG_1493	OCHF01000011	9100	9492	+
OG_2235	OCHF01000011	9494	9799	+
OG_1554	OCHF01000011	9790	10044	+
OG_2234	OCHF01000011	10056	10211	+
OG_2234	OCHF01000011	10233	10952	+
OG_2988	OCHF01000011	10961	11251	+
OG_2043	OCHF01000011	11264	12328	+
OG_308	OCHF01000011	12369	12626	+
OG_308	OCHF01000011	12697	13110	+
OG_308	OCHF01000011	13115	13849	+
OG_1552	OCHF01000011	13846	14040	+
OG_1553	OCHF01000011	14043	14342	+
OG_1551	OCHF01000011	14377	14631	+
OG_1550	OCHF01000011	14650	15312	+
OG_1549	OCHF01000011	15333	15770	+
OG_6	OCHF01000011	15782	16636	+
OG_1490	OCHF01000011	16648	17445	+
OG_109	OCHF01000011	17486	17869	+
OG_1547	OCHF01000011	17894	18145	+
OG_1782	OCHF01000011	18164	18910	+
OG_1786	OCHF01000011	18917	19057	+
OG_1781	OCHF01000011	19064	19309	+
OG_1517	OCHF01000011	19354	19620	+
OG_2236	OCHF01000011	19666	19818	+
OG_1489	OCHF01000011	20011	20214	+
OG_1892	OCHF01000011	20211	20879	+
OG_1546	OCHF01000011	20954	21208	+
