GeneID	Chr	Start	End	Strand
OG_622	crAss001_MH675552	1	87	-
OG_4388	crAss001_MH675552	279	680	-
OG_2547	crAss001_MH675552	999	1148	+
OG_599	crAss001_MH675552	1145	1537	+
OG_1463	crAss001_MH675552	2271	2468	+
OG_1462	crAss001_MH675552	3249	3581	+
OG_673	crAss001_MH675552	4551	5000	+
OG_148	crAss001_MH675552	5238	5654	+
OG_664	crAss001_MH675552	5826	5975	+
OG_1158	crAss001_MH675552	5990	6238	+
OG_598	crAss001_MH675552	6204	6437	+
OG_597	crAss001_MH675552	6439	6768	+
OG_819	crAss001_MH675552	6772	7155	+
OG_749	crAss001_MH675552	7152	7436	+
OG_596	crAss001_MH675552	7411	7821	+
OG_396	crAss001_MH675552	7873	8400	+
OG_640	crAss001_MH675552	8403	8723	+
OG_253	crAss001_MH675552	8737	9309	+
OG_64	crAss001_MH675552	9281	11569	+
OG_47	crAss001_MH675552	11643	14063	+
OG_70	crAss001_MH675552	14069	14362	+
OG_291	crAss001_MH675552	14369	16867	+
OG_291	crAss001_MH675552	16966	19035	+
OG_291	crAss001_MH675552	19048	20070	+
OG_272	crAss001_MH675552	20095	22443	+
OG_272	crAss001_MH675552	22456	25008	+
OG_191	crAss001_MH675552	25093	25695	+
OG_252	crAss001_MH675552	25698	26033	+
OG_355	crAss001_MH675552	26039	26407	+
OG_1156	crAss001_MH675552	26404	26865	+
OG_376	crAss001_MH675552	27101	28270	+
OG_1038	crAss001_MH675552	28305	29819	+
OG_446	crAss001_MH675552	29891	30883	+
OG_439	crAss001_MH675552	30888	31604	+
OG_414	crAss001_MH675552	31604	32296	+
OG_1152	crAss001_MH675552	32328	33329	+
OG_253	crAss001_MH675552	33401	34075	+
OG_595	crAss001_MH675552	34065	34712	+
OG_162	crAss001_MH675552	34705	35049	+
OG_456	crAss001_MH675552	35150	35827	+
OG_253	crAss001_MH675552	35817	36518	+
OG_351	crAss001_MH675552	36472	37059	+
OG_583	crAss001_MH675552	37052	37762	+
OG_408	crAss001_MH675552	37764	41879	+
OG_229	crAss001_MH675552	41987	44515	+
OG_594	crAss001_MH675552	44508	46112	+
OG_62	crAss001_MH675552	46119	53144	+
OG_326	crAss001_MH675552	53219	53410	-
OG_62	crAss001_MH675552	53433	57482	-
OG_62	crAss001_MH675552	57485	64723	-
OG_194	crAss001_MH675552	64864	65490	-
OG_444	crAss001_MH675552	65502	66269	-
OG_196	crAss001_MH675552	66269	66511	-
OG_312	crAss001_MH675552	66528	67427	-
OG_603	crAss001_MH675552	67424	67864	-
OG_3192	crAss001_MH675552	67864	68406	-
OG_1162	crAss001_MH675552	68403	68717	-
OG_1163	crAss001_MH675552	68719	68994	-
OG_3128	crAss001_MH675552	68996	69481	-
OG_1161	crAss001_MH675552	69478	69918	-
OG_1159	crAss001_MH675552	69915	70349	-
OG_2530	crAss001_MH675552	70342	70761	-
OG_219	crAss001_MH675552	70745	71092	-
OG_417	crAss001_MH675552	71061	73181	-
OG_630	crAss001_MH675552	73178	73495	-
OG_593	crAss001_MH675552	73492	74007	-
OG_317	crAss001_MH675552	74024	74569	-
OG_211	crAss001_MH675552	74584	75051	-
OG_40	crAss001_MH675552	75053	77629	-
OG_275	crAss001_MH675552	77626	78669	-
OG_423	crAss001_MH675552	78653	78937	-
OG_74	crAss001_MH675552	78903	79307	-
OG_658	crAss001_MH675552	79363	79902	-
OG_1096	crAss001_MH675552	79927	80592	-
OG_600	crAss001_MH675552	80582	81394	-
OG_1098	crAss001_MH675552	81394	82545	-
OG_1099	crAss001_MH675552	82548	83792	-
OG_1465	crAss001_MH675552	83731	85065	-
OG_589	crAss001_MH675552	85127	85804	-
OG_323	crAss001_MH675552	85831	86826	-
OG_585	crAss001_MH675552	86847	87767	-
OG_611	crAss001_MH675552	87795	88169	-
OG_609	crAss001_MH675552	88175	88447	-
OG_1097	crAss001_MH675552	88440	89147	-
OG_441	crAss001_MH675552	89169	90389	-
OG_161	crAss001_MH675552	90393	90998	-
OG_628	crAss001_MH675552	91003	91404	-
OG_390	crAss001_MH675552	91401	92576	-
OG_1617	crAss001_MH675552	92569	93042	-
OG_1174	crAss001_MH675552	93052	93306	-
OG_3528	crAss001_MH675552	93381	94598	-
OG_1367	crAss001_MH675552	94618	94809	-
OG_2548	crAss001_MH675552	94836	95003	-
OG_607	crAss001_MH675552	95192	95569	-
OG_1176	crAss001_MH675552	95584	95964	-
OG_2232	crAss001_MH675552	96870	98288	-
OG_1464	crAss001_MH675552	98418	98837	-
OG_2023	crAss001_MH675552	98818	99120	-
OG_317	crAss001_MH675552	99523	100011	-
OG_52	crAss001_MH675552	100163	100903	-
OG_1736	crAss001_MH675552	100914	101144	-
OG_2549	crAss001_MH675552	101141	101242	-
OG_1157	crAss001_MH675552	101242	101448	-
OG_3965	crAss001_MH675552	101850	101984	-
