GeneID	Chr	Start	End	Strand
OG_39	OGOT01000012	3	2237	-
OG_1618	OGOT01000012	2218	2565	-
OG_31	OGOT01000012	2565	3014	-
OG_1616	OGOT01000012	3027	3476	-
OG_37	OGOT01000012	3539	3712	-
OG_37	OGOT01000012	3693	4262	-
OG_224	OGOT01000012	4416	12161	-
OG_176	OGOT01000012	12158	15856	-
OG_1401	OGOT01000012	15905	16354	-
OG_3422	OGOT01000012	16454	16702	-
OG_70	OGOT01000012	16752	21929	-
OG_2694	OGOT01000012	21932	22306	-
OG_70	OGOT01000012	22308	25145	-
OG_152	OGOT01000012	25148	26128	-
OG_947	OGOT01000012	26293	27087	-
OG_187	OGOT01000012	27090	27467	-
OG_124	OGOT01000012	27406	28662	-
OG_70	OGOT01000012	28990	30939	-
OG_422	OGOT01000012	30921	31136	-
OG_322	OGOT01000012	31133	32665	-
OG_28	OGOT01000012	32667	32930	-
OG_47	OGOT01000012	32933	35143	-
OG_948	OGOT01000012	35121	35435	-
OG_64	OGOT01000012	35392	37641	-
OG_396	OGOT01000012	37643	38230	-
OG_29	OGOT01000012	38236	38859	-
OG_949	OGOT01000012	38885	39112	-
OG_951	OGOT01000012	39112	39729	-
OG_1215	OGOT01000012	39745	40017	-
OG_429	OGOT01000012	40090	41007	-
OG_2577	OGOT01000012	40964	41701	-
OG_229	OGOT01000012	41863	42162	+
OG_367	OGOT01000012	42416	44686	+
OG_2696	OGOT01000012	44691	44948	+
OG_1472	OGOT01000012	44914	45153	+
OG_367	OGOT01000012	45150	45485	+
UG_240	OGOT01000012	45601	46356	+
OG_3417	OGOT01000012	46360	46521	+
OG_2578	OGOT01000012	46546	46746	+
OG_2571	OGOT01000012	46804	47016	-
OG_969	OGOT01000012	47042	47215	-
OG_970	OGOT01000012	47212	47487	-
OG_2727	OGOT01000012	47487	47630	-
OG_3116	OGOT01000012	47632	48021	-
OG_2579	OGOT01000012	48012	48224	-
OG_2726	OGOT01000012	48626	49183	+
OG_3423	OGOT01000012	49252	49404	+
UG_241	OGOT01000012	49448	49699	+
OG_2606	OGOT01000012	49958	50479	+
OG_2724	OGOT01000012	50995	51300	+
OG_2532	OGOT01000012	51339	51581	+
