GeneID	Chr	Start	End	Strand
OG_250	OKWR01000042	1	741	-
OG_927	OKWR01000042	779	1213	-
OG_34	OKWR01000042	1206	1601	-
OG_34	OKWR01000042	1579	1986	-
UG_369	OKWR01000042	2373	2780	-
UG_370	OKWR01000042	2781	3068	-
UG_371	OKWR01000042	3013	3336	-
OG_34	OKWR01000042	3315	3737	-
OG_3040	OKWR01000042	3737	4504	-
UG_372	OKWR01000042	4501	4752	-
OG_1166	OKWR01000042	4739	5179	-
UG_373	OKWR01000042	5167	5631	-
UG_374	OKWR01000042	5591	5893	-
UG_375	OKWR01000042	5939	6373	-
UG_376	OKWR01000042	6571	6891	-
OG_3866	OKWR01000042	6940	8766	-
OG_1541	OKWR01000042	8791	9321	-
UG_377	OKWR01000042	9318	9809	-
UG_378	OKWR01000042	9813	10268	-
UG_379	OKWR01000042	10822	11127	-
UG_380	OKWR01000042	11133	11273	-
UG_381	OKWR01000042	11993	12400	-
UG_382	OKWR01000042	12508	12864	-
UG_383	OKWR01000042	13631	14023	-
UG_384	OKWR01000042	14756	16207	-
OG_3043	OKWR01000042	17342	19174	-
OG_3044	OKWR01000042	19321	19767	-
OG_3046	OKWR01000042	20504	20680	-
UG_385	OKWR01000042	21099	21350	-
UG_386	OKWR01000042	21347	21616	-
UG_387	OKWR01000042	21915	22511	-
UG_388	OKWR01000042	22687	23067	-
UG_389	OKWR01000042	23257	23472	-
UG_390	OKWR01000042	23769	23987	-
OG_332	OKWR01000042	23999	24241	-
OG_332	OKWR01000042	24319	24471	-
UG_391	OKWR01000042	25321	25554	-
UG_392	OKWR01000042	25871	26398	-
UG_393	OKWR01000042	26554	27072	-
UG_394	OKWR01000042	27533	27724	+
UG_395	OKWR01000042	27945	28160	-
UG_396	OKWR01000042	28564	28959	-
OG_4490	OKWR01000042	29752	30498	+
UG_397	OKWR01000042	30498	30668	+
UG_398	OKWR01000042	30655	30972	+
UG_399	OKWR01000042	30932	31153	+
UG_400	OKWR01000042	31429	31704	+
UG_401	OKWR01000042	31835	32809	+
UG_402	OKWR01000042	32812	33048	+
UG_403	OKWR01000042	33089	33946	-
UG_404	OKWR01000042	33955	34167	-
OG_813	OKWR01000042	34179	34586	-
UG_405	OKWR01000042	34588	35079	-
OG_409	OKWR01000042	35171	35743	-
OG_7	OKWR01000042	35736	36413	-
UG_406	OKWR01000042	36415	36609	-
OG_467	OKWR01000042	36612	37289	-
OG_229	OKWR01000042	37325	37639	-
OG_78	OKWR01000042	37751	38434	+
OG_429	OKWR01000042	38442	39410	+
OG_1215	OKWR01000042	39412	39681	+
OG_951	OKWR01000042	39710	40192	+
OG_949	OKWR01000042	40194	40421	+
OG_396	OKWR01000042	40488	41066	+
OG_64	OKWR01000042	41069	43564	+
OG_948	OKWR01000042	43506	43862	+
OG_47	OKWR01000042	43906	45999	+
OG_947	OKWR01000042	45999	46811	+
OG_291	OKWR01000042	46811	48448	+
OG_70	OKWR01000042	48445	48897	+
OG_2457	OKWR01000042	48899	49126	+
OG_291	OKWR01000042	49089	50966	+
OG_70	OKWR01000042	50967	56345	+
UG_407	OKWR01000042	56448	56648	+
OG_268	OKWR01000042	56841	57776	+
UG_408	OKWR01000042	57832	58257	+
UG_409	OKWR01000042	58286	58855	+
OG_319	OKWR01000042	58821	59513	+
OG_70	OKWR01000042	59629	66321	+
OG_70	OKWR01000042	66351	68627	+
OG_124	OKWR01000042	68949	69932	+
OG_187	OKWR01000042	69945	70307	+
OG_70	OKWR01000042	70311	70631	+
OG_300	OKWR01000042	70647	74189	+
