GeneID	Chr	Start	End	Strand
OG_353	OLNY01000078	2	181	-
OG_228	OLNY01000078	206	904	-
OG_570	OLNY01000078	891	1187	-
OG_312	OLNY01000078	1156	2214	-
OG_299	OLNY01000078	2217	2681	-
OG_135	OLNY01000078	2685	3017	-
OG_452	OLNY01000078	3033	3338	-
OG_813	OLNY01000078	3461	3964	-
OG_568	OLNY01000078	3968	4228	-
OG_567	OLNY01000078	4231	5232	-
OG_245	OLNY01000078	5236	6549	-
OG_240	OLNY01000078	6527	7042	-
OG_323	OLNY01000078	7014	8078	-
OG_2687	OLNY01000078	8226	9083	-
OG_1982	OLNY01000078	9178	9891	-
OG_3863	OLNY01000078	9973	10968	-
OG_218	OLNY01000078	11031	12542	-
OG_4774	OLNY01000078	12548	12871	-
OG_717	OLNY01000078	12875	13978	-
OG_717	OLNY01000078	14275	15522	-
OG_566	OLNY01000078	15504	16097	-
OG_565	OLNY01000078	16098	16331	-
OG_2144	OLNY01000078	16403	16636	-
OG_564	OLNY01000078	16605	16949	-
OG_373	OLNY01000078	16953	17273	-
OG_434	OLNY01000078	17270	18736	-
OG_563	OLNY01000078	18729	18938	-
OG_562	OLNY01000078	18941	19279	-
OG_241	OLNY01000078	19248	19829	-
OG_561	OLNY01000078	19919	21061	-
OG_559	OLNY01000078	21066	21407	-
OG_558	OLNY01000078	21504	21902	-
OG_557	OLNY01000078	21890	22471	-
OG_556	OLNY01000078	22554	22802	-
OG_3190	OLNY01000078	22916	23161	-
OG_554	OLNY01000078	23158	23454	-
OG_1596	OLNY01000078	23670	23906	-
OG_1748	OLNY01000078	24702	24992	-
OG_551	OLNY01000078	24958	25302	-
OG_3185	OLNY01000078	26300	27118	-
OG_550	OLNY01000078	27196	27702	-
OG_3146	OLNY01000078	27848	28078	-
OG_4773	OLNY01000078	28082	28270	-
OG_4495	OLNY01000078	28267	28668	-
OG_579	OLNY01000078	28823	28948	-
OG_2145	OLNY01000078	29498	29854	+
OG_576	OLNY01000078	30651	30770	+
OG_574	OLNY01000078	30782	31258	+
OG_573	OLNY01000078	31271	31786	+
OG_429	OLNY01000078	31731	32735	+
OG_4767	OLNY01000078	32738	33394	+
OG_549	OLNY01000078	33397	33714	+
OG_242	OLNY01000078	33668	34042	+
OG_1731	OLNY01000078	34039	34707	+
OG_202	OLNY01000078	34722	34862	+
OG_3188	OLNY01000078	34913	35209	+
OG_407	OLNY01000078	35660	36292	+
OG_64	OLNY01000078	36296	38698	+
OG_47	OLNY01000078	38699	41086	+
OG_431	OLNY01000078	41316	42653	+
OG_1039	OLNY01000078	42665	44149	+
OG_410	OLNY01000078	44200	45216	+
OG_439	OLNY01000078	45232	46272	+
OG_572	OLNY01000078	46282	47262	+
OG_155	OLNY01000078	47329	50097	+
OG_155	OLNY01000078	50117	53164	+
OG_3256	OLNY01000078	53142	53255	+
OG_426	OLNY01000078	53268	53951	+
OG_202	OLNY01000078	54048	54620	+
OG_235	OLNY01000078	54620	54931	+
OG_236	OLNY01000078	55053	55160	+
OG_237	OLNY01000078	55398	56018	+
OG_1598	OLNY01000078	56031	56447	+
OG_319	OLNY01000078	56428	56859	+
OG_238	OLNY01000078	56999	57637	+
OG_1597	OLNY01000078	57644	57910	+
OG_464	OLNY01000078	57920	58660	+
OG_277	OLNY01000078	58666	59562	+
OG_584	OLNY01000078	59534	60289	+
OG_415	OLNY01000078	60292	64740	+
OG_445	OLNY01000078	64816	68010	+
OG_239	OLNY01000078	68075	70915	+
OG_314	OLNY01000078	70944	78773	+
OG_62	OLNY01000078	78792	92006	+
OG_1751	OLNY01000078	92318	92563	-
OG_571	OLNY01000078	92959	93306	-
OG_353	OLNY01000078	93306	94184	-
