GeneID	Chr	Start	End	Strand
OG_446	OGYD01000028	3	359	+
OG_462	OGYD01000028	359	1036	+
OG_253	OGYD01000028	1033	1770	+
OG_439	OGYD01000028	1811	2497	+
OG_1149	OGYD01000028	2602	3591	+
OG_812	OGYD01000028	3667	4203	+
OG_419	OGYD01000028	4200	4397	+
OG_300	OGYD01000028	4397	9010	+
OG_378	OGYD01000028	9034	9330	+
OG_173	OGYD01000028	9290	9520	+
OG_322	OGYD01000028	9495	9950	+
OG_65	OGYD01000028	9978	10439	+
OG_811	OGYD01000028	10488	10817	+
OG_70	OGYD01000028	10836	11390	+
OG_70	OGYD01000028	11405	15439	+
OG_124	OGYD01000028	15764	16792	+
OG_679	OGYD01000028	16892	17434	+
OG_191	OGYD01000028	17391	18047	+
OG_319	OGYD01000028	18044	18679	+
OG_268	OGYD01000028	18703	19620	+
OG_352	OGYD01000028	19638	20054	+
OG_304	OGYD01000028	20106	20687	+
OG_317	OGYD01000028	20918	21496	+
OG_456	OGYD01000028	21502	22167	+
OG_351	OGYD01000028	22164	22634	+
OG_583	OGYD01000028	22631	23560	+
OG_408	OGYD01000028	23551	27738	+
OG_445	OGYD01000028	27704	29644	+
OG_125	OGYD01000028	29644	31461	+
OG_62	OGYD01000028	31468	47208	+
OG_130	OGYD01000028	47214	52013	+
OG_1030	OGYD01000028	52052	52591	-
OG_275	OGYD01000028	52591	53583	-
OG_908	OGYD01000028	53595	54410	-
OG_32	OGYD01000028	54457	55335	-
OG_74	OGYD01000028	55347	55700	-
OG_810	OGYD01000028	55693	56031	-
OG_323	OGYD01000028	56006	56980	-
OG_168	OGYD01000028	57045	57941	-
OG_269	OGYD01000028	57941	59320	-
OG_416	OGYD01000028	59401	60021	-
OG_306	OGYD01000028	60048	60797	-
OG_770	OGYD01000028	60881	61459	-
OG_448	OGYD01000028	61462	62445	-
OG_338	OGYD01000028	62417	62989	-
OG_717	OGYD01000028	63038	65191	-
OG_875	OGYD01000028	65266	66090	-
OG_175	OGYD01000028	66292	66786	-
OG_214	OGYD01000028	67164	67700	-
OG_479	OGYD01000028	67723	68298	-
OG_197	OGYD01000028	70384	70857	-
OG_267	OGYD01000028	70877	72592	-
OG_842	OGYD01000028	72662	73012	-
OG_841	OGYD01000028	73030	73575	-
OG_758	OGYD01000028	73628	74074	-
OG_840	OGYD01000028	74074	74532	-
OG_834	OGYD01000028	74526	74729	-
OG_754	OGYD01000028	74731	75021	-
OG_2551	OGYD01000028	75014	75355	-
OG_833	OGYD01000028	75336	75539	-
UG_259	OGYD01000028	75782	75949	-
OG_827	OGYD01000028	76669	77118	-
OG_826	OGYD01000028	77613	78002	-
OG_2870	OGYD01000028	78014	78283	-
OG_349	OGYD01000028	78587	79171	-
OG_2041	OGYD01000028	79188	79388	-
OG_825	OGYD01000028	79401	79547	-
OG_824	OGYD01000028	79519	79776	-
OG_1093	OGYD01000028	79793	79903	-
OG_762	OGYD01000028	79843	80172	-
OG_198	OGYD01000028	80123	80467	-
OG_2792	OGYD01000028	81236	81442	-
OG_3820	OGYD01000028	81541	82179	-
OG_2794	OGYD01000028	82262	82537	-
OG_1091	OGYD01000028	82630	82785	+
OG_1091	OGYD01000028	82897	83082	+
OG_200	OGYD01000028	83341	83547	+
OG_751	OGYD01000028	83593	83946	+
OG_823	OGYD01000028	84072	84290	+
OG_752	OGYD01000028	84272	84694	+
OG_822	OGYD01000028	84687	85055	+
OG_818	OGYD01000028	85048	85410	+
OG_750	OGYD01000028	85358	85558	+
OG_817	OGYD01000028	85555	85692	+
OG_427	OGYD01000028	85689	86123	+
OG_276	OGYD01000028	86107	86385	+
OG_447	OGYD01000028	86375	86704	+
OG_211	OGYD01000028	86707	87222	+
OG_815	OGYD01000028	87225	87548	+
OG_396	OGYD01000028	87535	88062	+
OG_814	OGYD01000028	88114	88353	+
OG_253	OGYD01000028	88500	89429	+
OG_64	OGYD01000028	89453	92551	+
OG_47	OGYD01000028	92554	95049	+
OG_253	OGYD01000028	95052	95813	+
OG_813	OGYD01000028	95815	96168	+
OG_288	OGYD01000028	96230	97408	+
OG_229	OGYD01000028	97371	97544	+
OG_106	OGYD01000028	97566	98744	+
OG_1038	OGYD01000028	98787	100253	+
OG_253	OGYD01000028	100329	101120	+
OG_446	OGYD01000028	101150	101596	+
