GeneID	Chr	Start	End	Strand
OG_2447	OGYN01000044	2	427	-
OG_3452	OGYN01000044	431	1234	-
OG_4149	OGYN01000044	1227	1853	-
OG_1637	OGYN01000044	1865	2821	-
OG_1368	OGYN01000044	2824	3609	-
OG_2677	OGYN01000044	3606	4004	-
OG_2446	OGYN01000044	4017	4364	-
OG_323	OGYN01000044	4336	5355	-
OG_585	OGYN01000044	5359	6279	-
OG_2676	OGYN01000044	6320	6661	-
OG_1097	OGYN01000044	6713	7435	-
OG_441	OGYN01000044	7428	8627	-
OG_161	OGYN01000044	8628	9197	-
OG_390	OGYN01000044	9181	10386	-
OG_1617	OGYN01000044	10383	10892	-
OG_1633	OGYN01000044	10899	11327	-
OG_2675	OGYN01000044	11538	12068	-
OG_2674	OGYN01000044	12070	12600	-
OG_2673	OGYN01000044	12710	13090	-
OG_2672	OGYN01000044	13162	13344	-
OG_2671	OGYN01000044	13369	13611	-
OG_2670	OGYN01000044	13592	14164	-
OG_317	OGYN01000044	14353	14895	-
OG_332	OGYN01000044	15152	15628	-
OG_917	OGYN01000044	15640	16566	-
OG_918	OGYN01000044	16526	17020	-
OG_2669	OGYN01000044	17180	17494	-
OG_2668	OGYN01000044	17539	18000	-
OG_1274	OGYN01000044	18122	18808	-
OG_2659	OGYN01000044	19075	19242	-
OG_2667	OGYN01000044	19783	19944	-
OG_2666	OGYN01000044	19962	20192	-
OG_3657	OGYN01000044	20217	20459	-
OG_3311	OGYN01000044	20474	20761	-
OG_2686	OGYN01000044	21161	21358	-
OG_2665	OGYN01000044	21592	21717	-
OG_2685	OGYN01000044	21730	21897	-
OG_622	OGYN01000044	22235	22615	-
OG_75	OGYN01000044	23275	23805	+
OG_2664	OGYN01000044	23789	23950	+
OG_2663	OGYN01000044	24198	24356	+
OG_1158	OGYN01000044	24705	24905	+
OG_598	OGYN01000044	24868	25086	+
OG_597	OGYN01000044	25073	25405	+
OG_822	OGYN01000044	25414	25830	+
OG_749	OGYN01000044	25820	26125	+
OG_596	OGYN01000044	26091	26558	+
OG_407	OGYN01000044	26599	27168	+
OG_2662	OGYN01000044	27174	27479	+
OG_64	OGYN01000044	27479	30805	+
OG_47	OGYN01000044	30932	33319	+
OG_70	OGYN01000044	33322	33957	+
OG_70	OGYN01000044	33968	35788	+
OG_70	OGYN01000044	35812	38187	+
OG_100	OGYN01000044	38172	42815	+
OG_2661	OGYN01000044	42815	43240	+
OG_2658	OGYN01000044	43230	43694	+
OG_2660	OGYN01000044	43691	45079	+
OG_4815	OGYN01000044	45076	48033	+
OG_191	OGYN01000044	48033	48629	+
OG_2684	OGYN01000044	48629	49048	+
OG_1156	OGYN01000044	49011	49445	+
OG_106	OGYN01000044	49557	50729	+
OG_1038	OGYN01000044	50758	52125	+
OG_446	OGYN01000044	52715	53710	+
OG_462	OGYN01000044	53712	54437	+
OG_1152	OGYN01000044	54461	55648	+
UG_262	OGYN01000044	55747	55881	+
UG_263	OGYN01000044	55844	55954	+
OG_31	OGYN01000044	56347	56784	+
OG_1618	OGYN01000044	56791	57093	+
OG_676	OGYN01000044	57096	57473	+
OG_164	OGYN01000044	57596	58519	+
OG_393	OGYN01000044	58519	59211	+
OG_351	OGYN01000044	59180	59755	+
OG_583	OGYN01000044	59724	60470	+
OG_408	OGYN01000044	60472	65256	+
OG_229	OGYN01000044	65365	67428	+
OG_594	OGYN01000044	67428	69305	+
OG_62	OGYN01000044	69310	80682	+
OG_335	OGYN01000044	80684	84373	+
OG_2682	OGYN01000044	84461	84679	-
OG_2681	OGYN01000044	84711	84929	-
OG_312	OGYN01000044	84941	85855	-
OG_2680	OGYN01000044	85858	86160	-
OG_2679	OGYN01000044	86147	86359	-
OG_248	OGYN01000044	86411	87043	-
OG_417	OGYN01000044	87078	87224	-
OG_356	OGYN01000044	87303	87938	-
OG_417	OGYN01000044	88029	89936	-
OG_2678	OGYN01000044	89899	90228	-
OG_593	OGYN01000044	90230	90733	-
OG_211	OGYN01000044	90736	91239	-
OG_40	OGYN01000044	91236	94241	-
OG_40	OGYN01000044	94556	95044	-
OG_275	OGYN01000044	95041	96063	-
OG_1798	OGYN01000044	96047	96346	-
OG_74	OGYN01000044	96346	96804	-
OG_1096	OGYN01000044	96804	97460	-
OG_869	OGYN01000044	97453	98925	-
OG_2447	OGYN01000044	98888	99964	-
