GeneID	Chr	Start	End	Strand
OG_209	OCLB01000002	436	2508	+
OG_599	OCLB01000002	2628	3005	+
OG_669	OCLB01000002	4045	4323	+
OG_668	OCLB01000002	4423	4533	+
OG_667	OCLB01000002	4802	4990	+
OG_665	OCLB01000002	4959	5141	+
OG_598	OCLB01000002	5148	5375	+
OG_597	OCLB01000002	5378	5641	+
OG_819	OCLB01000002	5643	6038	+
OG_749	OCLB01000002	6028	6306	+
OG_596	OCLB01000002	6293	6718	+
OG_407	OCLB01000002	6766	7308	+
OG_365	OCLB01000002	7301	7633	+
OG_638	OCLB01000002	7624	7950	+
OG_64	OCLB01000002	7934	10183	+
OG_47	OCLB01000002	10284	12668	+
OG_70	OCLB01000002	12665	13393	+
OG_663	OCLB01000002	13395	13634	+
OG_455	OCLB01000002	13637	14086	+
OG_70	OCLB01000002	14107	15180	+
OG_163	OCLB01000002	15205	15639	+
OG_612	OCLB01000002	15817	15921	+
OG_180	OCLB01000002	15921	16280	+
OG_180	OCLB01000002	16282	16686	+
OG_225	OCLB01000002	16643	16951	+
OG_37	OCLB01000002	17053	17796	+
OG_425	OCLB01000002	17853	18293	+
OG_278	OCLB01000002	18295	18639	+
OG_420	OCLB01000002	18644	19054	+
OG_625	OCLB01000002	19128	19520	+
OG_252	OCLB01000002	19517	19864	+
OG_1156	OCLB01000002	19836	20267	+
OG_106	OCLB01000002	20374	21501	+
OG_1038	OCLB01000002	21535	22134	+
OG_253	OCLB01000002	22251	23180	+
OG_1038	OCLB01000002	23291	24214	+
OG_446	OCLB01000002	24294	25295	+
OG_439	OCLB01000002	25349	26116	+
OG_414	OCLB01000002	26116	26802	+
OG_1152	OCLB01000002	26839	27834	+
OG_595	OCLB01000002	27891	28514	+
OG_162	OCLB01000002	28501	28839	+
OG_393	OCLB01000002	28860	29621	+
OG_351	OCLB01000002	29614	30147	+
OG_583	OCLB01000002	30149	30832	+
OG_408	OCLB01000002	30835	36282	+
OG_229	OCLB01000002	36389	38986	+
OG_594	OCLB01000002	38979	40823	+
OG_62	OCLB01000002	40840	47547	+
OG_62	OCLB01000002	47592	51527	-
OG_62	OCLB01000002	51529	58914	-
OG_194	OCLB01000002	59051	59665	-
OG_312	OCLB01000002	59668	60543	-
OG_601	OCLB01000002	60545	60859	-
OG_1159	OCLB01000002	60852	61322	-
OG_661	OCLB01000002	61319	61462	-
OG_3747	OCLB01000002	61485	61637	-
OG_660	OCLB01000002	61637	61801	-
OG_620	OCLB01000002	61803	62216	-
OG_299	OCLB01000002	62213	62647	-
OG_417	OCLB01000002	62701	64911	-
OG_593	OCLB01000002	64908	65396	-
OG_211	OCLB01000002	65397	65876	-
OG_2659	OCLB01000002	65888	66070	-
OG_433	OCLB01000002	66067	66558	-
OG_635	OCLB01000002	66558	66929	-
OG_460	OCLB01000002	66916	67182	-
OG_36	OCLB01000002	67186	69345	-
OG_275	OCLB01000002	69365	70411	-
OG_317	OCLB01000002	70395	71204	-
OG_74	OCLB01000002	71179	71688	-
OG_659	OCLB01000002	71675	72004	-
OG_1096	OCLB01000002	72001	72654	-
OG_600	OCLB01000002	72645	73313	-
OG_1098	OCLB01000002	73313	74260	-
OG_1099	OCLB01000002	74265	75401	-
OG_1465	OCLB01000002	75370	76485	-
OG_589	OCLB01000002	76550	77254	-
OG_323	OCLB01000002	77302	78324	-
OG_585	OCLB01000002	78337	79269	-
OG_611	OCLB01000002	79297	79695	-
OG_609	OCLB01000002	79710	80009	-
OG_253	OCLB01000002	80279	80887	-
OG_1097	OCLB01000002	81102	81626	-
OG_441	OCLB01000002	81675	81998	-
OG_356	OCLB01000002	82212	83156	-
OG_441	OCLB01000002	83239	84114	-
OG_629	OCLB01000002	84114	84467	-
OG_161	OCLB01000002	84562	85167	-
OG_317	OCLB01000002	85261	85950	-
OG_390	OCLB01000002	86213	87292	-
OG_636	OCLB01000002	87285	87701	-
OG_643	OCLB01000002	87701	88111	-
OG_608	OCLB01000002	88123	88302	-
OG_607	OCLB01000002	88397	88693	-
OG_657	OCLB01000002	88701	88913	-
OG_158	OCLB01000002	89370	89756	-
OG_656	OCLB01000002	89758	89952	-
OG_655	OCLB01000002	89976	90116	-
OG_3750	OCLB01000002	90129	90296	-
OG_3751	OCLB01000002	90348	90461	-
OG_3749	OCLB01000002	90493	90660	-
OG_105	OCLB01000002	90843	91085	-
OG_654	OCLB01000002	91087	91452	-
OG_1932	OCLB01000002	91452	91826	-
OG_653	OCLB01000002	91882	92046	-
OG_634	OCLB01000002	92052	92213	-
OG_4814	OCLB01000002	92217	92480	-
OG_652	OCLB01000002	92477	92692	-
OG_4156	OCLB01000002	92705	93181	-
OG_308	OCLB01000002	93184	94161	-
OG_650	OCLB01000002	94167	94562	-
OG_179	OCLB01000002	94574	94909	-
OG_3748	OCLB01000002	94950	95150	-
OG_332	OCLB01000002	95156	95788	-
OG_34	OCLB01000002	95862	96230	-
OG_34	OCLB01000002	96364	96792	-
OG_649	OCLB01000002	96804	97046	-
OG_52	OCLB01000002	97103	97558	-
OG_3752	OCLB01000002	97587	97925	-
OG_647	OCLB01000002	97928	98050	-
OG_3753	OCLB01000002	98053	98445	-
OG_2915	OCLB01000002	98873	99058	-
OG_646	OCLB01000002	99063	99242	-
OG_645	OCLB01000002	99239	99373	-
OG_644	OCLB01000002	99526	99834	-
OG_622	OCLB01000002	100259	100588	-
