GeneID	Chr	Start	End	Strand
OG_323	OLNW01000127	209	1195	+
OG_74	OLNW01000127	1150	1551	+
OG_32	OLNW01000127	1558	2433	+
OG_908	OLNW01000127	2473	3351	+
OG_1772	OLNW01000127	3305	3577	+
OG_275	OLNW01000127	3558	4547	+
OG_876	OLNW01000127	4525	4668	+
OG_877	OLNW01000127	4668	5054	+
OG_130	OLNW01000127	5102	10294	-
OG_62	OLNW01000127	10294	23790	-
OG_125	OLNW01000127	23800	25539	-
OG_445	OLNW01000127	25532	27238	-
OG_408	OLNW01000127	27240	31472	-
OG_583	OLNW01000127	31469	32443	-
OG_351	OLNW01000127	32440	32901	-
OG_456	OLNW01000127	32898	33539	-
OG_304	OLNW01000127	33679	34242	-
OG_319	OLNW01000127	34295	34732	-
OG_317	OLNW01000127	34840	35397	+
OG_191	OLNW01000127	35398	36042	-
OG_679	OLNW01000127	36014	36523	-
OG_70	OLNW01000127	36692	37096	-
OG_322	OLNW01000127	37099	37392	-
OG_1156	OLNW01000127	37389	37850	-
OG_173	OLNW01000127	37853	38047	-
OG_3341	OLNW01000127	38050	41418	-
OG_515	OLNW01000127	41411	43714	-
OG_3159	OLNW01000127	43701	43853	-
OG_291	OLNW01000127	43864	47172	-
OG_291	OLNW01000127	47179	50019	-
OG_291	OLNW01000127	50022	50663	-
OG_2868	OLNW01000127	50678	51451	-
OG_1149	OLNW01000127	51528	52508	-
OG_439	OLNW01000127	52614	53336	-
OG_439	OLNW01000127	53339	54070	-
OG_462	OLNW01000127	54070	54789	-
OG_446	OLNW01000127	54789	55541	-
OG_253	OLNW01000127	55570	56163	-
OG_1038	OLNW01000127	56235	57698	-
OG_106	OLNW01000127	57742	58932	-
OG_229	OLNW01000127	58952	59182	-
OG_206	OLNW01000127	59142	59516	-
OG_288	OLNW01000127	59494	60090	-
OG_813	OLNW01000127	60187	60519	-
OG_47	OLNW01000127	60521	63031	-
OG_64	OLNW01000127	63038	65107	-
UG_471	OLNW01000127	65083	65310	-
OG_878	OLNW01000127	65715	65876	-
OG_396	OLNW01000127	65933	66481	-
OG_317	OLNW01000127	66468	67007	-
OG_849	OLNW01000127	67004	67288	-
OG_447	OLNW01000127	67393	68175	-
OG_69	OLNW01000127	68156	68425	-
OG_427	OLNW01000127	68412	68864	-
OG_880	OLNW01000127	68848	69114	-
OG_750	OLNW01000127	69071	69292	-
OG_818	OLNW01000127	69261	69695	-
OG_822	OLNW01000127	69697	70068	-
OG_752	OLNW01000127	70065	70460	-
OG_751	OLNW01000127	70630	70989	-
OG_858	OLNW01000127	71004	71339	-
OG_866	OLNW01000127	71336	71509	-
OG_3340	OLNW01000127	71499	71861	-
OG_865	OLNW01000127	71858	72058	-
UG_472	OLNW01000127	72195	72488	-
OG_301	OLNW01000127	72692	73303	+
OG_3342	OLNW01000127	73539	73880	+
OG_3343	OLNW01000127	73841	73990	+
OG_3344	OLNW01000127	74085	74177	-
OG_3345	OLNW01000127	74202	74411	+
OG_587	OLNW01000127	75306	75698	+
UG_473	OLNW01000127	75706	75933	+
OG_762	OLNW01000127	75964	76242	+
OG_762	OLNW01000127	76245	76529	+
OG_171	OLNW01000127	76555	76842	+
OG_3346	OLNW01000127	76796	77143	+
OG_349	OLNW01000127	77171	77626	+
OG_309	OLNW01000127	78066	78302	+
OG_874	OLNW01000127	78332	78763	+
OG_3014	OLNW01000127	78901	79089	+
OG_834	OLNW01000127	79869	80057	+
OG_840	OLNW01000127	80061	80525	+
OG_761	OLNW01000127	80525	81007	+
OG_841	OLNW01000127	81071	81619	+
OG_842	OLNW01000127	81654	81992	+
OG_197	OLNW01000127	82074	83873	+
UG_474	OLNW01000127	84458	84880	-
OG_479	OLNW01000127	85985	86521	+
OG_214	OLNW01000127	86542	87066	+
OG_3158	OLNW01000127	87177	87497	+
OG_175	OLNW01000127	87645	88169	+
OG_875	OLNW01000127	88242	88910	+
OG_232	OLNW01000127	88910	89137	+
OG_717	OLNW01000127	89260	91257	+
OG_338	OLNW01000127	91317	91883	+
OG_448	OLNW01000127	91864	92844	+
OG_770	OLNW01000127	92847	93389	+
OG_306	OLNW01000127	93469	94209	+
OG_416	OLNW01000127	94224	94823	+
OG_269	OLNW01000127	94993	96246	+
OG_168	OLNW01000127	96249	97043	+
