GeneID	Chr	Start	End	Strand
UG_310	OIXH01000142	295	390	+
OG_3737	OIXH01000142	560	883	+
OG_751	OIXH01000142	1030	1464	+
OG_3738	OIXH01000142	1436	1642	+
OG_927	OIXH01000142	1639	2127	+
UG_311	OIXH01000142	2226	2495	+
UG_312	OIXH01000142	2486	2713	+
OG_3739	OIXH01000142	2703	3119	+
OG_822	OIXH01000142	3119	3508	+
OG_818	OIXH01000142	3489	3863	+
OG_750	OIXH01000142	3835	4044	+
OG_3740	OIXH01000142	4055	4177	+
OG_211	OIXH01000142	4198	4665	+
OG_396	OIXH01000142	4665	5210	+
OG_3741	OIXH01000142	5289	5573	+
OG_64	OIXH01000142	5589	8765	+
OG_47	OIXH01000142	8768	11302	+
OG_229	OIXH01000142	11317	11601	+
OG_106	OIXH01000142	11679	12824	+
OG_1038	OIXH01000142	12848	13234	+
OG_317	OIXH01000142	13342	14043	+
OG_1038	OIXH01000142	14036	15157	+
OG_446	OIXH01000142	15236	15988	+
OG_462	OIXH01000142	15988	16710	+
OG_439	OIXH01000142	16710	17429	+
OG_439	OIXH01000142	17426	18172	+
OG_1149	OIXH01000142	18290	19255	+
OG_812	OIXH01000142	19315	19911	+
OG_3018	OIXH01000142	19908	20213	+
OG_455	OIXH01000142	20215	20451	+
OG_679	OIXH01000142	20462	20926	+
OG_191	OIXH01000142	20930	21550	+
OG_37	OIXH01000142	21638	22147	+
OG_3742	OIXH01000142	22151	22456	+
OG_322	OIXH01000142	22456	25920	+
OG_291	OIXH01000142	25931	26665	+
OG_300	OIXH01000142	26669	26983	+
OG_1146	OIXH01000142	26961	27206	+
OG_426	OIXH01000142	27239	27868	+
OG_100	OIXH01000142	27941	28945	+
OG_291	OIXH01000142	28953	29780	+
OG_231	OIXH01000142	29794	30045	+
UG_313	OIXH01000142	30045	30350	+
UG_314	OIXH01000142	30355	30636	+
OG_1156	OIXH01000142	30636	31097	+
OG_456	OIXH01000142	31113	31808	+
OG_351	OIXH01000142	31805	32263	+
OG_583	OIXH01000142	32248	32982	+
OG_408	OIXH01000142	32985	37304	+
OG_445	OIXH01000142	37306	39147	+
OG_125	OIXH01000142	39147	41057	+
OG_62	OIXH01000142	41079	55883	+
OG_130	OIXH01000142	55888	60876	+
OG_1030	OIXH01000142	60966	61571	-
OG_275	OIXH01000142	61525	62541	-
UG_315	OIXH01000142	62538	62786	-
OG_908	OIXH01000142	62779	63444	-
OG_1028	OIXH01000142	63419	64294	-
OG_74	OIXH01000142	64298	64678	-
OG_32	OIXH01000142	64675	65442	-
OG_323	OIXH01000142	65439	66410	-
OG_416	OIXH01000142	66464	67069	-
OG_306	OIXH01000142	67086	67826	-
OG_770	OIXH01000142	67923	68432	-
OG_448	OIXH01000142	68442	69431	-
OG_338	OIXH01000142	69412	69969	-
OG_168	OIXH01000142	70355	71182	-
OG_32	OIXH01000142	71192	72322	-
OG_717	OIXH01000142	72364	73083	-
OG_305	OIXH01000142	73183	73803	-
OG_717	OIXH01000142	73900	75096	-
UG_316	OIXH01000142	75289	76299	-
OG_175	OIXH01000142	76417	76947	-
UG_317	OIXH01000142	77130	77360	-
OG_367	OIXH01000142	77522	77833	-
UG_318	OIXH01000142	78242	78748	-
OG_479	OIXH01000142	78760	79296	-
UG_319	OIXH01000142	81564	81983	-
OG_3732	OIXH01000142	81995	83401	-
OG_3733	OIXH01000142	83483	83941	-
OG_841	OIXH01000142	83938	84489	-
OG_3734	OIXH01000142	84550	84951	-
OG_3735	OIXH01000142	84954	85328	-
OG_3736	OIXH01000142	85307	85873	-
UG_320	OIXH01000142	85910	86329	-
UG_321	OIXH01000142	86360	86554	-
OG_473	OIXH01000142	86895	87392	+
UG_322	OIXH01000142	87872	88285	-
UG_323	OIXH01000142	88401	88628	-
UG_324	OIXH01000142	88701	89120	-
UG_325	OIXH01000142	89122	89376	-
OG_204	OIXH01000142	90305	90898	-
UG_326	OIXH01000142	91013	91156	-
