GeneID	Chr	Start	End	Strand
OG_1902	OLQV01000028	3	317	-
OG_1903	OLQV01000028	286	840	-
OG_1509	OLQV01000028	837	1085	-
OG_1214	OLQV01000028	1091	1789	-
OG_1508	OLQV01000028	1791	2231	-
OG_83	OLQV01000028	2224	2637	-
OG_1790	OLQV01000028	3800	4954	+
OG_2259	OLQV01000028	4956	5990	+
OG_434	OLQV01000028	6093	7502	+
OG_110	OLQV01000028	7502	8488	+
OG_1904	OLQV01000028	8491	8850	+
OG_1905	OLQV01000028	8853	9119	+
OG_3074	OLQV01000028	9116	10300	+
OG_1505	OLQV01000028	10302	10886	+
OG_1504	OLQV01000028	11318	12418	+
OG_1503	OLQV01000028	12437	13261	+
OG_1906	OLQV01000028	13288	13545	+
OG_1907	OLQV01000028	13547	14095	+
OG_478	OLQV01000028	14043	14669	+
OG_82	OLQV01000028	14662	14976	+
OG_1901	OLQV01000028	14973	15572	+
OG_1909	OLQV01000028	16043	16330	+
OG_1502	OLQV01000028	16308	17057	+
OG_211	OLQV01000028	17054	17584	+
OG_1910	OLQV01000028	17595	17870	+
OG_105	OLQV01000028	17893	18498	+
OG_1911	OLQV01000028	18524	18802	-
OG_1912	OLQV01000028	19190	19741	-
OG_1957	OLQV01000028	19823	20146	-
OG_1500	OLQV01000028	20271	20846	+
OG_1913	OLQV01000028	21515	21721	+
OG_883	OLQV01000028	22753	22995	+
OG_1894	OLQV01000028	23007	23279	+
OG_3078	OLQV01000028	23720	24190	+
OG_1565	OLQV01000028	24181	24411	+
OG_1914	OLQV01000028	24441	24746	+
OG_1498	OLQV01000028	24743	25030	+
OG_1915	OLQV01000028	25003	25359	+
OG_1916	OLQV01000028	25478	25879	+
OG_1495	OLQV01000028	25881	26105	+
OG_96	OLQV01000028	26107	26607	+
OG_1917	OLQV01000028	26588	26830	+
OG_42	OLQV01000028	27066	27491	+
OG_2272	OLQV01000028	27510	27797	+
OG_1918	OLQV01000028	27831	28088	+
OG_1919	OLQV01000028	28101	28499	+
OG_1921	OLQV01000028	28506	28844	+
OG_1920	OLQV01000028	28874	29611	+
OG_1922	OLQV01000028	29739	30446	+
OG_1493	OLQV01000028	30443	30835	+
OG_1554	OLQV01000028	30832	31065	+
OG_2043	OLQV01000028	31116	32177	+
OG_308	OLQV01000028	32415	33113	+
OG_340	OLQV01000028	33058	33231	+
UG_492	OLQV01000028	33288	33527	+
OG_2261	OLQV01000028	33756	33959	+
OG_2264	OLQV01000028	33976	34158	+
OG_2263	OLQV01000028	34170	34481	+
OG_97	OLQV01000028	34502	34744	+
OG_97	OLQV01000028	34756	35313	+
OG_94	OLQV01000028	35264	35761	+
OG_1896	OLQV01000028	35804	36220	+
OG_1925	OLQV01000028	36339	36620	+
OG_1892	OLQV01000028	36598	37284	+
OG_2818	OLQV01000028	37286	37750	+
OG_1926	OLQV01000028	37695	38063	+
OG_1488	OLQV01000028	38060	38560	+
OG_1893	OLQV01000028	38530	39960	+
OG_1487	OLQV01000028	39960	40916	+
OG_1802	OLQV01000028	40900	41187	+
OG_1927	OLQV01000028	41184	41741	+
OG_1928	OLQV01000028	41772	42065	+
OG_1481	OLQV01000028	42049	42318	+
OG_448	OLQV01000028	42315	43457	+
OG_122	OLQV01000028	43459	44100	+
OG_1929	OLQV01000028	44060	44398	+
OG_1486	OLQV01000028	44431	45108	+
OG_1542	OLQV01000028	45114	45380	+
OG_1930	OLQV01000028	45380	45481	+
OG_1931	OLQV01000028	45468	45890	+
OG_1485	OLQV01000028	45871	46896	+
OG_1933	OLQV01000028	46964	47560	+
OG_1934	OLQV01000028	47547	47705	+
OG_99	OLQV01000028	47721	49181	+
OG_1501	OLQV01000028	49178	50044	+
OG_3107	OLQV01000028	50046	50405	+
OG_1935	OLQV01000028	50407	50628	+
OG_2265	OLQV01000028	50644	50925	+
OG_447	OLQV01000028	50922	51545	+
OG_1520	OLQV01000028	51521	51847	+
OG_1936	OLQV01000028	51849	52124	+
OG_1515	OLQV01000028	52129	53274	+
OG_1937	OLQV01000028	53281	53613	+
OG_1938	OLQV01000028	53610	53756	+
OG_1939	OLQV01000028	53949	54335	+
OG_3410	OLQV01000028	54357	54566	+
OG_2280	OLQV01000028	54613	54801	+
OG_1940	OLQV01000028	54767	55279	+
OG_1941	OLQV01000028	55280	55657	+
OG_4780	OLQV01000028	55654	55860	+
OG_4684	OLQV01000028	55996	56163	-
OG_2281	OLQV01000028	56180	56683	+
OG_4779	OLQV01000028	56825	57073	+
OG_147	OLQV01000028	57098	57679	+
OG_1944	OLQV01000028	57676	57792	+
OG_1489	OLQV01000028	57785	58015	+
OG_1945	OLQV01000028	58019	58489	+
OG_1946	OLQV01000028	58465	58995	+
OG_2266	OLQV01000028	58992	59147	+
OG_2267	OLQV01000028	59187	59627	+
OG_1777	OLQV01000028	59640	59915	+
OG_1789	OLQV01000028	59952	61163	+
OG_123	OLQV01000028	61401	62342	-
OG_130	OLQV01000028	62454	68897	-
OG_427	OLQV01000028	68985	69386	-
OG_92	OLQV01000028	69383	69661	-
OG_426	OLQV01000028	69796	70794	-
OG_426	OLQV01000028	70896	71555	-
OG_169	OLQV01000028	71644	72654	-
OG_70	OLQV01000028	72704	74602	-
OG_1484	OLQV01000028	74683	75012	-
OG_319	OLQV01000028	75250	75543	-
OG_91	OLQV01000028	75637	76002	-
OG_304	OLQV01000028	76004	76492	-
OG_352	OLQV01000028	76550	77032	-
OG_268	OLQV01000028	77047	78072	-
OG_130	OLQV01000028	78321	80558	-
OG_123	OLQV01000028	80732	81622	-
OG_1947	OLQV01000028	81816	82367	-
OG_3108	OLQV01000028	82449	82847	-
OG_1790	OLQV01000028	82908	84047	+
OG_62	OLQV01000028	84113	88984	-
OG_131	OLQV01000028	88974	91865	-
OG_90	OLQV01000028	91869	94604	-
OG_360	OLQV01000028	94702	95475	+
OG_1900	OLQV01000028	95552	95929	-
OG_288	OLQV01000028	95965	98247	-
OG_187	OLQV01000028	98354	98719	-
OG_70	OLQV01000028	98771	101032	-
OG_408	OLQV01000028	101089	107607	-
OG_1948	OLQV01000028	107802	108302	-
OG_227	OLQV01000028	108444	109163	-
OG_581	OLQV01000028	109178	110062	-
OG_1790	OLQV01000028	110290	111429	+
OG_1231	OLQV01000028	111443	111910	-
OG_4770	OLQV01000028	112121	112396	-
OG_89	OLQV01000028	112396	113052	-
OG_1954	OLQV01000028	113130	113231	-
OG_100	OLQV01000028	113371	113676	+
OG_100	OLQV01000028	113752	118230	-
OG_88	OLQV01000028	118232	119032	-
OG_87	OLQV01000028	119034	119348	-
OG_1514	OLQV01000028	119341	119760	-
OG_1949	OLQV01000028	119762	119995	-
OG_1950	OLQV01000028	119998	120399	-
OG_1789	OLQV01000028	120479	121765	+
OG_86	OLQV01000028	121918	122763	-
OG_463	OLQV01000028	122804	123487	-
OG_1951	OLQV01000028	123631	123891	-
OG_473	OLQV01000028	123930	125117	-
OG_1513	OLQV01000028	125435	125677	-
OG_1512	OLQV01000028	125649	126002	-
OG_907	OLQV01000028	126021	126899	-
OG_3037	OLQV01000028	126950	127474	-
OG_2260	OLQV01000028	127474	128421	-
OG_3036	OLQV01000028	129301	129867	-
OG_3036	OLQV01000028	129848	129958	-
OG_1952	OLQV01000028	129955	130458	-
OG_1511	OLQV01000028	130433	130981	-
OG_65	OLQV01000028	131040	131924	-
OG_3081	OLQV01000028	132107	132232	-
OG_4777	OLQV01000028	132237	133613	-
OG_4776	OLQV01000028	133606	135222	-
OG_4775	OLQV01000028	135219	136784	-
OG_104	OLQV01000028	136789	139182	-
OG_1510	OLQV01000028	139193	141529	-
OG_1212	OLQV01000028	141629	143602	-
OG_129	OLQV01000028	143725	144672	-
OG_85	OLQV01000028	144799	145479	-
OG_84	OLQV01000028	145476	146540	-
OG_1040	OLQV01000028	146619	148322	-
OG_106	OLQV01000028	148341	149498	-
OG_47	OLQV01000028	149633	152395	-
OG_64	OLQV01000028	152445	156371	-
