GeneID	Chr	Start	End	Strand
UG_12	3300007669_____Ga0105546_100127	3	785	+
OG_291	3300007669_____Ga0105546_100127	730	2835	+
OG_291	3300007669_____Ga0105546_100127	2841	4565	+
OG_745	3300007669_____Ga0105546_100127	4652	4753	+
OG_745	3300007669_____Ga0105546_100127	4704	5159	+
UG_13	3300007669_____Ga0105546_100127	5385	6875	+
OG_741	3300007669_____Ga0105546_100127	6909	7151	+
OG_156	3300007669_____Ga0105546_100127	7153	7479	+
OG_813	3300007669_____Ga0105546_100127	7571	7909	+
OG_70	3300007669_____Ga0105546_100127	8082	8747	+
OG_322	3300007669_____Ga0105546_100127	8843	9073	+
OG_278	3300007669_____Ga0105546_100127	9070	9438	+
OG_464	3300007669_____Ga0105546_100127	9602	10303	+
OG_361	3300007669_____Ga0105546_100127	10307	11263	+
OG_584	3300007669_____Ga0105546_100127	11220	12038	+
OG_415	3300007669_____Ga0105546_100127	12047	15517	+
OG_281	3300007669_____Ga0105546_100127	15521	16417	+
OG_1473	3300007669_____Ga0105546_100127	16516	16854	+
OG_436	3300007669_____Ga0105546_100127	16851	19853	+
OG_1794	3300007669_____Ga0105546_100127	19865	22462	+
OG_314	3300007669_____Ga0105546_100127	22464	28430	+
OG_62	3300007669_____Ga0105546_100127	28495	41643	+
OG_618	3300007669_____Ga0105546_100127	41825	42478	+
OG_3183	3300007669_____Ga0105546_100127	42792	43067	-
OG_740	3300007669_____Ga0105546_100127	43070	43411	-
OG_247	3300007669_____Ga0105546_100127	43674	43817	-
OG_113	3300007669_____Ga0105546_100127	43814	44128	-
OG_211	3300007669_____Ga0105546_100127	44094	44666	-
OG_353	3300007669_____Ga0105546_100127	44695	45774	-
OG_534	3300007669_____Ga0105546_100127	45777	45893	-
OG_228	3300007669_____Ga0105546_100127	45901	46698	-
OG_329	3300007669_____Ga0105546_100127	46700	47482	-
OG_739	3300007669_____Ga0105546_100127	47483	47701	-
OG_116	3300007669_____Ga0105546_100127	47664	47963	-
OG_312	3300007669_____Ga0105546_100127	47980	48822	-
OG_248	3300007669_____Ga0105546_100127	48857	49588	-
OG_536	3300007669_____Ga0105546_100127	49868	50293	-
OG_245	3300007669_____Ga0105546_100127	50280	51494	-
OG_344	3300007669_____Ga0105546_100127	51491	52039	-
OG_680	3300007669_____Ga0105546_100127	52042	52485	-
OG_323	3300007669_____Ga0105546_100127	52427	53689	-
OG_2687	3300007669_____Ga0105546_100127	53741	54754	-
OG_1980	3300007669_____Ga0105546_100127	54862	55695	-
OG_3862	3300007669_____Ga0105546_100127	55765	56700	-
OG_218	3300007669_____Ga0105546_100127	56700	58187	-
OG_717	3300007669_____Ga0105546_100127	58162	60504	-
OG_716	3300007669_____Ga0105546_100127	60509	61048	-
OG_724	3300007669_____Ga0105546_100127	61045	61326	-
OG_434	3300007669_____Ga0105546_100127	61319	62761	-
OG_542	3300007669_____Ga0105546_100127	62742	63230	-
OG_714	3300007669_____Ga0105546_100127	63235	63537	-
OG_738	3300007669_____Ga0105546_100127	63556	63705	-
OG_737	3300007669_____Ga0105546_100127	63745	63861	-
OG_736	3300007669_____Ga0105546_100127	63858	64064	-
OG_735	3300007669_____Ga0105546_100127	64069	64542	-
OG_719	3300007669_____Ga0105546_100127	64809	64901	-
OG_734	3300007669_____Ga0105546_100127	64904	65068	-
OG_2430	3300007669_____Ga0105546_100127	65584	66051	-
OG_729	3300007669_____Ga0105546_100127	66117	66278	-
OG_707	3300007669_____Ga0105546_100127	66397	66828	-
OG_727	3300007669_____Ga0105546_100127	67575	67991	-
OG_618	3300007669_____Ga0105546_100127	68002	68544	-
OG_726	3300007669_____Ga0105546_100127	68997	69116	-
OG_703	3300007669_____Ga0105546_100127	69256	69996	-
OG_3313	3300007669_____Ga0105546_100127	70204	70383	-
OG_618	3300007669_____Ga0105546_100127	70618	71373	-
OG_614	3300007669_____Ga0105546_100127	72035	72232	+
OG_413	3300007669_____Ga0105546_100127	72240	72809	+
OG_547	3300007669_____Ga0105546_100127	72912	73448	+
OG_407	3300007669_____Ga0105546_100127	73417	74031	+
OG_429	3300007669_____Ga0105546_100127	74038	75042	+
OG_3131	3300007669_____Ga0105546_100127	75039	75380	+
OG_257	3300007669_____Ga0105546_100127	75390	75656	+
OG_256	3300007669_____Ga0105546_100127	75640	75864	+
OG_409	3300007669_____Ga0105546_100127	75868	76284	+
OG_424	3300007669_____Ga0105546_100127	76301	76600	+
OG_412	3300007669_____Ga0105546_100127	76539	76901	+
OG_64	3300007669_____Ga0105546_100127	76906	79158	+
OG_725	3300007669_____Ga0105546_100127	79160	79267	+
OG_47	3300007669_____Ga0105546_100127	79280	81685	+
OG_431	3300007669_____Ga0105546_100127	82044	83327	+
OG_1039	3300007669_____Ga0105546_100127	83350	84822	+
OG_410	3300007669_____Ga0105546_100127	84846	85976	+
OG_439	3300007669_____Ga0105546_100127	85980	86666	+
OG_1151	3300007669_____Ga0105546_100127	86680	87534	+
OG_2390	3300007669_____Ga0105546_100127	87559	88248	+
OG_746	3300007669_____Ga0105546_100127	88241	88486	+
OG_120	3300007669_____Ga0105546_100127	88464	90932	+
