GeneID	Chr	Start	End	Strand
OG_74	OLXC01000001	2	283	-
OG_1186	OLXC01000001	264	578	-
OG_323	OLXC01000001	571	1542	-
OG_416	OLXC01000001	2272	2877	-
OG_306	OLXC01000001	2968	3708	-
OG_770	OLXC01000001	3734	4189	-
OG_448	OLXC01000001	4213	5139	-
OG_338	OLXC01000001	5120	5686	-
OG_717	OLXC01000001	5708	7618	-
OG_782	OLXC01000001	7715	8377	-
OG_2735	OLXC01000001	8395	9348	-
OG_175	OLXC01000001	9473	10021	-
OG_214	OLXC01000001	10298	10882	-
OG_438	OLXC01000001	10887	11480	-
OG_2248	OLXC01000001	13452	13643	-
OG_1187	OLXC01000001	13630	14031	-
OG_362	OLXC01000001	14133	15644	-
OG_193	OLXC01000001	15711	15914	-
OG_2249	OLXC01000001	15954	16091	+
OG_841	OLXC01000001	16112	16669	-
OG_757	OLXC01000001	16627	17115	-
OG_756	OLXC01000001	17128	17649	-
OG_2655	OLXC01000001	17899	18453	+
OG_753	OLXC01000001	18450	18944	-
OG_780	OLXC01000001	18981	19214	-
OG_1193	OLXC01000001	19180	19326	-
OG_778	OLXC01000001	19329	19748	-
OG_349	OLXC01000001	19745	20242	-
OG_1194	OLXC01000001	20821	21093	-
OG_1197	OLXC01000001	21096	21287	-
OG_3326	OLXC01000001	21284	21742	-
OG_768	OLXC01000001	21739	22119	-
OG_586	OLXC01000001	22121	22522	-
OG_1195	OLXC01000001	22527	22781	-
OG_1196	OLXC01000001	22750	23166	-
OG_764	OLXC01000001	23308	23514	-
OG_4590	OLXC01000001	23662	24003	-
OG_204	OLXC01000001	24165	24851	-
OG_179	OLXC01000001	25083	25376	-
OG_1199	OLXC01000001	25431	25673	-
OG_280	OLXC01000001	25945	26253	-
OG_178	OLXC01000001	26259	26579	-
OG_1185	OLXC01000001	26597	26869	-
OG_222	OLXC01000001	26981	27379	-
OG_763	OLXC01000001	27551	28021	-
OG_427	OLXC01000001	28018	28416	-
OG_752	OLXC01000001	28704	29114	+
OG_751	OLXC01000001	29116	29544	+
OG_750	OLXC01000001	29544	29774	+
OG_233	OLXC01000001	29752	30135	+
OG_189	OLXC01000001	30146	30469	+
OG_211	OLXC01000001	30963	31520	+
OG_208	OLXC01000001	31591	32862	+
OG_268	OLXC01000001	33078	33881	+
OG_304	OLXC01000001	33939	34442	+
OG_319	OLXC01000001	34411	34896	+
OG_300	OLXC01000001	34975	37629	+
OG_813	OLXC01000001	37626	37946	+
OG_396	OLXC01000001	37946	38455	+
OG_64	OLXC01000001	38458	40992	+
OG_64	OLXC01000001	41493	41822	+
OG_47	OLXC01000001	41826	44297	+
OG_428	OLXC01000001	44297	45319	+
OG_229	OLXC01000001	45322	45492	+
OG_106	OLXC01000001	45565	46761	+
OG_1038	OLXC01000001	46780	48315	+
OG_446	OLXC01000001	48458	49210	+
OG_462	OLXC01000001	49226	49954	+
OG_439	OLXC01000001	49951	50697	+
OG_439	OLXC01000001	50697	51392	+
OG_1149	OLXC01000001	51470	52600	+
OG_773	OLXC01000001	52663	53580	+
OG_176	OLXC01000001	53592	57761	+
OG_224	OLXC01000001	57758	65251	+
OG_1156	OLXC01000001	65248	65673	+
OG_772	OLXC01000001	65670	65975	+
OG_191	OLXC01000001	65926	66576	+
OG_456	OLXC01000001	66573	67265	+
OG_351	OLXC01000001	67240	67710	+
OG_583	OLXC01000001	67685	68548	+
OG_408	OLXC01000001	68538	73265	+
OG_190	OLXC01000001	73256	74005	+
OG_190	OLXC01000001	73989	75845	+
OG_125	OLXC01000001	75857	77626	+
OG_62	OLXC01000001	77632	95241	+
OG_130	OLXC01000001	95247	100724	+
OG_1030	OLXC01000001	100741	101274	-
OG_275	OLXC01000001	101271	102287	-
OG_32	OLXC01000001	102287	103180	-
OG_74	OLXC01000001	103201	103371	-
