GeneID	Chr	Start	End	Strand
OG_7	OHIN01000009	2	271	-
OG_467	OHIN01000009	271	1503	-
OG_8	OHIN01000009	1490	3409	-
OG_408	OHIN01000009	3402	9368	-
OG_432	OHIN01000009	9358	13677	-
OG_944	OHIN01000009	13685	14305	-
OG_943	OHIN01000009	14311	14769	-
OG_582	OHIN01000009	14808	15506	-
OG_9	OHIN01000009	15508	16206	-
OG_2531	OHIN01000009	16206	16631	-
OG_21	OHIN01000009	16682	17680	-
OG_439	OHIN01000009	17698	18855	-
OG_391	OHIN01000009	18882	19742	-
OG_1038	OHIN01000009	19826	21247	-
OG_10	OHIN01000009	21276	22289	-
OG_152	OHIN01000009	22377	24671	-
OG_404	OHIN01000009	24673	25077	-
OG_11	OHIN01000009	25191	25583	-
OG_319	OHIN01000009	25580	25981	-
OG_1020	OHIN01000009	25983	26195	-
OG_304	OHIN01000009	26179	26685	-
OG_443	OHIN01000009	26685	27032	-
OG_268	OHIN01000009	27047	28075	-
OG_253	OHIN01000009	28306	28899	-
OG_225	OHIN01000009	28967	29188	-
OG_2453	OHIN01000009	29613	29903	-
OG_1401	OHIN01000009	29910	30362	-
OG_70	OHIN01000009	30432	34703	-
OG_70	OHIN01000009	34700	35971	-
OG_291	OHIN01000009	35975	37150	-
OG_2454	OHIN01000009	37152	37574	-
OG_70	OHIN01000009	37577	38263	-
OG_22	OHIN01000009	38260	38853	-
OG_12	OHIN01000009	38846	39361	-
OG_13	OHIN01000009	39354	45863	-
OG_2455	OHIN01000009	45874	46095	-
OG_187	OHIN01000009	46092	46445	-
OG_124	OHIN01000009	46390	47664	-
OG_70	OHIN01000009	47982	49799	-
OG_2456	OHIN01000009	49801	50013	-
OG_1609	OHIN01000009	50019	51857	-
OG_291	OHIN01000009	51857	53431	-
OG_2457	OHIN01000009	53400	53621	-
OG_947	OHIN01000009	53587	54318	-
OG_300	OHIN01000009	54331	55059	-
OG_47	OHIN01000009	55061	57232	-
OG_948	OHIN01000009	57174	57452	-
OG_64	OHIN01000009	57424	59787	-
OG_396	OHIN01000009	59790	60350	-
OG_29	OHIN01000009	60388	61701	-
OG_949	OHIN01000009	61701	61925	-
OG_951	OHIN01000009	61912	62514	-
OG_1217	OHIN01000009	62523	62846	-
OG_1215	OHIN01000009	62840	63055	-
OG_429	OHIN01000009	63058	63972	-
OG_229	OHIN01000009	64096	64428	+
OG_2458	OHIN01000009	64504	64695	+
OG_813	OHIN01000009	64692	65084	+
OG_2459	OHIN01000009	65129	65332	-
OG_2460	OHIN01000009	65319	65672	-
OG_2461	OHIN01000009	65674	65853	-
OG_2463	OHIN01000009	65837	66151	-
OG_2464	OHIN01000009	66148	66450	-
OG_2465	OHIN01000009	66470	66610	-
OG_2466	OHIN01000009	66603	67004	-
OG_4787	OHIN01000009	67329	67796	+
OG_2695	OHIN01000009	67824	68090	+
OG_3100	OHIN01000009	68130	68318	+
OG_4786	OHIN01000009	68410	68868	+
OG_3099	OHIN01000009	68822	69040	+
OG_3098	OHIN01000009	69969	70427	+
OG_1366	OHIN01000009	70591	70704	+
OG_1366	OHIN01000009	70886	71140	+
OG_1467	OHIN01000009	71393	71626	+
OG_2048	OHIN01000009	71628	71867	+
OG_2467	OHIN01000009	71867	72043	+
OG_1822	OHIN01000009	72140	72439	+
OG_1822	OHIN01000009	72551	73084	+
OG_2013	OHIN01000009	73318	73779	+
OG_3097	OHIN01000009	74092	74334	+
OG_2468	OHIN01000009	74291	74662	+
OG_1803	OHIN01000009	74662	74766	+
OG_2469	OHIN01000009	74922	75137	+
OG_2470	OHIN01000009	75144	75389	+
OG_52	OHIN01000009	75386	75850	+
OG_451	OHIN01000009	75961	76521	+
OG_2471	OHIN01000009	76521	77000	+
OG_2013	OHIN01000009	77163	77555	+
OG_3096	OHIN01000009	77775	77969	+
OG_1541	OHIN01000009	77966	78493	+
OG_3866	OHIN01000009	78509	80467	+
OG_3095	OHIN01000009	80640	81059	+
OG_2472	OHIN01000009	81100	81285	+
OG_2702	OHIN01000009	81696	81983	+
OG_1470	OHIN01000009	81980	82147	+
OG_2473	OHIN01000009	82131	82340	+
OG_1747	OHIN01000009	82578	82988	+
OG_14	OHIN01000009	82990	83451	+
OG_2474	OHIN01000009	83561	83725	+
OG_23	OHIN01000009	83725	83829	+
OG_32	OHIN01000009	83768	85138	+
OG_3094	OHIN01000009	85260	85688	+
OG_2475	OHIN01000009	85667	86050	+
OG_2476	OHIN01000009	86172	86513	+
OG_2477	OHIN01000009	86718	87020	+
OG_253	OHIN01000009	86971	87762	+
OG_1742	OHIN01000009	88048	88167	+
OG_2375	OHIN01000009	88325	88483	+
OG_2478	OHIN01000009	88431	88601	+
OG_2479	OHIN01000009	88919	89104	+
OG_3093	OHIN01000009	89212	89637	+
OG_3092	OHIN01000009	89672	89929	+
OG_2481	OHIN01000009	89929	90099	+
OG_2482	OHIN01000009	90319	90990	+
OG_1245	OHIN01000009	91130	91447	+
OG_1549	OHIN01000009	91447	91896	+
OG_1548	OHIN01000009	91874	92062	+
OG_2483	OHIN01000009	92059	92223	+
OG_721	OHIN01000009	92220	92516	+
OG_1617	OHIN01000009	92513	93010	+
OG_2484	OHIN01000009	93213	93524	+
OG_253	OHIN01000009	93813	94448	+
OG_2486	OHIN01000009	94405	94644	+
OG_15	OHIN01000009	94641	95555	+
OG_2487	OHIN01000009	96028	96192	+
OG_2488	OHIN01000009	96195	96512	+
OG_2489	OHIN01000009	96481	96855	+
OG_2491	OHIN01000009	96848	97243	+
OG_927	OHIN01000009	97236	97697	+
OG_958	OHIN01000009	97660	98076	+
OG_1259	OHIN01000009	98093	99109	+
OG_2492	OHIN01000009	99106	99219	+
OG_3091	OHIN01000009	99250	99369	+
OG_1208	OHIN01000009	99547	100374	+
OG_1174	OHIN01000009	100398	100718	+
OG_2493	OHIN01000009	100709	101215	+
OG_3755	OHIN01000009	101251	102780	+
OG_1166	OHIN01000009	102770	103207	+
OG_16	OHIN01000009	103173	103982	+
OG_1270	OHIN01000009	103993	104295	+
OG_2494	OHIN01000009	104655	104939	+
OG_631	OHIN01000009	104920	105504	+
OG_2495	OHIN01000009	105530	105796	+
OG_2496	OHIN01000009	106043	106234	+
OG_929	OHIN01000009	106216	106539	+
OG_930	OHIN01000009	106585	107448	+
OG_218	OHIN01000009	107421	108722	+
OG_2497	OHIN01000009	108725	108892	+
OG_17	OHIN01000009	108980	109585	+
OG_441	OHIN01000009	109582	110676	+
OG_1097	OHIN01000009	110676	111371	+
OG_931	OHIN01000009	111371	111946	+
OG_57	OHIN01000009	111949	112644	+
OG_323	OHIN01000009	112685	113698	+
OG_2498	OHIN01000009	113658	113888	+
OG_932	OHIN01000009	113903	114448	+
OG_2499	OHIN01000009	114445	114693	+
OG_2500	OHIN01000009	114690	114911	+
OG_472	OHIN01000009	114898	115416	+
OG_275	OHIN01000009	115407	116456	+
OG_20	OHIN01000009	116512	116778	+
OG_767	OHIN01000009	116960	117517	+
OG_3090	OHIN01000009	117651	118241	+
OG_1268	OHIN01000009	118244	119011	+
OG_36	OHIN01000009	119013	121181	+
OG_2501	OHIN01000009	121174	121518	+
OG_1274	OHIN01000009	121515	122180	+
OG_433	OHIN01000009	122173	122667	+
OG_2502	OHIN01000009	122664	122963	+
OG_2503	OHIN01000009	122944	123285	+
OG_2504	OHIN01000009	123282	123587	+
OG_2505	OHIN01000009	123584	124138	+
OG_211	OHIN01000009	124119	124700	+
OG_2506	OHIN01000009	124697	124942	+
OG_2507	OHIN01000009	124939	125259	+
OG_1	OHIN01000009	125268	125579	+
OG_3105	OHIN01000009	125576	125797	+
OG_245	OHIN01000009	125790	126989	+
OG_2	OHIN01000009	126982	127227	+
OG_3104	OHIN01000009	127217	127417	+
OG_1256	OHIN01000009	127404	128042	+
OG_3103	OHIN01000009	128045	128248	+
OG_2508	OHIN01000009	128241	128459	+
OG_2509	OHIN01000009	128456	128947	+
OG_38	OHIN01000009	128934	129257	+
OG_3	OHIN01000009	129269	130144	+
OG_356	OHIN01000009	130339	131082	+
OG_3	OHIN01000009	131339	131767	+
OG_3102	OHIN01000009	131764	132027	+
OG_2510	OHIN01000009	132017	132616	+
OG_2511	OHIN01000009	132570	132866	+
OG_908	OHIN01000009	132863	133558	+
OG_326	OHIN01000009	133697	133939	+
OG_2512	OHIN01000009	133932	134777	+
OG_452	OHIN01000009	134777	135100	+
OG_603	OHIN01000009	135084	135335	+
OG_417	OHIN01000009	135310	137499	+
OG_2513	OHIN01000009	137625	137903	+
OG_2514	OHIN01000009	137906	138130	+
OG_1287	OHIN01000009	138154	138576	+
OG_620	OHIN01000009	138542	138943	+
OG_2515	OHIN01000009	138945	139139	+
OG_2516	OHIN01000009	139136	139477	+
OG_3101	OHIN01000009	139434	139895	+
OG_1229	OHIN01000009	139888	140622	+
OG_2517	OHIN01000009	140623	140832	+
OG_2518	OHIN01000009	140825	141070	+
OG_1159	OHIN01000009	141100	142014	+
OG_105	OHIN01000009	142210	142404	+
OG_2519	OHIN01000009	142380	142553	+
OG_2520	OHIN01000009	142555	143097	+
OG_1814	OHIN01000009	143094	143624	+
OG_1290	OHIN01000009	143621	144409	+
OG_2521	OHIN01000009	144406	144663	+
OG_2522	OHIN01000009	144641	144871	+
OG_53	OHIN01000009	144855	145490	+
OG_2523	OHIN01000009	145639	145785	+
OG_2524	OHIN01000009	145787	146224	+
OG_4	OHIN01000009	146194	146574	+
OG_619	OHIN01000009	146571	146747	+
OG_312	OHIN01000009	146734	147717	+
OG_1096	OHIN01000009	147714	148400	+
OG_2525	OHIN01000009	148403	148879	+
OG_1036	OHIN01000009	148821	149132	+
OG_196	OHIN01000009	149141	149386	+
OG_1490	OHIN01000009	149388	150086	+
OG_1205	OHIN01000009	150067	150669	+
OG_2526	OHIN01000009	150638	150802	+
OG_2527	OHIN01000009	150804	151007	+
OG_2528	OHIN01000009	150952	151260	+
OG_18	OHIN01000009	151257	151595	+
OG_1656	OHIN01000009	151592	152077	+
OG_2185	OHIN01000009	152074	152730	+
OG_6	OHIN01000009	152730	153038	+
OG_4607	OHIN01000009	153146	153901	+
OG_2529	OHIN01000009	154156	154356	+
OG_2530	OHIN01000009	154343	154861	+
OG_335	OHIN01000009	154913	159622	-
OG_24	OHIN01000009	159615	160550	-
OG_24	OHIN01000009	160547	169540	-
OG_421	OHIN01000009	169537	177879	-
OG_941	OHIN01000009	177876	179753	-
OG_63	OHIN01000009	179750	184120	-
OG_942	OHIN01000009	184186	184476	-
OG_7	OHIN01000009	184591	184992	-
