GeneID	Chr	Start	End	Strand
OG_1789	OHXK01000005	3	545	-
OG_1040	OHXK01000005	680	2383	-
OG_106	OHXK01000005	2402	3559	-
OG_47	OHXK01000005	3694	6456	-
OG_64	OHXK01000005	6507	9296	-
OG_1902	OHXK01000005	9293	9613	-
OG_1903	OHXK01000005	9582	10133	-
OG_1509	OHXK01000005	10126	10374	-
OG_1214	OHXK01000005	10380	11078	-
OG_1508	OHXK01000005	11080	11520	-
OG_83	OHXK01000005	11513	11926	-
OG_1790	OHXK01000005	13092	14153	+
OG_2259	OHXK01000005	14286	15335	+
OG_434	OHXK01000005	15438	16847	+
OG_110	OHXK01000005	16847	17833	+
OG_1904	OHXK01000005	17836	18195	+
OG_1905	OHXK01000005	18197	18463	+
OG_1505	OHXK01000005	18460	19044	+
OG_1504	OHXK01000005	19476	20576	+
OG_1503	OHXK01000005	20595	21419	+
OG_1906	OHXK01000005	21446	21703	+
OG_1907	OHXK01000005	21705	22253	+
OG_478	OHXK01000005	22225	22845	+
OG_82	OHXK01000005	22838	23152	+
OG_1901	OHXK01000005	23149	23748	+
OG_1909	OHXK01000005	24203	24505	+
OG_1502	OHXK01000005	24483	25232	+
OG_211	OHXK01000005	25229	25771	+
OG_642	OHXK01000005	25773	25958	+
OG_1910	OHXK01000005	25955	26233	+
OG_1911	OHXK01000005	26258	26536	-
OG_4770	OHXK01000005	26533	26787	-
OG_1912	OHXK01000005	26923	27474	-
OG_1957	OHXK01000005	27544	27870	-
OG_1500	OHXK01000005	27995	28561	+
OG_1913	OHXK01000005	29230	29436	+
OG_883	OHXK01000005	30467	30709	+
OG_1894	OHXK01000005	30721	30993	+
OG_3078	OHXK01000005	31090	31560	+
OG_1565	OHXK01000005	31551	31781	+
OG_1914	OHXK01000005	31811	32116	+
OG_1498	OHXK01000005	32113	32400	+
OG_1915	OHXK01000005	32373	32729	+
OG_1916	OHXK01000005	32848	33249	+
OG_1495	OHXK01000005	33251	33475	+
OG_96	OHXK01000005	33477	33977	+
OG_1917	OHXK01000005	33958	34200	+
OG_42	OHXK01000005	34436	34861	+
OG_1918	OHXK01000005	34863	35150	+
OG_1919	OHXK01000005	35164	35553	+
OG_670	OHXK01000005	35576	35785	+
OG_1920	OHXK01000005	36073	36810	+
OG_1953	OHXK01000005	36807	36941	+
OG_1922	OHXK01000005	36938	37645	+
OG_1554	OHXK01000005	37675	37911	+
OG_2043	OHXK01000005	37935	38996	+
UG_294	OHXK01000005	38987	39118	+
OG_1958	OHXK01000005	39202	39468	+
OG_1959	OHXK01000005	39455	39643	+
OG_95	OHXK01000005	39633	39824	+
OG_1923	OHXK01000005	39967	40458	+
OG_1895	OHXK01000005	40439	40768	+
OG_1897	OHXK01000005	40953	41870	+
OG_1898	OHXK01000005	41875	42882	+
OG_251	OHXK01000005	43061	43426	+
OG_1896	OHXK01000005	43423	43839	+
OG_1924	OHXK01000005	43881	44102	+
OG_1490	OHXK01000005	44124	44924	+
UG_295	OHXK01000005	44938	45225	+
OG_1924	OHXK01000005	45228	45509	+
OG_1925	OHXK01000005	45626	45907	+
OG_1892	OHXK01000005	45885	46571	+
OG_2818	OHXK01000005	46573	47037	+
OG_1926	OHXK01000005	47018	47350	+
OG_1488	OHXK01000005	47347	47847	+
OG_1893	OHXK01000005	47817	49250	+
OG_1487	OHXK01000005	49250	50206	+
OG_1802	OHXK01000005	50190	50477	+
OG_1927	OHXK01000005	50474	51037	+
OG_1928	OHXK01000005	51003	51422	+
OG_1481	OHXK01000005	51385	51675	+
OG_448	OHXK01000005	51672	52814	+
OG_122	OHXK01000005	52816	53457	+
OG_1929	OHXK01000005	53417	53755	+
OG_1486	OHXK01000005	53767	54465	+
OG_1542	OHXK01000005	54469	54753	+
OG_1542	OHXK01000005	54740	55024	+
OG_1930	OHXK01000005	55024	55122	+
OG_1931	OHXK01000005	55076	55531	+
OG_1485	OHXK01000005	55512	56537	+
OG_1933	OHXK01000005	56603	57199	+
OG_1934	OHXK01000005	57186	57362	+
OG_99	OHXK01000005	57359	58819	+
OG_1501	OHXK01000005	58816	59679	+
OG_3107	OHXK01000005	59681	60028	+
OG_1935	OHXK01000005	60031	60252	+
OG_447	OHXK01000005	60274	60867	+
OG_1520	OHXK01000005	60846	61175	+
OG_1936	OHXK01000005	61178	61453	+
OG_1515	OHXK01000005	61458	62603	+
OG_1937	OHXK01000005	62610	62942	+
OG_1938	OHXK01000005	62939	63046	+
OG_1899	OHXK01000005	63177	63659	+
OG_1939	OHXK01000005	63672	64067	+
OG_1940	OHXK01000005	64072	64584	+
OG_1941	OHXK01000005	64585	64962	+
OG_4780	OHXK01000005	64959	65165	+
OG_1943	OHXK01000005	65485	65679	+
OG_147	OHXK01000005	65708	66292	+
OG_1944	OHXK01000005	66289	66405	+
OG_1489	OHXK01000005	66398	66628	+
OG_1945	OHXK01000005	66632	67087	+
OG_1946	OHXK01000005	67060	67572	+
OG_1789	OHXK01000005	67922	69133	+
OG_130	OHXK01000005	69367	75813	-
OG_427	OHXK01000005	75901	76578	-
OG_426	OHXK01000005	76703	77020	-
OG_426	OHXK01000005	77118	77777	-
OG_169	OHXK01000005	77867	78916	-
OG_70	OHXK01000005	78928	80955	-
OG_1484	OHXK01000005	81034	81363	-
OG_319	OHXK01000005	81599	81892	-
OG_91	OHXK01000005	81986	82351	-
OG_304	OHXK01000005	82353	82841	-
OG_352	OHXK01000005	82899	83381	-
OG_268	OHXK01000005	83396	84424	-
OG_130	OHXK01000005	84671	86908	-
OG_123	OHXK01000005	87080	87547	-
OG_1947	OHXK01000005	87724	88350	-
OG_62	OHXK01000005	88436	93304	-
OG_131	OHXK01000005	93282	96269	-
OG_90	OHXK01000005	96273	98993	-
OG_1790	OHXK01000005	99149	100288	-
OG_1900	OHXK01000005	100540	100917	-
OG_471	OHXK01000005	100952	103213	-
OG_187	OHXK01000005	103353	103718	-
OG_70	OHXK01000005	103770	106040	-
OG_408	OHXK01000005	106098	112616	-
OG_1948	OHXK01000005	112813	113313	-
OG_227	OHXK01000005	113458	114186	-
OG_581	OHXK01000005	114302	115300	-
OG_1231	OHXK01000005	115282	115689	-
OG_100	OHXK01000005	115734	116201	+
OG_4770	OHXK01000005	116258	116533	-
OG_89	OHXK01000005	116533	117189	-
OG_1954	OHXK01000005	117267	117368	-
OG_100	OHXK01000005	117508	117813	+
OG_100	OHXK01000005	117890	122368	-
OG_88	OHXK01000005	122370	123176	-
OG_87	OHXK01000005	123178	123492	-
OG_1514	OHXK01000005	123485	123901	-
OG_1949	OHXK01000005	123903	124136	-
