GeneID	Chr	Start	End	Strand
OG_100	OGOH01000022	1	780	-
OG_291	OGOH01000022	773	3988	-
OG_318	OGOH01000022	3972	4376	-
OG_300	OGOH01000022	4387	7668	-
OG_812	OGOH01000022	7680	8378	-
OG_1149	OGOH01000022	8479	9453	-
OG_439	OGOH01000022	9552	10220	-
OG_462	OGOH01000022	10223	10933	-
OG_446	OGOH01000022	10933	11685	-
OG_253	OGOH01000022	11708	12355	-
OG_1038	OGOH01000022	12430	13899	-
OG_106	OGOH01000022	13935	15101	-
OG_229	OGOH01000022	15123	15356	-
OG_288	OGOH01000022	15349	16857	-
OG_813	OGOH01000022	16943	17407	-
OG_47	OGOH01000022	17410	19911	-
OG_64	OGOH01000022	19932	23096	-
OG_215	OGOH01000022	23489	23626	-
OG_396	OGOH01000022	23687	24217	-
OG_849	OGOH01000022	24204	24569	-
OG_210	OGOH01000022	24520	24885	-
OG_276	OGOH01000022	24946	25326	-
OG_427	OGOH01000022	25316	25753	-
OG_818	OGOH01000022	25900	26283	-
OG_822	OGOH01000022	26273	26650	-
OG_752	OGOH01000022	26643	27020	-
OG_751	OGOH01000022	27164	27523	-
OG_866	OGOH01000022	27555	27764	-
OG_447	OGOH01000022	27751	28065	-
OG_865	OGOH01000022	28062	28253	-
OG_312	OGOH01000022	28413	29309	-
OG_3057	OGOH01000022	29699	29842	+
OG_3140	OGOH01000022	29922	30089	+
OG_3056	OGOH01000022	30144	30374	+
OG_204	OGOH01000022	30681	31397	+
OG_3800	OGOH01000022	32399	32608	+
OG_171	OGOH01000022	33686	33991	+
OG_250	OGOH01000022	34011	34379	+
OG_349	OGOH01000022	34405	34863	+
OG_317	OGOH01000022	34952	35395	+
OG_1810	OGOH01000022	35663	35905	+
OG_848	OGOH01000022	35887	36150	+
OG_283	OGOH01000022	36169	36654	+
OG_854	OGOH01000022	36638	36736	+
OG_203	OGOH01000022	36727	36873	+
OG_847	OGOH01000022	37090	37389	+
OG_888	OGOH01000022	37391	37624	+
OG_753	OGOH01000022	37663	38130	+
OG_754	OGOH01000022	38840	39118	+
OG_835	OGOH01000022	39109	39294	+
OG_840	OGOH01000022	39291	39788	+
OG_758	OGOH01000022	39739	40131	+
OG_841	OGOH01000022	40180	40740	+
OG_846	OGOH01000022	40757	41128	+
OG_362	OGOH01000022	41203	42717	+
OG_184	OGOH01000022	42789	43190	+
OG_845	OGOH01000022	43207	43605	+
OG_234	OGOH01000022	45692	46891	+
OG_77	OGOH01000022	47078	47503	+
OG_175	OGOH01000022	47603	48130	+
OG_1724	OGOH01000022	48192	48983	+
OG_717	OGOH01000022	49116	51038	+
OG_338	OGOH01000022	51096	51665	+
OG_448	OGOH01000022	51646	52626	+
OG_770	OGOH01000022	52641	53156	+
OG_306	OGOH01000022	53233	53973	+
OG_416	OGOH01000022	53990	54619	+
OG_323	OGOH01000022	54843	55811	+
OG_2744	OGOH01000022	55795	56097	+
OG_74	OGOH01000022	56069	56452	+
OG_908	OGOH01000022	56501	57163	+
OG_317	OGOH01000022	57208	57747	+
OG_275	OGOH01000022	57744	58724	+
OG_1030	OGOH01000022	58702	59202	+
OG_130	OGOH01000022	59287	63441	-
OG_62	OGOH01000022	63456	77885	-
OG_125	OGOH01000022	77888	79861	-
OG_445	OGOH01000022	79851	81692	-
OG_408	OGOH01000022	81694	85866	-
OG_253	OGOH01000022	85856	86584	-
OG_583	OGOH01000022	86584	87513	-
OG_351	OGOH01000022	87510	87959	-
OG_456	OGOH01000022	87967	88611	-
OG_317	OGOH01000022	88601	89179	-
OG_319	OGOH01000022	89474	89782	-
OG_191	OGOH01000022	89819	90457	-
OG_679	OGOH01000022	90429	90938	-
OG_70	OGOH01000022	91181	93742	-
OG_227	OGOH01000022	93841	94920	-
OG_291	OGOH01000022	94920	95540	-
OG_70	OGOH01000022	95546	96388	-
OG_65	OGOH01000022	96392	96838	-
OG_173	OGOH01000022	96813	96983	-
OG_100	OGOH01000022	97001	98161	-
