GeneID	Chr	Start	End	Strand
OG_4791	OBAH01000076	3	95	+
OG_3818	OBAH01000076	149	358	+
OG_2394	OBAH01000076	334	453	+
OG_3546	OBAH01000076	901	1140	+
OG_2406	OBAH01000076	1214	1396	+
OG_764	OBAH01000076	1398	1835	+
OG_706	OBAH01000076	1884	2381	+
OG_769	OBAH01000076	2447	2635	+
OG_2396	OBAH01000076	2718	2870	+
OG_912	OBAH01000076	2888	3310	+
OG_1801	OBAH01000076	3423	3593	+
OG_1800	OBAH01000076	3596	3733	+
OG_2397	OBAH01000076	3847	4104	+
OG_332	OBAH01000076	4085	4861	+
OG_3063	OBAH01000076	4858	5025	+
OG_2398	OBAH01000076	5203	5436	+
OG_4782	OBAH01000076	5526	5834	+
OG_714	OBAH01000076	5887	6159	+
OG_541	OBAH01000076	6156	6665	+
OG_434	OBAH01000076	6665	8137	+
OG_2409	OBAH01000076	8127	8459	+
OG_2399	OBAH01000076	8541	8930	+
OG_716	OBAH01000076	8974	9543	+
OG_717	OBAH01000076	9533	10993	+
OG_253	OBAH01000076	11233	12003	+
OG_717	OBAH01000076	12109	12879	+
OG_218	OBAH01000076	12879	14294	+
OG_3862	OBAH01000076	14355	15287	+
OG_1980	OBAH01000076	15358	16173	+
OG_2687	OBAH01000076	16278	17255	+
OG_305	OBAH01000076	17371	18060	+
OG_323	OBAH01000076	18035	19261	+
OG_680	OBAH01000076	19218	19655	+
OG_430	OBAH01000076	19649	20146	+
OG_245	OBAH01000076	20143	21342	+
OG_538	OBAH01000076	21351	21707	+
OG_2411	OBAH01000076	21861	21977	+
OG_3817	OBAH01000076	22017	22154	+
OG_3817	OBAH01000076	22124	22501	+
OG_348	OBAH01000076	22507	23157	+
OG_312	OBAH01000076	23163	24170	+
OG_2401	OBAH01000076	24173	24388	+
OG_2402	OBAH01000076	24393	24581	+
OG_799	OBAH01000076	24583	24780	+
OG_228	OBAH01000076	24782	25546	+
OG_1416	OBAH01000076	25548	25688	+
OG_2403	OBAH01000076	25705	25977	+
OG_353	OBAH01000076	26010	27062	+
OG_2021	OBAH01000076	27052	27336	+
OG_2647	OBAH01000076	27669	28217	+
OG_211	OBAH01000076	28221	28832	+
OG_264	OBAH01000076	28857	29132	+
OG_469	OBAH01000076	29101	29373	+
OG_2391	OBAH01000076	29448	29693	+
OG_62	OBAH01000076	30520	43863	-
OG_314	OBAH01000076	43956	51026	-
OG_279	OBAH01000076	51029	52987	-
OG_1794	OBAH01000076	52994	54220	-
OG_436	OBAH01000076	54301	56283	-
OG_415	OBAH01000076	56287	60729	-
OG_584	OBAH01000076	60735	61493	-
OG_361	OBAH01000076	61450	62382	-
OG_464	OBAH01000076	62386	63075	-
OG_2183	OBAH01000076	63176	63673	-
OG_2184	OBAH01000076	63791	64105	-
OG_4062	OBAH01000076	64136	65569	-
OG_300	OBAH01000076	65556	72527	-
OG_70	OBAH01000076	72891	73505	-
OG_156	OBAH01000076	73507	73827	-
OG_319	OBAH01000076	73954	74376	-
OG_2392	OBAH01000076	74441	74692	-
OG_304	OBAH01000076	74697	75170	-
OG_359	OBAH01000076	75170	75385	-
OG_359	OBAH01000076	75337	75483	-
OG_268	OBAH01000076	75502	76431	-
OG_2393	OBAH01000076	76615	76989	-
OG_120	OBAH01000076	76979	77272	-
OG_213	OBAH01000076	77269	77484	-
OG_2390	OBAH01000076	77497	78120	-
OG_1151	OBAH01000076	78189	79040	-
OG_439	OBAH01000076	79069	79977	-
OG_410	OBAH01000076	79989	81140	-
OG_1038	OBAH01000076	81162	82640	-
OG_431	OBAH01000076	82666	84027	-
OG_47	OBAH01000076	84468	86897	-
OG_253	OBAH01000076	86925	87182	-
OG_64	OBAH01000076	87640	89946	-
OG_337	OBAH01000076	89943	90266	-
OG_437	OBAH01000076	90226	90492	-
OG_4767	OBAH01000076	90492	91100	-
OG_2646	OBAH01000076	91104	91229	-
OG_429	OBAH01000076	91336	92325	-
OG_407	OBAH01000076	92344	92964	-
OG_547	OBAH01000076	92946	93458	-
OG_413	OBAH01000076	93553	94089	-
OG_701	OBAH01000076	94546	95220	+
OG_4791	OBAH01000076	95419	95595	+
