GeneID	Chr	Start	End	Strand
OG_70	QRFC01000022	2	241	+
OG_945	QRFC01000022	348	656	+
OG_37	QRFC01000022	1246	1635	+
OG_425	QRFC01000022	1654	2118	+
OG_278	QRFC01000022	2187	2480	+
OG_39	QRFC01000022	2554	4296	+
OG_106	QRFC01000022	4391	5452	+
OG_1041	QRFC01000022	5474	6889	+
OG_446	QRFC01000022	6994	7839	+
OG_462	QRFC01000022	7854	8759	+
OG_21	QRFC01000022	8789	10024	+
OG_9	QRFC01000022	10083	10751	+
OG_582	QRFC01000022	10751	11440	+
OG_943	QRFC01000022	11441	11884	+
OG_944	QRFC01000022	11884	12432	+
OG_432	QRFC01000022	12435	15746	+
OG_415	QRFC01000022	15749	20224	+
OG_8	QRFC01000022	20217	21434	+
OG_60	QRFC01000022	21436	22845	+
OG_7	QRFC01000022	22849	23460	+
OG_942	QRFC01000022	23582	23908	+
OG_63	QRFC01000022	23988	28331	+
OG_941	QRFC01000022	28331	30169	+
OG_421	QRFC01000022	30173	37735	+
OG_62	QRFC01000022	37742	45556	+
OG_2946	QRFC01000022	45558	47369	+
OG_335	QRFC01000022	47369	52372	+
OG_940	QRFC01000022	52417	52581	-
OG_248	QRFC01000022	52566	53282	-
OG_939	QRFC01000022	53272	54324	-
OG_41	QRFC01000022	54326	55105	-
OG_253	QRFC01000022	55371	55832	-
OG_253	QRFC01000022	56250	57098	-
OG_41	QRFC01000022	57120	57341	-
OG_4148	QRFC01000022	57328	58449	-
OG_2947	QRFC01000022	58467	58757	-
OG_312	QRFC01000022	58750	59172	-
OG_305	QRFC01000022	59177	59452	-
OG_312	QRFC01000022	59899	61431	-
OG_460	QRFC01000022	61418	61678	-
OG_2948	QRFC01000022	61662	61919	-
OG_717	QRFC01000022	61920	63845	-
OG_1277	QRFC01000022	63838	64032	-
OG_938	QRFC01000022	64022	64192	-
OG_2950	QRFC01000022	64185	64472	-
OG_2954	QRFC01000022	64465	64578	-
OG_919	QRFC01000022	64566	64829	-
OG_305	QRFC01000022	64833	65501	-
OG_1159	QRFC01000022	65570	66475	-
OG_935	QRFC01000022	66465	66992	-
OG_2955	QRFC01000022	66976	67311	-
OG_3	QRFC01000022	67316	68692	-
OG_1166	QRFC01000022	68658	69083	-
OG_2956	QRFC01000022	69074	69253	-
OG_333	QRFC01000022	69213	70040	-
OG_1205	QRFC01000022	70115	70681	-
OG_2957	QRFC01000022	70888	71190	-
UG_607	QRFC01000022	71183	71755	-
OG_245	QRFC01000022	71748	72914	-
OG_434	QRFC01000022	72915	74363	-
OG_211	QRFC01000022	74363	74902	-
OG_2959	QRFC01000022	74866	75063	-
OG_2960	QRFC01000022	75057	75248	-
OG_2571	QRFC01000022	75241	75423	-
OG_40	QRFC01000022	75568	77007	-
OG_253	QRFC01000022	77105	77911	-
OG_40	QRFC01000022	78147	78941	-
OG_1268	QRFC01000022	78941	79699	-
OG_2961	QRFC01000022	79671	80168	-
OG_767	QRFC01000022	80232	80762	-
OG_275	QRFC01000022	80908	81093	-
OG_275	QRFC01000022	81460	82293	-
OG_447	QRFC01000022	82706	83365	-
OG_2949	QRFC01000022	83379	84770	-
OG_2962	QRFC01000022	84771	85868	-
OG_933	QRFC01000022	85861	86052	-
OG_1285	QRFC01000022	86039	86695	-
OG_253	QRFC01000022	86826	87683	-
OG_1285	QRFC01000022	87884	88180	-
OG_3907	QRFC01000022	88186	88500	-
OG_3911	QRFC01000022	88502	89008	-
OG_932	QRFC01000022	89038	89433	-
OG_323	QRFC01000022	89387	90430	-
OG_57	QRFC01000022	90445	91134	-
OG_931	QRFC01000022	91150	91650	-
OG_306	QRFC01000022	91656	92117	-
OG_448	QRFC01000022	92654	93748	-
OG_17	QRFC01000022	93748	94347	-
OG_218	QRFC01000022	94413	95633	-
OG_2944	QRFC01000022	95633	96181	-
OG_253	QRFC01000022	96398	97336	-
OG_2944	QRFC01000022	97611	97823	-
OG_930	QRFC01000022	97849	98679	-
OG_929	QRFC01000022	98682	98999	-
OG_1278	QRFC01000022	98986	99681	-
OG_333	QRFC01000022	99863	100687	-
OG_1279	QRFC01000022	100839	101414	-
OG_1321	QRFC01000022	101365	101562	-
OG_928	QRFC01000022	101562	101927	-
OG_927	QRFC01000022	101914	102225	-
OG_11	QRFC01000022	102291	102704	-
OG_1322	QRFC01000022	102688	102855	-
OG_632	QRFC01000022	102855	103220	-
OG_2949	QRFC01000022	103222	104598	-
OG_2951	QRFC01000022	104586	104780	-
OG_1286	QRFC01000022	104725	104982	-
OG_1003	QRFC01000022	104985	105473	-
OG_2983	QRFC01000022	105538	105756	-
OG_978	QRFC01000022	105858	106040	-
OG_1281	QRFC01000022	106044	106538	-
OG_1370	QRFC01000022	106525	106701	-
OG_1370	QRFC01000022	106655	106792	-
OG_191	QRFC01000022	106793	107404	-
OG_42	QRFC01000022	107488	108033	-
OG_2013	QRFC01000022	108152	108658	-
OG_2963	QRFC01000022	108717	109274	-
OG_2964	QRFC01000022	109393	109587	-
OG_987	QRFC01000022	109703	110083	-
OG_2965	QRFC01000022	110085	110204	-
OG_43	QRFC01000022	110204	110695	-
OG_2966	QRFC01000022	110662	110907	-
OG_920	QRFC01000022	110920	111252	-
OG_2967	QRFC01000022	111513	111707	-
OG_923	QRFC01000022	111691	112755	-
OG_2968	QRFC01000022	112748	112951	-
OG_2582	QRFC01000022	113065	113415	-
OG_16	QRFC01000022	113408	114214	-
OG_2572	QRFC01000022	114205	114618	-
OG_3755	QRFC01000022	114608	115588	-
OG_44	QRFC01000022	115590	116171	-
OG_1332	QRFC01000022	116156	116458	-
OG_2969	QRFC01000022	116440	116589	-
OG_1273	QRFC01000022	116642	118333	-
OG_305	QRFC01000022	118963	119532	-
OG_77	QRFC01000022	119835	120569	-
OG_1334	QRFC01000022	120894	121352	-
OG_2482	QRFC01000022	121561	122142	-
OG_2970	QRFC01000022	122696	123082	-
OG_2971	QRFC01000022	123901	124038	-
OG_1382	QRFC01000022	124017	124304	-
OG_76	QRFC01000022	124318	124677	-
OG_1349	QRFC01000022	124664	124921	-
OG_914	QRFC01000022	124924	125043	-
OG_45	QRFC01000022	125294	125521	-
UG_608	QRFC01000022	126117	126263	-
OG_1296	QRFC01000022	126307	126675	-
OG_921	QRFC01000022	126663	126938	-
OG_1275	QRFC01000022	126928	127302	-
OG_1491	QRFC01000022	127865	128701	-
OG_2972	QRFC01000022	128704	129525	-
OG_2973	QRFC01000022	129542	131068	-
OG_2973	QRFC01000022	131055	131654	-
UG_609	QRFC01000022	131638	131760	-
OG_2952	QRFC01000022	131791	132822	-
OG_2974	QRFC01000022	132828	133475	-
OG_2975	QRFC01000022	133426	133899	-
OG_2976	QRFC01000022	133901	134014	-
OG_1758	QRFC01000022	134949	135677	-
OG_962	QRFC01000022	135795	135956	-
OG_2977	QRFC01000022	136550	136942	-
OG_2978	QRFC01000022	137249	137485	-
OG_2979	QRFC01000022	137488	137694	-
OG_2945	QRFC01000022	137725	137925	-
OG_4490	QRFC01000022	138182	138895	+
UG_610	QRFC01000022	138927	139262	-
OG_2980	QRFC01000022	139262	139429	-
OG_2981	QRFC01000022	139826	140455	-
OG_2982	QRFC01000022	140738	141304	-
OG_793	QRFC01000022	141659	141850	+
OG_65	QRFC01000022	142361	143809	+
OG_467	QRFC01000022	143900	146158	+
OG_599	QRFC01000022	146343	146738	+
OG_253	QRFC01000022	146738	147019	+
OG_2953	QRFC01000022	147092	147736	-
UG_611	QRFC01000022	147938	148084	+
OG_229	QRFC01000022	148198	148494	-
OG_66	QRFC01000022	148610	149350	+
OG_429	QRFC01000022	149338	150279	+
OG_1215	QRFC01000022	150282	150551	+
OG_253	QRFC01000022	150545	151429	+
OG_951	QRFC01000022	151444	151941	+
OG_949	QRFC01000022	151934	152167	+
OG_47	QRFC01000022	152167	152445	+
OG_48	QRFC01000022	152396	153091	+
OG_396	QRFC01000022	153091	153669	+
OG_64	QRFC01000022	153688	154323	+
OG_333	QRFC01000022	154409	155194	+
OG_64	QRFC01000022	155489	156898	+
OG_948	QRFC01000022	156888	157196	+
OG_47	QRFC01000022	157172	159376	+
OG_947	QRFC01000022	159376	160152	+
OG_946	QRFC01000022	160136	160327	+
OG_70	QRFC01000022	160314	160505	+
OG_70	QRFC01000022	160582	162339	+
OG_70	QRFC01000022	162350	162964	+
OG_70	QRFC01000022	163119	164594	+
OG_70	QRFC01000022	164656	166884	+
OG_70	QRFC01000022	166904	168976	+
