GeneID	Chr	Start	End	Strand
UG_343	OIZE01000030	1	126	-
OG_1501	OIZE01000030	572	1531	-
OG_49	OIZE01000030	1497	2375	-
OG_1571	OIZE01000030	2372	2782	-
OG_155	OIZE01000030	2967	3623	+
OG_1572	OIZE01000030	3654	3923	-
OG_1502	OIZE01000030	3920	4612	-
OG_4752	OIZE01000030	5137	5895	-
OG_211	OIZE01000030	5914	6564	-
OG_1573	OIZE01000030	6567	6815	-
OG_1503	OIZE01000030	6871	7839	-
OG_1504	OIZE01000030	7854	8963	-
OG_1505	OIZE01000030	9060	9593	-
OG_1574	OIZE01000030	9600	10034	-
OG_1575	OIZE01000030	10031	10279	-
OG_1576	OIZE01000030	10285	10587	-
OG_127	OIZE01000030	10584	11456	-
OG_452	OIZE01000030	11468	11779	-
OG_434	OIZE01000030	11791	13218	-
OG_1577	OIZE01000030	13476	15089	-
OG_83	OIZE01000030	15386	15826	+
OG_1508	OIZE01000030	15813	16262	+
OG_1214	OIZE01000030	16266	17003	+
OG_1509	OIZE01000030	17009	17290	+
OG_1578	OIZE01000030	17277	17798	+
OG_1579	OIZE01000030	17776	18114	+
OG_64	OIZE01000030	18122	21322	+
OG_47	OIZE01000030	21364	24123	+
OG_106	OIZE01000030	24250	25416	+
OG_1040	OIZE01000030	25439	27139	+
OG_84	OIZE01000030	27244	28332	+
OG_85	OIZE01000030	28336	29010	+
OG_1212	OIZE01000030	29153	31141	+
OG_1510	OIZE01000030	31233	32975	+
OG_1580	OIZE01000030	32987	33271	+
OG_322	OIZE01000030	33271	35382	+
OG_231	OIZE01000030	35384	35656	+
OG_1581	OIZE01000030	35742	35960	+
OG_70	OIZE01000030	35963	37012	+
OG_169	OIZE01000030	37028	38140	+
OG_65	OIZE01000030	38272	38733	+
OG_1511	OIZE01000030	38735	39322	+
OG_1582	OIZE01000030	39304	39771	+
OG_907	OIZE01000030	39855	40733	+
OG_1512	OIZE01000030	40755	41081	+
OG_1513	OIZE01000030	41083	41334	+
OG_86	OIZE01000030	41331	41969	+
OG_103	OIZE01000030	41972	44029	+
OG_124	OIZE01000030	44532	45950	+
OG_1583	OIZE01000030	46009	46362	+
OG_1584	OIZE01000030	46337	46615	+
OG_1514	OIZE01000030	46599	47021	+
OG_87	OIZE01000030	47038	47424	+
OG_88	OIZE01000030	47440	48210	+
OG_100	OIZE01000030	48207	52718	+
OG_1585	OIZE01000030	52848	52970	+
OG_461	OIZE01000030	53033	53449	+
OG_1586	OIZE01000030	53418	53807	+
OG_89	OIZE01000030	53804	54508	+
OG_1231	OIZE01000030	54579	55073	+
OG_123	OIZE01000030	55175	55360	+
OG_123	OIZE01000030	55427	56125	+
OG_581	OIZE01000030	56208	57104	+
OG_1588	OIZE01000030	57101	57268	+
OG_227	OIZE01000030	57270	57998	+
OG_1515	OIZE01000030	58003	59136	+
OG_813	OIZE01000030	59120	59581	+
OG_4674	OIZE01000030	59574	60035	+
OG_1956	OIZE01000030	60113	60862	+
OG_3387	OIZE01000030	60872	61381	+
OG_408	OIZE01000030	61462	68232	+
OG_1790	OIZE01000030	68431	69570	+
OG_427	OIZE01000030	69817	70215	+
OG_427	OIZE01000030	70212	70631	+
OG_48	OIZE01000030	70615	73035	+
OG_1791	OIZE01000030	73635	73739	-
OG_2259	OIZE01000030	73791	74810	+
OG_90	OIZE01000030	74879	77722	+
OG_362	OIZE01000030	77722	80745	+
OG_62	OIZE01000030	80749	87465	+
OG_1591	OIZE01000030	87468	88046	+
OG_130	OIZE01000030	88088	90346	+
OG_123	OIZE01000030	91057	91941	+
OG_268	OIZE01000030	92119	93126	+
OG_352	OIZE01000030	93150	93563	+
OG_304	OIZE01000030	93620	94108	+
OG_91	OIZE01000030	94116	94493	+
OG_319	OIZE01000030	94587	94880	+
OG_1792	OIZE01000030	95048	95224	+
OG_1522	OIZE01000030	95351	95578	+
OG_1523	OIZE01000030	95575	95790	+
OG_1778	OIZE01000030	95790	95993	+
OG_4769	OIZE01000030	95995	96630	+
OG_105	OIZE01000030	96654	97517	+
OG_1777	OIZE01000030	97514	97789	+
OG_1524	OIZE01000030	97792	98097	+
OG_1525	OIZE01000030	98115	98465	+
OG_1037	OIZE01000030	98462	98779	+
OG_1779	OIZE01000030	98769	98939	+
OG_1484	OIZE01000030	98926	99312	+
OG_130	OIZE01000030	99455	105877	+
OG_121	OIZE01000030	106091	106708	+
OG_1793	OIZE01000030	106713	107162	+
