GeneID	Chr	Start	End	Strand
OG_2045	OBAE01000091	142	375	-
OG_793	OBAE01000091	550	846	-
OG_2046	OBAE01000091	958	1170	-
OG_813	OBAE01000091	1174	1512	-
OG_165	OBAE01000091	1509	1832	-
OG_2047	OBAE01000091	1836	2033	-
OG_622	OBAE01000091	2596	2868	+
OG_1157	OBAE01000091	3488	3697	+
OG_2048	OBAE01000091	3694	3927	+
OG_2049	OBAE01000091	4168	4488	+
OG_2050	OBAE01000091	4767	5147	+
OG_2051	OBAE01000091	5163	5447	+
OG_2052	OBAE01000091	5444	5776	+
OG_2054	OBAE01000091	5986	6147	+
OG_637	OBAE01000091	6547	6696	+
OG_607	OBAE01000091	7378	7638	+
OG_390	OBAE01000091	7779	9026	+
OG_161	OBAE01000091	9023	9682	+
OG_441	OBAE01000091	9679	10176	+
OG_253	OBAE01000091	10212	11081	+
OG_441	OBAE01000091	11169	11630	+
OG_356	OBAE01000091	11569	12372	+
OG_441	OBAE01000091	12465	12878	+
OG_1097	OBAE01000091	13432	14112	+
OG_609	OBAE01000091	14105	14362	+
OG_611	OBAE01000091	14378	14764	+
OG_585	OBAE01000091	14800	15735	+
OG_323	OBAE01000091	15756	16754	+
OG_589	OBAE01000091	16796	17443	+
OG_1465	OBAE01000091	17462	18481	+
OG_1099	OBAE01000091	18474	19565	+
OG_1098	OBAE01000091	19558	20385	+
OG_2055	OBAE01000091	20382	21047	+
OG_1096	OBAE01000091	21037	21714	+
OG_658	OBAE01000091	21736	22251	+
OG_74	OBAE01000091	22251	22712	+
OG_423	OBAE01000091	22709	23020	+
OG_275	OBAE01000091	23020	23808	+
OG_275	OBAE01000091	24037	24348	+
OG_36	OBAE01000091	24351	26489	+
OG_433	OBAE01000091	26658	27113	+
OG_2056	OBAE01000091	27132	27344	+
OG_138	OBAE01000091	27348	27563	+
OG_2057	OBAE01000091	27611	27823	+
OG_211	OBAE01000091	27820	28299	+
OG_593	OBAE01000091	28311	28799	+
OG_630	OBAE01000091	28796	29065	+
OG_417	OBAE01000091	29076	30380	+
OG_333	OBAE01000091	30451	31266	+
OG_333	OBAE01000091	31587	32414	+
OG_417	OBAE01000091	32536	33444	+
OG_348	OBAE01000091	33459	33872	+
OG_2043	OBAE01000091	33862	34461	+
OG_601	OBAE01000091	34500	34847	+
OG_312	OBAE01000091	34859	35758	+
OG_62	OBAE01000091	35907	42800	+
OG_62	OBAE01000091	42808	46851	+
UG_70	OBAE01000091	46855	46950	+
OG_62	OBAE01000091	47002	53613	-
OG_594	OBAE01000091	53622	55589	-
OG_229	OBAE01000091	55591	58467	-
OG_408	OBAE01000091	58579	63255	-
OG_583	OBAE01000091	63292	63981	-
OG_351	OBAE01000091	63993	64586	-
OG_456	OBAE01000091	64588	65280	-
OG_162	OBAE01000091	65386	65652	-
OG_595	OBAE01000091	65636	66199	-
OG_1152	OBAE01000091	66249	67295	-
OG_414	OBAE01000091	67330	68049	-
OG_414	OBAE01000091	68049	68783	-
OG_446	OBAE01000091	68785	69819	-
OG_1038	OBAE01000091	69909	70019	-
OG_317	OBAE01000091	70202	70744	-
OG_317	OBAE01000091	71020	71661	-
OG_317	OBAE01000091	72088	72714	-
OG_1038	OBAE01000091	72787	73125	-
OG_253	OBAE01000091	73216	74175	-
OG_1038	OBAE01000091	74296	74718	-
OG_253	OBAE01000091	74791	75438	-
OG_1038	OBAE01000091	75578	75823	-
OG_317	OBAE01000091	75932	76723	-
OG_1038	OBAE01000091	76824	77024	-
OG_3142	OBAE01000091	77058	77849	-
OG_376	OBAE01000091	77863	78999	-
OG_420	OBAE01000091	79157	79810	-
OG_278	OBAE01000091	79815	80192	-
OG_425	OBAE01000091	80198	80704	-
OG_37	OBAE01000091	80763	81530	-
OG_427	OBAE01000091	81717	82052	-
OG_225	OBAE01000091	82204	82401	-
OG_180	OBAE01000091	82361	82750	-
OG_613	OBAE01000091	82728	82826	-
OG_1156	OBAE01000091	82924	83352	-
OG_252	OBAE01000091	83336	83716	-
OG_191	OBAE01000091	83718	84338	-
OG_70	OBAE01000091	84431	85132	-
OG_70	OBAE01000091	85220	85321	-
OG_70	OBAE01000091	85337	87331	-
OG_47	OBAE01000091	87334	89739	-
OG_64	OBAE01000091	89812	93063	-
OG_638	OBAE01000091	93056	93400	-
OG_407	OBAE01000091	93402	93953	-
OG_596	OBAE01000091	94012	94431	-
OG_2044	OBAE01000091	94418	94696	-
OG_749	OBAE01000091	94653	94982	-
OG_819	OBAE01000091	94979	95362	-
OG_597	OBAE01000091	95391	95687	-
OG_598	OBAE01000091	95699	95923	-
OG_1158	OBAE01000091	95871	96188	-
OG_664	OBAE01000091	96185	96364	-
OG_673	OBAE01000091	96753	97205	-
OG_1469	OBAE01000091	97333	97539	-
