GeneID	Chr	Start	End	Strand
OG_1157	SRR4295173_s_14	184	393	+
OG_2048	SRR4295173_s_14	390	623	+
OG_170	SRR4295173_s_14	750	983	+
OG_2050	SRR4295173_s_14	1459	1839	+
OG_2051	SRR4295173_s_14	1861	2139	+
OG_2052	SRR4295173_s_14	2136	2462	+
OG_2054	SRR4295173_s_14	2597	2758	+
OG_607	SRR4295173_s_14	3727	3909	+
OG_390	SRR4295173_s_14	4460	5707	+
OG_161	SRR4295173_s_14	5704	6363	+
OG_441	SRR4295173_s_14	6360	7226	+
OG_356	SRR4295173_s_14	7298	8170	+
OG_441	SRR4295173_s_14	8418	8801	+
OG_1097	SRR4295173_s_14	8758	9438	+
OG_609	SRR4295173_s_14	9431	9688	+
OG_611	SRR4295173_s_14	9704	10090	+
OG_585	SRR4295173_s_14	10126	11061	+
OG_323	SRR4295173_s_14	11082	12080	+
OG_589	SRR4295173_s_14	12122	12775	+
OG_1465	SRR4295173_s_14	12794	13795	+
OG_1099	SRR4295173_s_14	13788	14879	+
OG_1098	SRR4295173_s_14	14872	15699	+
OG_2055	SRR4295173_s_14	15696	16364	+
OG_1096	SRR4295173_s_14	16354	17031	+
OG_658	SRR4295173_s_14	17053	17568	+
OG_74	SRR4295173_s_14	17568	18029	+
OG_423	SRR4295173_s_14	18026	18337	+
OG_275	SRR4295173_s_14	18337	19383	+
OG_36	SRR4295173_s_14	19386	21524	+
OG_433	SRR4295173_s_14	21693	22148	+
OG_2056	SRR4295173_s_14	22167	22379	+
OG_138	SRR4295173_s_14	22383	22598	+
OG_2057	SRR4295173_s_14	22565	22858	+
OG_211	SRR4295173_s_14	22855	23334	+
OG_593	SRR4295173_s_14	23346	23840	+
OG_630	SRR4295173_s_14	23837	24106	+
OG_417	SRR4295173_s_14	24117	25421	+
OG_333	SRR4295173_s_14	25492	26307	+
OG_417	SRR4295173_s_14	26406	26633	+
OG_333	SRR4295173_s_14	26701	27330	+
OG_417	SRR4295173_s_14	27632	28336	+
OG_348	SRR4295173_s_14	28360	28764	+
OG_2043	SRR4295173_s_14	28754	29353	+
OG_601	SRR4295173_s_14	29392	29739	+
OG_312	SRR4295173_s_14	29751	30026	+
OG_334	SRR4295173_s_14	30098	30742	+
OG_312	SRR4295173_s_14	30729	30962	+
OG_305	SRR4295173_s_14	31172	31843	+
OG_19	SRR4295173_s_14	31851	32000	+
OG_312	SRR4295173_s_14	32132	32503	+
OG_62	SRR4295173_s_14	32652	39545	+
OG_62	SRR4295173_s_14	39553	43596	+
OG_62	SRR4295173_s_14	43750	50361	-
OG_594	SRR4295173_s_14	50370	52337	-
OG_229	SRR4295173_s_14	52339	55215	-
OG_408	SRR4295173_s_14	55327	60036	-
OG_583	SRR4295173_s_14	60040	60729	-
OG_351	SRR4295173_s_14	60747	61340	-
OG_456	SRR4295173_s_14	61342	62034	-
OG_162	SRR4295173_s_14	62140	62406	-
OG_595	SRR4295173_s_14	62390	62953	-
OG_1152	SRR4295173_s_14	63003	64049	-
OG_414	SRR4295173_s_14	64084	64803	-
OG_414	SRR4295173_s_14	64803	65537	-
OG_446	SRR4295173_s_14	65539	66573	-
OG_317	SRR4295173_s_14	66956	67498	-
OG_317	SRR4295173_s_14	67773	68414	-
OG_317	SRR4295173_s_14	68840	69466	-
OG_1038	SRR4295173_s_14	69539	69877	-
OG_253	SRR4295173_s_14	70007	70645	-
OG_253	SRR4295173_s_14	70888	71847	-
OG_1038	SRR4295173_s_14	71968	72390	-
OG_253	SRR4295173_s_14	72517	73179	-
OG_253	SRR4295173_s_14	73526	74116	-
OG_1038	SRR4295173_s_14	74264	74641	-
OG_3142	SRR4295173_s_14	74684	74974	-
OG_3142	SRR4295173_s_14	75013	75180	-
OG_376	SRR4295173_s_14	75194	76330	-
OG_420	SRR4295173_s_14	76488	77141	-
OG_278	SRR4295173_s_14	77146	77523	-
OG_425	SRR4295173_s_14	77529	78035	-
OG_37	SRR4295173_s_14	78094	78861	-
OG_427	SRR4295173_s_14	79048	79383	-
OG_1156	SRR4295173_s_14	79476	79913	-
OG_252	SRR4295173_s_14	79888	80268	-
OG_191	SRR4295173_s_14	80270	80890	-
OG_70	SRR4295173_s_14	80983	81819	-
OG_70	SRR4295173_s_14	81896	83920	-
OG_47	SRR4295173_s_14	83923	86325	-
OG_64	SRR4295173_s_14	86398	88692	-
OG_638	SRR4295173_s_14	88664	89008	-
OG_407	SRR4295173_s_14	89010	89561	-
OG_596	SRR4295173_s_14	89620	90039	-
OG_2044	SRR4295173_s_14	90026	90307	-
OG_749	SRR4295173_s_14	90264	90593	-
OG_819	SRR4295173_s_14	90590	90973	-
OG_597	SRR4295173_s_14	91002	91298	-
OG_598	SRR4295173_s_14	91310	91534	-
OG_1158	SRR4295173_s_14	91482	91799	-
OG_664	SRR4295173_s_14	91796	91975	-
OG_673	SRR4295173_s_14	92364	92816	-
OG_1469	SRR4295173_s_14	92944	93150	-
OG_2045	SRR4295173_s_14	93388	93621	-
OG_793	SRR4295173_s_14	93797	94093	-
OG_2046	SRR4295173_s_14	94205	94384	-
OG_813	SRR4295173_s_14	94421	94759	-
OG_165	SRR4295173_s_14	94756	95079	-
OG_2047	SRR4295173_s_14	95083	95280	-
OG_622	SRR4295173_s_14	95845	96117	+
