GeneID	Chr	Start	End	Strand
OG_2021	OIZP01000035	390	638	-
OG_353	OIZP01000035	635	1690	-
OG_3786	OIZP01000035	1769	2044	-
OG_228	OIZP01000035	2046	2795	-
OG_799	OIZP01000035	2805	3005	-
OG_2401	OIZP01000035	3002	3205	-
OG_1028	OIZP01000035	3207	3794	-
UG_346	OIZP01000035	3799	4833	-
OG_3705	OIZP01000035	4961	5797	-
OG_3787	OIZP01000035	5794	6024	-
OG_312	OIZP01000035	6011	6913	-
OG_3788	OIZP01000035	6935	7108	-
OG_348	OIZP01000035	7118	7813	-
OG_2400	OIZP01000035	7820	9244	-
OG_539	OIZP01000035	9413	9772	-
OG_245	OIZP01000035	9779	10972	-
OG_430	OIZP01000035	10969	11400	-
OG_680	OIZP01000035	11390	11764	-
OG_323	OIZP01000035	11790	13016	-
OG_2687	OIZP01000035	13136	14083	-
OG_1980	OIZP01000035	14200	15003	-
OG_3862	OIZP01000035	15064	15969	-
OG_218	OIZP01000035	16020	17429	-
OG_717	OIZP01000035	17439	19715	-
OG_716	OIZP01000035	19712	20233	-
OG_628	OIZP01000035	20250	20597	-
OG_148	OIZP01000035	20601	20855	-
OG_434	OIZP01000035	20982	22457	-
OG_541	OIZP01000035	22454	22963	-
OG_714	OIZP01000035	22926	23231	-
OG_1800	OIZP01000035	23507	23680	-
OG_764	OIZP01000035	23670	23990	-
OG_912	OIZP01000035	24087	24494	-
OG_2396	OIZP01000035	24516	24668	-
OG_768	OIZP01000035	24718	25134	-
OG_706	OIZP01000035	25224	25721	-
UG_347	OIZP01000035	25824	26051	-
UG_348	OIZP01000035	26076	26360	-
OG_3789	OIZP01000035	26462	26812	-
OG_704	OIZP01000035	27140	27637	-
OG_413	OIZP01000035	29196	29774	+
OG_547	OIZP01000035	29795	30286	+
OG_407	OIZP01000035	30283	30894	+
OG_429	OIZP01000035	30901	31893	+
OG_4767	OIZP01000035	31900	32508	+
OG_437	OIZP01000035	32508	32777	+
OG_337	OIZP01000035	32734	33060	+
OG_64	OIZP01000035	33063	35354	+
OG_47	OIZP01000035	35376	37799	+
OG_431	OIZP01000035	38235	39593	+
OG_1039	OIZP01000035	39627	41099	+
OG_410	OIZP01000035	41123	42328	+
OG_439	OIZP01000035	42341	43231	+
OG_1151	OIZP01000035	43259	44101	+
OG_2390	OIZP01000035	44162	44782	+
OG_213	OIZP01000035	44795	45019	+
OG_120	OIZP01000035	45024	45515	+
OG_3790	OIZP01000035	45521	45652	+
OG_291	OIZP01000035	45664	46527	+
OG_291	OIZP01000035	46543	47658	+
OG_70	OIZP01000035	47687	49096	+
OG_3791	OIZP01000035	49110	49463	+
OG_2393	OIZP01000035	49485	49823	+
OG_268	OIZP01000035	50005	50976	+
OG_359	OIZP01000035	50992	51309	+
OG_304	OIZP01000035	51309	51794	+
OG_2392	OIZP01000035	51796	52029	+
OG_319	OIZP01000035	52140	52544	+
OG_3792	OIZP01000035	52792	53022	+
OG_156	OIZP01000035	53010	53330	+
OG_70	OIZP01000035	53337	55481	+
OG_464	OIZP01000035	56081	56758	+
OG_361	OIZP01000035	56762	57697	+
OG_584	OIZP01000035	57642	58406	+
OG_415	OIZP01000035	58410	61736	+
OG_415	OIZP01000035	61729	64320	+
OG_436	OIZP01000035	64324	68541	+
OG_1794	OIZP01000035	68619	69851	+
OG_279	OIZP01000035	69848	71590	+
OG_314	OIZP01000035	71593	78756	+
OG_62	OIZP01000035	78871	92682	+
UG_349	OIZP01000035	92775	92990	+
OG_469	OIZP01000035	93339	93629	-
OG_211	OIZP01000035	93639	94103	-
OG_2647	OIZP01000035	94087	94695	-
