GeneID	Chr	Start	End	Strand
OG_4060	HvCF_A5_ms_3	1	132	+
OG_614	HvCF_A5_ms_3	538	747	+
OG_413	HvCF_A5_ms_3	756	1328	+
OG_547	HvCF_A5_ms_3	1427	1966	+
OG_407	HvCF_A5_ms_3	1953	2558	+
OG_429	HvCF_A5_ms_3	2568	3575	+
OG_3131	HvCF_A5_ms_3	3572	3904	+
OG_257	HvCF_A5_ms_3	3911	4171	+
OG_256	HvCF_A5_ms_3	4155	4367	+
OG_409	HvCF_A5_ms_3	4377	4796	+
OG_424	HvCF_A5_ms_3	4813	5118	+
OG_412	HvCF_A5_ms_3	5078	5407	+
OG_64	HvCF_A5_ms_3	5418	7667	+
OG_2254	HvCF_A5_ms_3	7672	7794	+
OG_47	HvCF_A5_ms_3	7799	10195	+
OG_431	HvCF_A5_ms_3	10580	11911	+
OG_1039	HvCF_A5_ms_3	11932	13404	+
OG_410	HvCF_A5_ms_3	13428	14567	+
OG_439	HvCF_A5_ms_3	14572	15255	+
OG_1151	HvCF_A5_ms_3	15271	16140	+
OG_2390	HvCF_A5_ms_3	16197	16847	+
OG_746	HvCF_A5_ms_3	16840	17085	+
OG_120	HvCF_A5_ms_3	17063	20209	+
OG_291	HvCF_A5_ms_3	20154	23342	+
OG_743	HvCF_A5_ms_3	23429	23941	+
OG_745	HvCF_A5_ms_3	23953	24459	+
OG_741	HvCF_A5_ms_3	24672	24914	+
OG_156	HvCF_A5_ms_3	24916	25242	+
OG_813	HvCF_A5_ms_3	25326	25664	+
OG_70	HvCF_A5_ms_3	25827	25997	+
OG_322	HvCF_A5_ms_3	26324	27790	+
OG_278	HvCF_A5_ms_3	28084	28455	+
OG_464	HvCF_A5_ms_3	28593	29294	+
OG_361	HvCF_A5_ms_3	29298	30254	+
OG_584	HvCF_A5_ms_3	30199	31029	+
OG_415	HvCF_A5_ms_3	31038	34511	+
OG_440	HvCF_A5_ms_3	34515	35321	+
OG_436	HvCF_A5_ms_3	35432	37876	+
OG_1794	HvCF_A5_ms_3	37896	40496	+
OG_314	HvCF_A5_ms_3	40498	46464	+
OG_62	HvCF_A5_ms_3	46542	59795	+
OG_618	HvCF_A5_ms_3	60021	60617	+
OG_2255	HvCF_A5_ms_3	60892	61014	-
OG_740	HvCF_A5_ms_3	61011	61205	-
OG_313	HvCF_A5_ms_3	61450	61608	-
OG_418	HvCF_A5_ms_3	61624	61767	-
OG_326	HvCF_A5_ms_3	61780	62235	-
OG_2256	HvCF_A5_ms_3	62239	62517	-
OG_211	HvCF_A5_ms_3	62498	63070	-
OG_353	HvCF_A5_ms_3	63113	64177	-
OG_228	HvCF_A5_ms_3	64180	64977	-
OG_329	HvCF_A5_ms_3	64980	65261	-
OG_312	HvCF_A5_ms_3	65350	66240	-
OG_4	HvCF_A5_ms_3	66248	66553	-
OG_248	HvCF_A5_ms_3	66684	67391	-
OG_536	HvCF_A5_ms_3	67655	68089	-
OG_245	HvCF_A5_ms_3	68092	69300	-
OG_344	HvCF_A5_ms_3	69293	69838	-
OG_680	HvCF_A5_ms_3	69842	70198	-
OG_323	HvCF_A5_ms_3	70224	71426	-
OG_2687	HvCF_A5_ms_3	71560	72540	-
OG_1980	HvCF_A5_ms_3	72647	73489	-
OG_317	HvCF_A5_ms_3	73507	74124	-
OG_3862	HvCF_A5_ms_3	74188	75147	-
OG_218	HvCF_A5_ms_3	75198	76616	-
OG_717	HvCF_A5_ms_3	76619	78925	-
OG_716	HvCF_A5_ms_3	78925	79452	-
OG_722	HvCF_A5_ms_3	79433	79735	-
OG_434	HvCF_A5_ms_3	79728	81170	-
OG_542	HvCF_A5_ms_3	81170	81628	-
OG_714	HvCF_A5_ms_3	81631	81936	-
OG_737	HvCF_A5_ms_3	82151	82258	-
OG_2252	HvCF_A5_ms_3	82255	82461	-
OG_4059	HvCF_A5_ms_3	82466	82927	-
OG_735	HvCF_A5_ms_3	82932	83417	-
OG_719	HvCF_A5_ms_3	83528	83800	-
OG_1399	HvCF_A5_ms_3	84170	84631	-
OG_729	HvCF_A5_ms_3	84650	84814	-
OG_707	HvCF_A5_ms_3	84934	85383	-
OG_618	HvCF_A5_ms_3	86343	86894	-
OG_703	HvCF_A5_ms_3	87507	88205	-
OG_618	HvCF_A5_ms_3	88708	89442	-
UG_49	HvCF_A5_ms_3	89685	89780	+
