GeneID	Chr	Start	End	Strand
OG_202	OJOV01000080	2	178	-
OG_426	OJOV01000080	261	944	-
OG_155	OJOV01000080	1048	3609	-
OG_155	OJOV01000080	3629	6403	-
OG_572	OJOV01000080	6470	7447	-
OG_439	OJOV01000080	7457	8497	-
OG_410	OJOV01000080	8513	9529	-
OG_1039	OJOV01000080	9580	11064	-
OG_431	OJOV01000080	11076	12413	-
OG_47	OJOV01000080	12643	15030	-
OG_64	OJOV01000080	15031	17433	-
OG_407	OJOV01000080	17437	18069	-
OG_202	OJOV01000080	18207	18371	-
OG_155	OJOV01000080	18391	19041	-
OG_1731	OJOV01000080	19056	19724	-
OG_242	OJOV01000080	19721	20095	-
OG_549	OJOV01000080	20049	20366	-
OG_4767	OJOV01000080	20363	21022	-
OG_429	OJOV01000080	21025	22029	-
OG_573	OJOV01000080	21974	22489	-
OG_574	OJOV01000080	22502	22978	-
OG_575	OJOV01000080	22991	23110	-
OG_2011	OJOV01000080	23186	23302	-
OG_2145	OJOV01000080	23923	24177	-
OG_579	OJOV01000080	24977	25204	+
OG_4495	OJOV01000080	25440	25994	+
OG_4773	OJOV01000080	25991	26179	+
OG_550	OJOV01000080	26406	26909	+
OG_3185	OJOV01000080	26986	27825	+
OG_1732	OJOV01000080	28681	28815	-
OG_551	OJOV01000080	28855	29199	+
OG_1748	OJOV01000080	29165	29455	+
OG_1749	OJOV01000080	30099	30305	-
OG_1595	OJOV01000080	30367	30603	+
OG_553	OJOV01000080	30832	31050	+
OG_554	OJOV01000080	31055	31354	+
OG_556	OJOV01000080	32044	32352	+
OG_557	OJOV01000080	32352	32930	+
OG_558	OJOV01000080	32921	33319	+
OG_559	OJOV01000080	33401	33745	+
OG_561	OJOV01000080	33748	34884	+
OG_241	OJOV01000080	34974	35555	+
OG_562	OJOV01000080	35527	35862	+
OG_563	OJOV01000080	35866	36102	+
OG_434	OJOV01000080	36092	37564	+
OG_373	OJOV01000080	37561	37881	+
OG_564	OJOV01000080	37885	38229	+
OG_2144	OJOV01000080	38198	38428	+
OG_565	OJOV01000080	38503	38748	+
OG_566	OJOV01000080	38748	39341	+
OG_2380	OJOV01000080	39343	39702	+
OG_717	OJOV01000080	39692	42019	+
OG_4774	OJOV01000080	42023	42346	+
OG_218	OJOV01000080	42352	43854	+
OG_3863	OJOV01000080	43916	44923	+
OG_1982	OJOV01000080	44996	45745	+
OG_2687	OJOV01000080	45848	46711	+
OG_323	OJOV01000080	46763	47923	+
OG_240	OJOV01000080	47895	48410	+
OG_245	OJOV01000080	48388	49692	+
OG_567	OJOV01000080	49702	50712	+
OG_568	OJOV01000080	50715	50975	+
OG_813	OJOV01000080	50979	51488	+
OG_452	OJOV01000080	51597	51905	+
OG_569	OJOV01000080	51914	52237	+
OG_299	OJOV01000080	52227	52700	+
OG_312	OJOV01000080	52700	53767	+
OG_570	OJOV01000080	53760	54032	+
OG_228	OJOV01000080	54019	54720	+
OG_353	OJOV01000080	54745	55749	+
OG_571	OJOV01000080	55749	56096	+
OG_1751	OJOV01000080	56491	56736	+
OG_62	OJOV01000080	57125	70375	-
OG_314	OJOV01000080	70394	78253	-
OG_239	OJOV01000080	78219	81293	-
OG_445	OJOV01000080	81253	84000	-
OG_415	OJOV01000080	84084	88109	-
OG_584	OJOV01000080	88081	88863	-
OG_277	OJOV01000080	88835	89731	-
OG_464	OJOV01000080	89737	90477	-
OG_1597	OJOV01000080	90487	90753	-
OG_238	OJOV01000080	90760	91422	-
OG_319	OJOV01000080	91542	91970	-
OG_1598	OJOV01000080	91951	92367	-
OG_237	OJOV01000080	92380	92997	-
OG_236	OJOV01000080	93161	93343	-
OG_235	OJOV01000080	93467	93814	-
OG_271	OJOV01000080	93781	94023	-
OG_202	OJOV01000080	94320	94856	-
