GeneID	Chr	Start	End	Strand
OG_190	OJAR01000005	1	741	+
OG_125	OJAR01000005	741	2210	+
OG_62	OJAR01000005	2221	17796	+
OG_130	OJAR01000005	17796	24719	+
OG_1030	OJAR01000005	24807	25271	-
OG_275	OJAR01000005	25268	26308	-
OG_32	OJAR01000005	26308	27240	-
OG_317	OJAR01000005	27233	27721	-
OG_74	OJAR01000005	27714	28118	-
OG_1186	OJAR01000005	28099	28413	-
OG_323	OJAR01000005	28406	29377	-
OG_416	OJAR01000005	30112	30717	-
OG_306	OJAR01000005	30808	31548	-
OG_770	OJAR01000005	31574	32026	-
OG_448	OJAR01000005	32050	32976	-
OG_338	OJAR01000005	32957	33523	-
OG_717	OJAR01000005	33545	35455	-
OG_782	OJAR01000005	35728	36390	-
OG_2735	OJAR01000005	36408	37400	-
OG_175	OJAR01000005	37526	38074	-
OG_214	OJAR01000005	38352	38936	-
OG_438	OJAR01000005	38941	39534	-
OG_1187	OJAR01000005	41651	42052	-
OG_362	OJAR01000005	42154	43902	-
OG_193	OJAR01000005	43952	44347	-
OG_841	OJAR01000005	44352	44909	-
OG_757	OJAR01000005	44867	45355	-
OG_756	OJAR01000005	45368	45889	-
OG_305	OJAR01000005	46283	46936	+
OG_753	OJAR01000005	47581	48075	-
OG_780	OJAR01000005	48109	48342	-
OG_1193	OJAR01000005	48314	48454	-
OG_778	OJAR01000005	48457	48876	-
OG_349	OJAR01000005	48873	49370	-
OG_1962	OJAR01000005	49416	50051	-
OG_1194	OJAR01000005	50002	50355	-
OG_1197	OJAR01000005	50358	50552	-
OG_3326	OJAR01000005	50549	51001	-
OG_768	OJAR01000005	50998	51378	-
OG_586	OJAR01000005	51383	51763	-
OG_1195	OJAR01000005	51768	52031	-
OG_1196	OJAR01000005	51991	52407	-
OG_765	OJAR01000005	52551	52769	-
OG_764	OJAR01000005	52781	53074	-
OG_4314	OJAR01000005	53077	53340	-
OG_634	OJAR01000005	54298	54459	-
OG_4590	OJAR01000005	54472	54771	-
OG_1607	OJAR01000005	54851	55780	-
OG_1608	OJAR01000005	55753	55986	-
OG_179	OJAR01000005	56302	56577	-
OG_1610	OJAR01000005	56655	56843	-
OG_280	OJAR01000005	57343	57501	-
OG_178	OJAR01000005	57479	57820	-
OG_1185	OJAR01000005	57838	58104	-
OG_222	OJAR01000005	58216	58545	-
OG_222	OJAR01000005	58642	58929	-
OG_2006	OJAR01000005	59007	59126	-
OG_763	OJAR01000005	59101	59571	-
OG_427	OJAR01000005	59568	59963	-
OG_752	OJAR01000005	60247	60672	+
OG_751	OJAR01000005	60674	61105	+
OG_750	OJAR01000005	61105	61335	+
OG_233	OJAR01000005	61313	61687	+
OG_189	OJAR01000005	61698	62021	+
OG_77	OJAR01000005	62684	63586	+
OG_211	OJAR01000005	63700	64245	+
OG_208	OJAR01000005	64332	65768	+
OG_208	OJAR01000005	65775	66932	+
OG_319	OJAR01000005	66992	67354	+
OG_300	OJAR01000005	67433	70222	+
OG_396	OJAR01000005	70215	70724	+
OG_64	OJAR01000005	70727	72184	+
OG_64	OJAR01000005	72454	73014	+
OG_47	OJAR01000005	73018	76590	+
OG_428	OJAR01000005	76593	77615	+
OG_229	OJAR01000005	77618	79252	+
OG_106	OJAR01000005	79325	80521	+
OG_1038	OJAR01000005	80540	80932	+
OG_317	OJAR01000005	81033	81692	+
OG_1038	OJAR01000005	81932	82432	+
OG_317	OJAR01000005	82524	83327	+
OG_1038	OJAR01000005	83450	83914	+
OG_446	OJAR01000005	84057	84809	+
OG_462	OJAR01000005	84824	85540	+
OG_439	OJAR01000005	85537	86295	+
OG_439	OJAR01000005	86295	86990	+
OG_1149	OJAR01000005	87074	88198	+
OG_773	OJAR01000005	88261	89613	+
OG_176	OJAR01000005	89619	90650	+
OG_177	OJAR01000005	90665	92224	+
OG_192	OJAR01000005	92224	92469	+
OG_1156	OJAR01000005	92475	92900	+
OG_772	OJAR01000005	92897	93187	+
OG_191	OJAR01000005	93138	93788	+
OG_456	OJAR01000005	93785	94471	+
OG_351	OJAR01000005	94446	94913	+
OG_583	OJAR01000005	94888	95751	+
OG_408	OJAR01000005	95729	100390	+
OG_190	OJAR01000005	100381	101262	+
OG_190	OJAR01000005	101259	102161	+
