GeneID	Chr	Start	End	Strand
UG_350	OJAW01000043	2	85	+
OG_182	OJAW01000043	57	320	+
OG_514	OJAW01000043	295	807	+
OG_768	OJAW01000043	825	1130	+
OG_4778	OJAW01000043	1196	1534	+
OG_2873	OJAW01000043	1555	1941	+
OG_2874	OJAW01000043	1938	2258	+
OG_2875	OJAW01000043	2227	2616	+
OG_774	OJAW01000043	2613	2801	+
OG_2876	OJAW01000043	2803	3156	+
OG_349	OJAW01000043	3516	3731	+
OG_2877	OJAW01000043	3724	4278	+
OG_753	OJAW01000043	4250	4981	+
OG_2878	OJAW01000043	5252	5521	-
OG_756	OJAW01000043	5753	6286	+
OG_840	OJAW01000043	6276	6719	+
OG_758	OJAW01000043	6713	7096	+
OG_841	OJAW01000043	7169	7723	+
OG_2879	OJAW01000043	7728	8132	+
OG_362	OJAW01000043	8208	9845	+
OG_2880	OJAW01000043	9850	10338	+
OG_438	OJAW01000043	12468	13094	+
OG_214	OJAW01000043	13097	13669	+
OG_2881	OJAW01000043	13879	14133	+
OG_175	OJAW01000043	14145	14678	+
OG_782	OJAW01000043	14860	15780	+
OG_717	OJAW01000043	16890	18797	+
OG_338	OJAW01000043	18826	19395	+
OG_448	OJAW01000043	19376	20305	+
OG_770	OJAW01000043	20348	20794	+
OG_306	OJAW01000043	20819	21559	+
OG_416	OJAW01000043	21581	22180	+
OG_323	OJAW01000043	22386	23387	+
OG_74	OJAW01000043	23374	23784	+
OG_32	OJAW01000043	23768	24523	+
UG_351	OJAW01000043	24516	24647	+
OG_275	OJAW01000043	24733	25614	+
OG_1030	OJAW01000043	25611	26069	+
OG_130	OJAW01000043	26178	32873	-
OG_62	OJAW01000043	32875	38100	-
OG_356	OJAW01000043	38129	38833	-
OG_62	OJAW01000043	38866	52617	-
OG_125	OJAW01000043	52626	54617	-
OG_190	OJAW01000043	54614	56563	-
OG_408	OJAW01000043	56560	61221	-
OG_583	OJAW01000043	61214	62134	-
OG_351	OJAW01000043	62109	62567	-
OG_456	OJAW01000043	62557	63270	-
OG_191	OJAW01000043	63272	63949	-
OG_772	OJAW01000043	63897	64187	-
OG_1156	OJAW01000043	64189	64644	-
OG_773	OJAW01000043	64616	66046	-
OG_1149	OJAW01000043	66108	67160	-
OG_439	OJAW01000043	67232	67936	-
OG_439	OJAW01000043	67923	68657	-
OG_462	OJAW01000043	68654	69325	-
OG_446	OJAW01000043	69344	70096	-
OG_1038	OJAW01000043	70261	70725	-
OG_317	OJAW01000043	70848	71651	-
OG_1038	OJAW01000043	71743	72756	-
OG_106	OJAW01000043	72783	73943	-
OG_428	OJAW01000043	73984	74694	-
OG_2882	OJAW01000043	74684	74887	-
OG_47	OJAW01000043	74884	77370	-
OG_64	OJAW01000043	77373	79439	-
OG_396	OJAW01000043	79442	79957	-
OG_291	OJAW01000043	79959	81200	-
OG_2883	OJAW01000043	81213	82763	-
OG_319	OJAW01000043	82772	83263	-
OG_304	OJAW01000043	83244	83717	-
OG_291	OJAW01000043	83773	85083	-
OG_268	OJAW01000043	85095	85769	-
OG_208	OJAW01000043	85860	86351	-
OG_211	OJAW01000043	86545	87102	-
OG_253	OJAW01000043	87130	87909	-
OG_1471	OJAW01000043	88030	88248	-
OG_255	OJAW01000043	88401	88766	-
OG_233	OJAW01000043	88744	89073	-
OG_750	OJAW01000043	89048	89257	-
OG_751	OJAW01000043	89250	89666	-
OG_752	OJAW01000043	89666	90070	-
OG_763	OJAW01000043	90359	90925	+
OG_2884	OJAW01000043	90882	91010	+
OG_312	OJAW01000043	90997	91803	+
OG_2885	OJAW01000043	91787	92239	+
OG_2886	OJAW01000043	92232	92492	+
OG_1028	OJAW01000043	92489	93136	+
OG_345	OJAW01000043	93240	95315	+
OG_2889	OJAW01000043	95555	96241	+
OG_2887	OJAW01000043	96238	96927	+
UG_352	OJAW01000043	97055	97441	+
OG_2888	OJAW01000043	97443	97571	+
