GeneID	Chr	Start	End	Strand
OG_2793	OLOB01000056	2	148	-
OG_3534	OLOB01000056	1374	1973	-
OG_4685	OLOB01000056	2232	2501	+
OG_4766	OLOB01000056	2515	2706	+
OG_891	OLOB01000056	2737	2964	+
OG_864	OLOB01000056	3127	3330	+
OG_751	OLOB01000056	3368	3760	+
OG_1755	OLOB01000056	3877	4173	+
OG_1599	OLOB01000056	4179	4373	+
OG_752	OLOB01000056	4376	4786	+
OG_822	OLOB01000056	4779	5144	+
OG_818	OLOB01000056	5141	5545	+
OG_750	OLOB01000056	5520	5744	+
OG_427	OLOB01000056	5707	6177	+
OG_447	OLOB01000056	6120	6704	+
OG_211	OLOB01000056	6776	7282	+
OG_4765	OLOB01000056	7224	7382	+
OG_210	OLOB01000056	7384	7746	+
OG_396	OLOB01000056	7749	8285	+
OG_1065	OLOB01000056	8351	8569	+
OG_64	OLOB01000056	8573	10636	+
OG_47	OLOB01000056	10638	13202	+
OG_288	OLOB01000056	13288	13962	+
OG_229	OLOB01000056	13968	14183	+
OG_106	OLOB01000056	14210	15397	+
OG_1038	OLOB01000056	15423	16910	+
OG_446	OLOB01000056	16960	17712	+
OG_462	OLOB01000056	17721	18431	+
OG_439	OLOB01000056	18433	19131	+
OG_439	OLOB01000056	19131	19832	+
OG_1149	OLOB01000056	19943	20920	+
OG_812	OLOB01000056	20997	21263	+
OG_419	OLOB01000056	21238	21537	+
OG_300	OLOB01000056	21539	25849	+
OG_201	OLOB01000056	25860	26279	+
OG_70	OLOB01000056	26281	31200	+
OG_124	OLOB01000056	31549	32589	+
OG_169	OLOB01000056	32564	32908	+
OG_70	OLOB01000056	32911	35646	+
OG_187	OLOB01000056	35648	36019	+
OG_679	OLOB01000056	36174	36719	+
OG_191	OLOB01000056	36716	37324	+
OG_268	OLOB01000056	37537	37926	+
OG_352	OLOB01000056	37944	38351	+
OG_304	OLOB01000056	38415	39008	+
OG_70	OLOB01000056	39056	39448	+
OG_1156	OLOB01000056	39448	39867	+
OG_456	OLOB01000056	39864	40508	+
OG_351	OLOB01000056	40508	40951	+
OG_583	OLOB01000056	40948	41931	+
OG_408	OLOB01000056	41918	45934	+
OG_445	OLOB01000056	45936	47819	+
OG_125	OLOB01000056	47821	49734	+
OG_62	OLOB01000056	49738	64983	+
OG_130	OLOB01000056	64986	70229	+
OG_1030	OLOB01000056	70253	70759	-
OG_275	OLOB01000056	70756	71751	-
OG_1403	OLOB01000056	71754	71921	-
OG_908	OLOB01000056	71940	72650	-
OG_1601	OLOB01000056	72628	72939	-
OG_904	OLOB01000056	72923	73246	-
OG_74	OLOB01000056	73215	73622	-
OG_1404	OLOB01000056	73573	73728	-
OG_1205	OLOB01000056	73712	74299	-
OG_1414	OLOB01000056	74306	74491	-
OG_323	OLOB01000056	74493	75461	-
OG_416	OLOB01000056	75663	76301	-
OG_306	OLOB01000056	76319	76732	-
OG_305	OLOB01000056	77049	77675	-
OG_770	OLOB01000056	77968	78462	-
OG_448	OLOB01000056	78502	79431	-
OG_338	OLOB01000056	79412	79978	-
OG_717	OLOB01000056	80034	81941	-
OG_1725	OLOB01000056	82095	83246	-
OG_175	OLOB01000056	83365	83874	-
OG_214	OLOB01000056	84149	84688	-
OG_479	OLOB01000056	84694	85221	-
OG_1420	OLOB01000056	86034	86183	-
OG_1079	OLOB01000056	87774	88175	-
OG_362	OLOB01000056	88198	89598	-
OG_1078	OLOB01000056	89692	90075	-
OG_841	OLOB01000056	90082	90642	-
OG_166	OLOB01000056	90774	91268	-
OG_839	OLOB01000056	91211	91696	-
OG_834	OLOB01000056	91693	91872	-
OG_1077	OLOB01000056	91874	92239	-
OG_828	OLOB01000056	92253	92495	-
OG_827	OLOB01000056	93518	93895	-
OG_760	OLOB01000056	93954	94325	-
OG_1407	OLOB01000056	94325	94786	-
OG_1406	OLOB01000056	94811	95110	-
OG_1408	OLOB01000056	95295	95414	-
OG_1409	OLOB01000056	95407	95847	-
OG_349	OLOB01000056	96316	96780	-
OG_829	OLOB01000056	96821	97081	-
OG_1410	OLOB01000056	97078	97302	-
OG_591	OLOB01000056	97286	97717	-
OG_1070	OLOB01000056	97920	98351	-
OG_1600	OLOB01000056	98609	98806	-
OG_1411	OLOB01000056	98918	99085	-
OG_1157	OLOB01000056	99082	99291	-
OG_2793	OLOB01000056	99491	99592	-
