GeneID	Chr	Start	End	Strand
OG_70	QWCN01000029	2	595	+
OG_124	QWCN01000029	931	2187	+
OG_187	QWCN01000029	2132	2485	+
OG_2455	QWCN01000029	2482	2703	+
OG_13	QWCN01000029	2713	9228	+
OG_12	QWCN01000029	9221	9736	+
OG_22	QWCN01000029	9729	10322	+
OG_70	QWCN01000029	10319	11005	+
OG_2454	QWCN01000029	11008	11430	+
OG_291	QWCN01000029	11432	12607	+
OG_70	QWCN01000029	12611	13888	+
OG_70	QWCN01000029	13885	17763	+
OG_1401	QWCN01000029	17829	18281	+
OG_2453	QWCN01000029	18288	18578	+
OG_1020	QWCN01000029	18786	18911	+
OG_319	QWCN01000029	18931	19314	+
OG_11	QWCN01000029	19311	19703	+
OG_404	QWCN01000029	19817	20221	+
OG_152	QWCN01000029	20223	22520	+
OG_10	QWCN01000029	22620	23621	+
OG_1038	QWCN01000029	23650	25071	+
OG_4162	QWCN01000029	25184	25852	+
OG_391	QWCN01000029	25932	26792	+
OG_439	QWCN01000029	26819	27982	+
OG_21	QWCN01000029	28000	29004	+
OG_2531	QWCN01000029	29055	29480	+
OG_9	QWCN01000029	29480	30178	+
OG_583	QWCN01000029	30180	30878	+
OG_943	QWCN01000029	30917	31375	+
OG_944	QWCN01000029	31381	32001	+
OG_432	QWCN01000029	31994	36172	+
OG_408	QWCN01000029	36165	42593	+
OG_8	QWCN01000029	42586	44499	+
OG_467	QWCN01000029	44486	45730	+
OG_7	QWCN01000029	45730	46347	+
OG_942	QWCN01000029	46462	46752	+
OG_63	QWCN01000029	46822	51855	+
OG_941	QWCN01000029	51852	53708	+
OG_421	QWCN01000029	53711	62947	+
OG_62	QWCN01000029	62955	73406	+
OG_24	QWCN01000029	73408	76086	+
OG_335	QWCN01000029	76083	80714	+
OG_2530	QWCN01000029	80768	81286	-
OG_2529	QWCN01000029	81273	81473	-
OG_460	QWCN01000029	81475	81726	-
OG_4607	QWCN01000029	81728	82639	-
OG_6	QWCN01000029	82599	82907	-
OG_2185	QWCN01000029	82907	83560	-
OG_5	QWCN01000029	83562	83807	-
OG_1656	QWCN01000029	83807	84271	-
OG_18	QWCN01000029	84268	84609	-
OG_3421	QWCN01000029	84596	84790	-
OG_2574	QWCN01000029	84780	84971	-
OG_2527	QWCN01000029	85015	85218	-
OG_2526	QWCN01000029	85220	85381	-
OG_1205	QWCN01000029	85353	85952	-
OG_196	QWCN01000029	85957	86199	-
OG_1036	QWCN01000029	86210	86512	-
OG_2525	QWCN01000029	86487	86930	-
OG_1096	QWCN01000029	86933	87619	-
OG_312	QWCN01000029	87616	88548	-
OG_3132	QWCN01000029	88545	88751	-
OG_619	QWCN01000029	88748	88930	-
OG_4	QWCN01000029	88921	89301	-
OG_2524	QWCN01000029	89294	89713	-
OG_2523	QWCN01000029	89714	89860	-
OG_53	QWCN01000029	89869	90492	-
OG_2522	QWCN01000029	90492	90716	-
OG_2521	QWCN01000029	90700	90963	-
OG_1290	QWCN01000029	90960	91745	-
OG_1814	QWCN01000029	91742	92260	-
OG_2520	QWCN01000029	92257	92799	-
OG_1159	QWCN01000029	92800	93732	-
OG_3551	QWCN01000029	93746	94015	-
OG_2518	QWCN01000029	94002	94280	-
OG_2517	QWCN01000029	94273	94482	-
OG_1229	QWCN01000029	94483	95217	-
OG_3101	QWCN01000029	95210	95671	-
OG_2516	QWCN01000029	95628	95969	-
OG_2515	QWCN01000029	95966	96160	-
OG_620	QWCN01000029	96162	96563	-
OG_1287	QWCN01000029	96529	96951	-
OG_2514	QWCN01000029	96975	97199	-
OG_2513	QWCN01000029	97202	97480	-
OG_417	QWCN01000029	97606	99759	-
OG_603	QWCN01000029	99770	100021	-
OG_452	QWCN01000029	100005	100328	-
OG_2512	QWCN01000029	100328	101173	-
OG_326	QWCN01000029	101166	101408	-
OG_908	QWCN01000029	101547	102242	-
OG_2511	QWCN01000029	102239	102535	-
OG_2510	QWCN01000029	102489	103088	-
OG_3102	QWCN01000029	103078	103341	-
OG_3	QWCN01000029	103338	104705	-
OG_38	QWCN01000029	104717	105040	-
OG_2509	QWCN01000029	105027	105518	-
OG_2508	QWCN01000029	105515	105733	-
OG_3103	QWCN01000029	105726	105929	-
