GeneID	Chr	Start	End	Strand
OG_306	OLOX01000059	3	626	+
OG_416	OLOX01000059	653	1273	+
OG_269	OLOX01000059	1354	2733	+
OG_168	OLOX01000059	2733	3581	+
OG_323	OLOX01000059	3693	4667	+
OG_810	OLOX01000059	4642	4980	+
OG_74	OLOX01000059	4973	5326	+
OG_32	OLOX01000059	5338	6213	+
OG_908	OLOX01000059	6260	7075	+
OG_275	OLOX01000059	7087	8079	+
OG_1030	OLOX01000059	8079	8618	+
OG_130	OLOX01000059	8657	13456	-
OG_62	OLOX01000059	13462	27591	-
OG_125	OLOX01000059	27602	29413	-
OG_445	OLOX01000059	29413	31353	-
OG_408	OLOX01000059	31319	35497	-
OG_583	OLOX01000059	35488	36423	-
OG_351	OLOX01000059	36420	36887	-
OG_456	OLOX01000059	36884	37549	-
OG_319	OLOX01000059	37813	38310	-
OG_191	OLOX01000059	38307	38963	-
OG_679	OLOX01000059	38920	39462	-
OG_124	OLOX01000059	39562	40590	-
OG_70	OLOX01000059	40915	44676	-
OG_70	OLOX01000059	44691	45245	-
OG_811	OLOX01000059	45264	45593	-
OG_317	OLOX01000059	45642	46265	-
OG_65	OLOX01000059	46323	46784	-
OG_322	OLOX01000059	46812	47279	-
OG_173	OLOX01000059	47242	47472	-
OG_378	OLOX01000059	47432	47728	-
OG_300	OLOX01000059	47747	52825	-
OG_291	OLOX01000059	52844	55864	-
OG_291	OLOX01000059	55861	56400	-
OG_812	OLOX01000059	56397	56930	-
OG_1149	OLOX01000059	57006	57986	-
OG_439	OLOX01000059	58093	58833	-
OG_462	OLOX01000059	58830	59507	-
OG_446	OLOX01000059	59507	60259	-
OG_1038	OLOX01000059	60332	61798	-
OG_106	OLOX01000059	61841	63019	-
OG_229	OLOX01000059	63041	63214	-
OG_288	OLOX01000059	63177	64355	-
OG_813	OLOX01000059	64417	64770	-
OG_47	OLOX01000059	64772	67288	-
OG_64	OLOX01000059	67291	69351	-
OG_814	OLOX01000059	69501	69740	-
OG_396	OLOX01000059	69792	70319	-
OG_815	OLOX01000059	70306	70629	-
OG_211	OLOX01000059	70632	71147	-
OG_816	OLOX01000059	71135	71386	-
OG_447	OLOX01000059	71379	71708	-
OG_276	OLOX01000059	71698	71976	-
OG_427	OLOX01000059	71960	72394	-
OG_817	OLOX01000059	72391	72528	-
OG_750	OLOX01000059	72525	72725	-
OG_818	OLOX01000059	72673	73035	-
OG_822	OLOX01000059	73028	73396	-
OG_752	OLOX01000059	73389	73811	-
OG_823	OLOX01000059	73793	74005	-
OG_751	OLOX01000059	74139	74492	-
OG_200	OLOX01000059	74538	74744	-
OG_1091	OLOX01000059	75005	75265	-
OG_3928	OLOX01000059	75634	75924	+
OG_3820	OLOX01000059	75954	76592	+
OG_2792	OLOX01000059	76691	76897	+
OG_199	OLOX01000059	76908	77147	+
OG_3252	OLOX01000059	77193	77489	+
OG_198	OLOX01000059	77983	78285	+
OG_762	OLOX01000059	78282	78620	+
OG_824	OLOX01000059	78678	78935	+
OG_825	OLOX01000059	78907	79053	+
OG_349	OLOX01000059	79069	79491	+
OG_2870	OLOX01000059	79953	80222	+
OG_826	OLOX01000059	80234	80623	+
OG_1094	OLOX01000059	80778	81056	+
OG_1081	OLOX01000059	81248	81376	+
OG_827	OLOX01000059	81432	81881	+
OG_828	OLOX01000059	82525	82767	+
OG_305	OLOX01000059	83001	83603	-
OG_832	OLOX01000059	84174	84680	+
OG_833	OLOX01000059	84988	85191	+
OG_2551	OLOX01000059	85172	85513	+
OG_754	OLOX01000059	85506	85796	+
OG_834	OLOX01000059	85798	86001	+
OG_840	OLOX01000059	85995	86453	+
OG_758	OLOX01000059	86453	86899	+
OG_841	OLOX01000059	86952	87497	+
OG_842	OLOX01000059	87515	87865	+
OG_267	OLOX01000059	87935	89650	+
OG_197	OLOX01000059	89670	90140	+
OG_479	OLOX01000059	92222	92800	+
OG_214	OLOX01000059	92823	93362	+
OG_175	OLOX01000059	93739	94233	+
OG_875	OLOX01000059	94332	95156	+
OG_717	OLOX01000059	95231	97384	+
OG_338	OLOX01000059	97433	98005	+
OG_448	OLOX01000059	97977	98960	+
OG_770	OLOX01000059	98963	99541	+
OG_306	OLOX01000059	99625	99801	+
