GeneID	Chr	Start	End	Strand
OG_462	OLQG01000043	28	720	-
OG_446	OLQG01000043	723	1475	-
OG_1038	OLQG01000043	1563	3032	-
OG_106	OLQG01000043	3069	4256	-
OG_229	OLQG01000043	4269	4484	-
OG_288	OLQG01000043	4444	5802	-
UG_488	OLQG01000043	5799	6032	-
OG_593	OLQG01000043	6122	6535	-
OG_47	OLQG01000043	6535	8895	-
OG_64	OLQG01000043	9039	11123	-
OG_3093	OLQG01000043	11092	11373	-
OG_878	OLQG01000043	11655	11873	-
OG_396	OLQG01000043	11895	12422	-
OG_849	OLQG01000043	12480	12797	-
OG_879	OLQG01000043	12892	13062	-
OG_211	OLQG01000043	13001	13621	-
OG_4072	OLQG01000043	13599	14021	-
OG_427	OLQG01000043	14008	14451	-
OG_880	OLQG01000043	14432	14680	-
OG_750	OLQG01000043	14634	14879	-
OG_818	OLQG01000043	14839	15240	-
OG_822	OLQG01000043	15227	15604	-
OG_752	OLQG01000043	15601	15978	-
OG_751	OLQG01000043	16206	16571	-
OG_866	OLQG01000043	16587	16799	-
OG_865	OLQG01000043	16799	17020	-
OG_4070	OLQG01000043	17280	17546	+
OG_266	OLQG01000043	17733	18452	+
OG_4071	OLQG01000043	19159	19308	+
OG_3682	OLQG01000043	19341	19964	+
OG_4064	OLQG01000043	20236	20451	+
OG_171	OLQG01000043	20448	20738	+
OG_762	OLQG01000043	20735	21022	+
OG_4065	OLQG01000043	21015	21263	+
OG_349	OLQG01000043	21285	21728	+
OG_309	OLQG01000043	22179	22415	+
OG_874	OLQG01000043	22439	22864	+
OG_4066	OLQG01000043	22848	22985	+
OG_1877	OLQG01000043	23290	23763	+
OG_305	OLQG01000043	24288	24659	-
OG_4067	OLQG01000043	24929	25153	+
OG_754	OLQG01000043	25209	25499	+
OG_834	OLQG01000043	25490	25687	+
OG_840	OLQG01000043	25691	26146	+
OG_761	OLQG01000043	26146	26664	+
OG_841	OLQG01000043	26714	27265	+
OG_842	OLQG01000043	27282	27641	+
OG_267	OLQG01000043	27713	29206	+
OG_197	OLQG01000043	29218	29604	+
UG_489	OLQG01000043	31297	31479	-
OG_479	OLQG01000043	31691	32227	+
OG_214	OLQG01000043	32235	32807	+
UG_490	OLQG01000043	32626	33129	-
OG_175	OLQG01000043	33159	33665	+
OG_875	OLQG01000043	33738	34352	+
OG_232	OLQG01000043	34342	34560	+
OG_717	OLQG01000043	34719	36854	+
OG_338	OLQG01000043	36910	37476	+
OG_448	OLQG01000043	37457	38383	+
OG_770	OLQG01000043	38423	38923	+
OG_306	OLQG01000043	39015	39218	+
OG_305	OLQG01000043	39193	39819	+
OG_306	OLQG01000043	39863	40570	+
OG_416	OLQG01000043	40587	41240	+
OG_269	OLQG01000043	41413	42681	+
OG_168	OLQG01000043	42681	43484	+
OG_323	OLQG01000043	43597	44703	+
OG_323	OLQG01000043	44672	44860	+
OG_4068	OLQG01000043	44857	45093	+
OG_74	OLQG01000043	45086	45475	+
OG_32	OLQG01000043	45482	46420	+
OG_1771	OLQG01000043	46522	46791	+
OG_275	OLQG01000043	46793	47776	+
OG_1030	OLQG01000043	47784	48248	+
OG_130	OLQG01000043	48317	52765	-
OG_62	OLQG01000043	52777	65982	-
OG_125	OLQG01000043	65984	67714	-
OG_445	OLQG01000043	67716	69389	-
OG_408	OLQG01000043	69389	73543	-
OG_583	OLQG01000043	73579	74487	-
OG_351	OLQG01000043	74510	74977	-
OG_456	OLQG01000043	74977	75627	-
OG_304	OLQG01000043	75768	76328	-
OG_352	OLQG01000043	76381	76821	-
OG_268	OLQG01000043	76838	77815	-
OG_319	OLQG01000043	77852	78463	-
OG_191	OLQG01000043	78507	79112	-
OG_896	OLQG01000043	79204	79839	-
OG_70	OLQG01000043	79978	80520	-
OG_4069	OLQG01000043	80523	80870	-
OG_4062	OLQG01000043	80863	82023	-
OG_3511	OLQG01000043	82023	82271	-
OG_4062	OLQG01000043	82286	83320	-
OG_3511	OLQG01000043	83317	83574	-
OG_4062	OLQG01000043	83576	84634	-
OG_1399	OLQG01000043	84636	85124	-
OG_4063	OLQG01000043	85111	85329	-
OG_422	OLQG01000043	85412	85636	-
OG_322	OLQG01000043	85636	86655	-
OG_28	OLQG01000043	86645	86905	-
OG_65	OLQG01000043	86957	87400	-
OG_173	OLQG01000043	87432	87641	-
OG_291	OLQG01000043	87808	90453	+
OG_70	OLQG01000043	90407	95488	-
OG_300	OLQG01000043	95491	96210	-
OG_291	OLQG01000043	96179	96406	-
OG_812	OLQG01000043	96403	96948	-
OG_1149	OLQG01000043	97018	98004	-
OG_439	OLQG01000043	98116	98841	-
OG_439	OLQG01000043	98844	99557	-
OG_253	OLQG01000043	99559	100299	-
