GeneID	Chr	Start	End	Strand
OG_1152	OGWS01000068	2	937	+
OG_595	OGWS01000068	1006	1656	+
OG_162	OGWS01000068	1649	1993	+
OG_393	OGWS01000068	2096	2776	+
OG_351	OGWS01000068	2776	3336	+
OG_583	OGWS01000068	3329	4039	+
OG_408	OGWS01000068	4041	8390	+
OG_360	OGWS01000068	8510	9055	+
OG_229	OGWS01000068	9115	11646	+
OG_253	OGWS01000068	11639	12373	+
OG_594	OGWS01000068	12376	13980	+
OG_62	OGWS01000068	13987	21291	+
OG_326	OGWS01000068	21369	21560	-
OG_62	OGWS01000068	21576	25625	-
OG_62	OGWS01000068	25628	32866	-
OG_194	OGWS01000068	33007	33633	-
OG_444	OGWS01000068	33646	34413	-
OG_196	OGWS01000068	34413	34655	-
OG_312	OGWS01000068	34674	35582	-
OG_603	OGWS01000068	35586	35819	-
OG_317	OGWS01000068	35812	36297	-
OG_603	OGWS01000068	36357	36581	-
OG_3192	OGWS01000068	36581	37123	-
OG_1162	OGWS01000068	37120	37434	-
OG_3128	OGWS01000068	37436	37921	-
OG_1161	OGWS01000068	37918	38358	-
OG_1159	OGWS01000068	38355	38789	-
OG_348	OGWS01000068	38777	39226	-
OG_219	OGWS01000068	39208	39522	-
OG_417	OGWS01000068	39497	41821	-
OG_630	OGWS01000068	41818	42135	-
OG_593	OGWS01000068	42132	42647	-
OG_211	OGWS01000068	42669	43142	-
OG_2022	OGWS01000068	43139	43357	-
OG_40	OGWS01000068	43359	45905	-
OG_275	OGWS01000068	45902	46978	-
OG_423	OGWS01000068	46929	47249	-
OG_74	OGWS01000068	47197	47718	-
OG_253	OGWS01000068	47672	47803	-
OG_317	OGWS01000068	47821	48120	-
OG_658	OGWS01000068	48182	48721	-
OG_1096	OGWS01000068	48748	49413	-
OG_600	OGWS01000068	49410	50216	-
OG_1098	OGWS01000068	50216	51319	-
OG_1099	OGWS01000068	51322	52560	-
OG_1465	OGWS01000068	52499	53830	-
OG_589	OGWS01000068	53893	54573	-
OG_323	OGWS01000068	54600	55595	-
OG_585	OGWS01000068	55616	56512	-
OG_611	OGWS01000068	56560	56937	-
OG_609	OGWS01000068	56943	57215	-
OG_1097	OGWS01000068	57208	57915	-
OG_441	OGWS01000068	57932	58957	-
OG_253	OGWS01000068	59212	59850	-
OG_161	OGWS01000068	60100	60705	-
OG_628	OGWS01000068	60710	61111	-
OG_390	OGWS01000068	61108	62289	-
OG_1617	OGWS01000068	62282	62755	-
OG_1174	OGWS01000068	62765	63040	-
OG_3528	OGWS01000068	63094	64311	-
OG_1367	OGWS01000068	64289	64519	-
OG_2548	OGWS01000068	64545	64712	-
OG_607	OGWS01000068	64901	65284	-
OG_1176	OGWS01000068	65277	65666	-
OG_2232	OGWS01000068	66463	67884	-
OG_317	OGWS01000068	67899	68435	-
OG_1464	OGWS01000068	68565	68984	-
OG_1747	OGWS01000068	69010	69489	-
OG_52	OGWS01000068	69863	70597	-
OG_1736	OGWS01000068	70609	70839	-
OG_2549	OGWS01000068	70836	70937	-
OG_1157	OGWS01000068	70937	71143	-
OG_4579	OGWS01000068	71136	71411	-
OG_2791	OGWS01000068	72163	72312	-
OG_622	OGWS01000068	72388	72648	-
OG_165	OGWS01000068	72843	73148	+
OG_2547	OGWS01000068	73524	73673	+
OG_599	OGWS01000068	73670	74062	+
UG_258	OGWS01000068	74221	74433	+
OG_1463	OGWS01000068	74790	75104	+
OG_1462	OGWS01000068	75594	75926	+
OG_673	OGWS01000068	76907	77356	+
OG_664	OGWS01000068	77839	78039	+
OG_1158	OGWS01000068	78002	78250	+
OG_598	OGWS01000068	78216	78449	+
OG_597	OGWS01000068	78451	78780	+
OG_819	OGWS01000068	78784	79167	+
OG_749	OGWS01000068	79164	79448	+
OG_596	OGWS01000068	79423	79833	+
OG_396	OGWS01000068	79885	80412	+
OG_640	OGWS01000068	80415	80726	+
OG_64	OGWS01000068	80714	82987	+
OG_47	OGWS01000068	83061	85481	+
OG_70	OGWS01000068	85487	85858	+
OG_291	OGWS01000068	85872	88685	+
OG_291	OGWS01000068	88787	89101	+
OG_291	OGWS01000068	89114	91810	+
OG_291	OGWS01000068	91812	92189	+
OG_191	OGWS01000068	92309	92878	+
OG_252	OGWS01000068	93010	93219	+
OG_355	OGWS01000068	93221	93586	+
OG_1156	OGWS01000068	93588	94049	+
OG_376	OGWS01000068	94285	95454	+
OG_1038	OGWS01000068	95489	97003	+
OG_446	OGWS01000068	97076	98068	+
OG_414	OGWS01000068	98073	98789	+
OG_414	OGWS01000068	98789	99481	+
OG_1152	OGWS01000068	99513	99632	+
