GeneID	Chr	Start	End	Strand
OG_130	OLOG01000029	1	6918	-
OG_427	OLOG01000029	7006	7407	-
OG_92	OLOG01000029	7404	7625	-
OG_426	OLOG01000029	7807	8121	-
OG_426	OLOG01000029	8223	8882	-
OG_169	OLOG01000029	8972	10021	-
OG_70	OLOG01000029	10033	11925	-
OG_1484	OLOG01000029	12006	12335	-
OG_319	OLOG01000029	12566	12859	-
OG_91	OLOG01000029	12953	13321	-
OG_304	OLOG01000029	13323	13820	-
OG_352	OLOG01000029	13874	14290	-
OG_268	OLOG01000029	14314	15321	-
OG_130	OLOG01000029	15568	17805	-
OG_1947	OLOG01000029	18157	18783	-
OG_62	OLOG01000029	18869	23725	-
OG_131	OLOG01000029	23703	26699	-
OG_90	OLOG01000029	26703	29303	-
OG_1900	OLOG01000029	29407	29784	-
OG_2268	OLOG01000029	29844	30782	-
OG_2269	OLOG01000029	30779	30946	-
OG_471	OLOG01000029	30971	33277	-
OG_2258	OLOG01000029	33366	33542	-
OG_408	OLOG01000029	33574	40137	-
OG_1948	OLOG01000029	40280	40780	-
OG_227	OLOG01000029	40922	41650	-
OG_581	OLOG01000029	41768	42736	-
OG_1231	OLOG01000029	42745	43212	-
OG_100	OLOG01000029	43725	43976	-
OG_1954	OLOG01000029	44142	44243	+
OG_89	OLOG01000029	44321	44977	+
OG_4770	OLOG01000029	44979	45251	+
OG_100	OLOG01000029	45286	49731	-
OG_88	OLOG01000029	49733	50539	-
OG_87	OLOG01000029	50541	50855	-
OG_1514	OLOG01000029	50848	51267	-
OG_1949	OLOG01000029	51269	51502	-
OG_1950	OLOG01000029	51502	51903	-
OG_459	OLOG01000029	52035	52778	-
OG_86	OLOG01000029	52990	53835	-
OG_123	OLOG01000029	53942	54871	-
OG_1951	OLOG01000029	55178	55438	-
OG_1513	OLOG01000029	55435	55677	-
OG_1512	OLOG01000029	55649	56002	-
OG_907	OLOG01000029	56020	56970	-
OG_1789	OLOG01000029	57027	58250	-
OG_1952	OLOG01000029	58500	59003	-
OG_1511	OLOG01000029	58981	59529	-
OG_65	OLOG01000029	59588	60472	-
OG_4777	OLOG01000029	60787	62163	-
OG_4776	OLOG01000029	62156	63772	-
OG_4775	OLOG01000029	63769	65334	-
OG_104	OLOG01000029	65339	67732	-
OG_1510	OLOG01000029	67744	70077	-
OG_1212	OLOG01000029	70176	72149	-
OG_85	OLOG01000029	72322	72996	-
OG_84	OLOG01000029	72999	74066	-
OG_1040	OLOG01000029	74151	75854	-
OG_106	OLOG01000029	75874	77031	-
OG_47	OLOG01000029	77166	79928	-
OG_64	OLOG01000029	79979	82768	-
OG_1902	OLOG01000029	82768	83085	-
OG_1903	OLOG01000029	83054	83605	-
OG_1509	OLOG01000029	83598	83846	-
OG_1214	OLOG01000029	83851	84549	-
OG_1508	OLOG01000029	84551	84991	-
OG_83	OLOG01000029	84984	85397	-
OG_2259	OLOG01000029	86207	87256	+
OG_434	OLOG01000029	87360	88769	+
OG_110	OLOG01000029	88769	89755	+
OG_1904	OLOG01000029	89758	90117	+
OG_1905	OLOG01000029	90120	90386	+
OG_1505	OLOG01000029	90383	90967	+
OG_1504	OLOG01000029	91043	92143	+
OG_1503	OLOG01000029	92162	92950	+
OG_1906	OLOG01000029	92977	93234	+
OG_1907	OLOG01000029	93234	93782	+
OG_478	OLOG01000029	93754	94356	+
OG_82	OLOG01000029	94349	94657	+
OG_1901	OLOG01000029	94661	95260	+
OG_1909	OLOG01000029	95740	96030	+
OG_1502	OLOG01000029	96008	96757	+
OG_211	OLOG01000029	96754	97284	+
OG_1910	OLOG01000029	97281	97559	+
OG_1911	OLOG01000029	97584	97862	-
OG_4770	OLOG01000029	97859	98113	-
UG_483	OLOG01000029	98363	99037	+
OG_1912	OLOG01000029	99197	99760	-
OG_457	OLOG01000029	99978	100733	-
UG_484	OLOG01000029	100847	100936	+
OG_1500	OLOG01000029	101259	101825	+
OG_1913	OLOG01000029	102490	102696	+
OG_2270	OLOG01000029	102805	102978	+
OG_2271	OLOG01000029	103086	103235	-
OG_883	OLOG01000029	103756	103992	+
OG_3078	OLOG01000029	104118	104585	+
OG_1565	OLOG01000029	104582	104812	+
OG_1566	OLOG01000029	104832	105056	+
OG_1914	OLOG01000029	105086	105391	+
OG_1498	OLOG01000029	105388	105675	+
OG_1915	OLOG01000029	105648	106001	+
OG_1916	OLOG01000029	106001	106510	+
OG_1495	OLOG01000029	106512	106736	+
OG_96	OLOG01000029	106738	107238	+
OG_1917	OLOG01000029	107219	107461	+
OG_4725	OLOG01000029	107639	108190	+
OG_42	OLOG01000029	108187	108612	+
OG_2272	OLOG01000029	108663	108944	+
OG_1919	OLOG01000029	108948	109337	+
OG_1921	OLOG01000029	109344	109682	+
OG_1920	OLOG01000029	109712	110449	+
OG_1953	OLOG01000029	110446	110538	+
OG_1922	OLOG01000029	110575	111282	+
OG_53	OLOG01000029	111279	111707	+
OG_1554	OLOG01000029	111720	111956	+
OG_2234	OLOG01000029	111968	112864	+
OG_2204	OLOG01000029	112897	113193	+
OG_2043	OLOG01000029	113218	114279	+
OG_1959	OLOG01000029	114307	114489	+
OG_308	OLOG01000029	114504	115211	+
OG_95	OLOG01000029	115224	115394	+
OG_3410	OLOG01000029	115539	115748	+
OG_1552	OLOG01000029	115760	115942	+
OG_2261	OLOG01000029	115945	116148	+
OG_2273	OLOG01000029	116188	116322	+
OG_2262	OLOG01000029	116395	116760	+
OG_2264	OLOG01000029	116744	116929	+
OG_2274	OLOG01000029	117387	117869	+
OG_2275	OLOG01000029	117974	118186	+
OG_2277	OLOG01000029	118154	118432	-
OG_1897	OLOG01000029	118591	119508	+
OG_1898	OLOG01000029	119513	120520	+
OG_251	OLOG01000029	120630	120788	+
OG_1896	OLOG01000029	120785	121201	+
OG_329	OLOG01000029	121410	122183	+
OG_1924	OLOG01000029	122208	122426	+
OG_1490	OLOG01000029	122448	123245	+
OG_98	OLOG01000029	123254	123622	+
OG_2278	OLOG01000029	123675	124160	+
OG_1778	OLOG01000029	124150	124386	+
OG_1925	OLOG01000029	124523	124804	+
OG_1892	OLOG01000029	124782	125468	+
OG_2818	OLOG01000029	125470	125934	+
OG_1926	OLOG01000029	125888	126247	+
OG_1488	OLOG01000029	126244	126744	+
OG_1893	OLOG01000029	126714	128147	+
OG_1487	OLOG01000029	128147	129100	+
OG_1802	OLOG01000029	129084	129371	+
OG_1927	OLOG01000029	129368	129931	+
OG_1928	OLOG01000029	129897	130322	+
OG_1481	OLOG01000029	130288	130575	+
OG_448	OLOG01000029	130572	131714	+
OG_122	OLOG01000029	131716	132357	+
OG_1929	OLOG01000029	132317	132655	+
OG_1486	OLOG01000029	132667	133365	+
OG_1542	OLOG01000029	133369	133653	+
OG_1542	OLOG01000029	133640	133924	+
OG_1930	OLOG01000029	133924	134025	+
OG_1931	OLOG01000029	134012	134434	+
OG_1485	OLOG01000029	134415	135440	+
OG_1933	OLOG01000029	135506	136096	+
OG_99	OLOG01000029	136109	137569	+
OG_1501	OLOG01000029	137566	138432	+
OG_3107	OLOG01000029	138434	138781	+
OG_1935	OLOG01000029	138784	139005	+
OG_2265	OLOG01000029	139022	139327	+
OG_447	OLOG01000029	139329	139922	+
OG_1520	OLOG01000029	139898	140224	+
OG_1936	OLOG01000029	140226	140501	+
OG_1515	OLOG01000029	140506	141651	+
OG_1937	OLOG01000029	141658	141990	+
OG_1938	OLOG01000029	141987	142226	+
OG_2279	OLOG01000029	142226	142426	+
OG_148	OLOG01000029	142497	142652	+
OG_148	OLOG01000029	142639	142773	+
OG_1939	OLOG01000029	142787	143173	+
OG_3410	OLOG01000029	143195	143404	+
OG_102	OLOG01000029	143417	144433	+
OG_2280	OLOG01000029	144458	144685	+
OG_1940	OLOG01000029	144633	145121	+
OG_1941	OLOG01000029	145122	145499	+
OG_4780	OLOG01000029	145496	145702	+
OG_4781	OLOG01000029	145683	145907	+
OG_2281	OLOG01000029	146022	146525	+
OG_4779	OLOG01000029	146667	147062	+
OG_1787	OLOG01000029	147070	147441	+
OG_2282	OLOG01000029	147452	147667	+
OG_147	OLOG01000029	147693	148277	+
OG_1944	OLOG01000029	148274	148390	+
OG_1489	OLOG01000029	148383	148613	+
OG_1945	OLOG01000029	148617	149072	+
OG_1946	OLOG01000029	149045	149557	+
OG_2266	OLOG01000029	149554	149709	+
OG_93	OLOG01000029	149661	150155	+
OG_3106	OLOG01000029	150168	150551	+
OG_2283	OLOG01000029	150690	151451	+
OG_2267	OLOG01000029	151524	151964	+
OG_1777	OLOG01000029	151977	152255	+
OG_200	OLOG01000029	152252	152659	+
OG_2284	OLOG01000029	152815	153039	+
UG_485	OLOG01000029	153070	153243	+
OG_49	OLOG01000029	153269	153796	+
OG_123	OLOG01000029	153843	154700	-
OG_2285	OLOG01000029	154727	154858	+
OG_130	OLOG01000029	154890	155270	-
