GeneID	Chr	Start	End	Strand
OG_866	HvCF_C12_ms_6	3	164	-
OG_2425	HvCF_C12_ms_6	496	627	+
OG_204	HvCF_C12_ms_6	1022	1693	+
OG_171	HvCF_C12_ms_6	2674	2964	+
OG_855	HvCF_C12_ms_6	2991	3176	+
OG_349	HvCF_C12_ms_6	3179	3697	+
OG_848	HvCF_C12_ms_6	4117	4365	+
OG_283	HvCF_C12_ms_6	4368	4838	+
OG_854	HvCF_C12_ms_6	4841	4939	+
OG_250	HvCF_C12_ms_6	4936	5193	+
OG_753	HvCF_C12_ms_6	5617	6081	+
OG_305	HvCF_C12_ms_6	6555	7136	-
OG_754	HvCF_C12_ms_6	7436	7774	+
OG_835	HvCF_C12_ms_6	7768	7893	+
OG_840	HvCF_C12_ms_6	7890	8360	+
OG_758	HvCF_C12_ms_6	8338	8694	+
OG_841	HvCF_C12_ms_6	8862	9425	+
OG_846	HvCF_C12_ms_6	9437	9805	+
OG_362	HvCF_C12_ms_6	9866	11401	+
OG_184	HvCF_C12_ms_6	11469	11870	+
OG_845	HvCF_C12_ms_6	11863	12288	+
OG_234	HvCF_C12_ms_6	14436	15068	+
OG_234	HvCF_C12_ms_6	15074	15649	+
OG_175	HvCF_C12_ms_6	15871	16374	+
OG_1724	HvCF_C12_ms_6	16428	17192	+
OG_852	HvCF_C12_ms_6	17218	17667	+
OG_717	HvCF_C12_ms_6	17779	19758	+
OG_338	HvCF_C12_ms_6	19814	20380	+
OG_448	HvCF_C12_ms_6	20361	21335	+
OG_770	HvCF_C12_ms_6	21349	21786	+
OG_306	HvCF_C12_ms_6	21865	22605	+
OG_416	HvCF_C12_ms_6	22626	23249	+
OG_323	HvCF_C12_ms_6	23419	24417	+
OG_74	HvCF_C12_ms_6	24371	24751	+
OG_32	HvCF_C12_ms_6	24763	25584	+
OG_275	HvCF_C12_ms_6	25707	26681	+
OG_1030	HvCF_C12_ms_6	26659	27165	+
OG_130	HvCF_C12_ms_6	27233	31378	-
OG_62	HvCF_C12_ms_6	31391	44377	-
OG_125	HvCF_C12_ms_6	44384	46258	-
OG_445	HvCF_C12_ms_6	46261	48399	-
OG_408	HvCF_C12_ms_6	48396	52508	-
OG_253	HvCF_C12_ms_6	52501	53217	-
OG_583	HvCF_C12_ms_6	53224	54153	-
OG_253	HvCF_C12_ms_6	54122	54940	-
OG_351	HvCF_C12_ms_6	54918	55361	-
OG_456	HvCF_C12_ms_6	55358	56020	-
OG_319	HvCF_C12_ms_6	56156	56854	-
OG_191	HvCF_C12_ms_6	56885	57523	-
OG_679	HvCF_C12_ms_6	57495	58025	-
OG_70	HvCF_C12_ms_6	58258	58359	-
OG_231	HvCF_C12_ms_6	58356	58631	-
OG_322	HvCF_C12_ms_6	58713	62177	-
OG_404	HvCF_C12_ms_6	62174	62602	-
OG_1471	HvCF_C12_ms_6	62587	62787	-
OG_173	HvCF_C12_ms_6	62810	63040	-
OG_224	HvCF_C12_ms_6	62997	70937	-
OG_176	HvCF_C12_ms_6	70934	74314	-
OG_70	HvCF_C12_ms_6	74311	75333	-
OG_300	HvCF_C12_ms_6	75333	78056	-
OG_291	HvCF_C12_ms_6	78064	79221	-
OG_853	HvCF_C12_ms_6	79196	79456	-
OG_812	HvCF_C12_ms_6	79407	80033	-
OG_1149	HvCF_C12_ms_6	80109	81089	-
OG_305	HvCF_C12_ms_6	81086	81469	-
OG_439	HvCF_C12_ms_6	81562	82224	-
OG_462	HvCF_C12_ms_6	82227	82925	-
OG_446	HvCF_C12_ms_6	82925	83677	-
OG_253	HvCF_C12_ms_6	83701	84300	-
OG_1038	HvCF_C12_ms_6	84373	85842	-
OG_106	HvCF_C12_ms_6	85878	87044	-
OG_288	HvCF_C12_ms_6	87087	88244	-
OG_2424	HvCF_C12_ms_6	88228	88389	-
OG_813	HvCF_C12_ms_6	88624	88977	-
OG_47	HvCF_C12_ms_6	88993	91509	-
OG_64	HvCF_C12_ms_6	91512	93563	-
OG_317	HvCF_C12_ms_6	93547	94104	-
OG_215	HvCF_C12_ms_6	94262	94387	-
OG_396	HvCF_C12_ms_6	94458	94991	-
OG_849	HvCF_C12_ms_6	94978	95283	-
OG_210	HvCF_C12_ms_6	95283	95636	-
OG_276	HvCF_C12_ms_6	95670	96080	-
OG_427	HvCF_C12_ms_6	96043	96504	-
OG_750	HvCF_C12_ms_6	96473	96679	-
OG_818	HvCF_C12_ms_6	96651	97037	-
OG_822	HvCF_C12_ms_6	97012	97404	-
OG_752	HvCF_C12_ms_6	97397	97774	-
OG_751	HvCF_C12_ms_6	97999	98349	-
OG_866	HvCF_C12_ms_6	98382	98555	-
