GeneID	Chr	Start	End	Strand
OG_314	OHWI01000045	3	6518	+
OG_62	OHWI01000045	6576	20069	+
OG_2747	OHWI01000045	20728	20943	-
OG_325	OHWI01000045	21043	21330	-
OG_264	OHWI01000045	21317	21616	-
OG_211	OHWI01000045	21633	21845	-
OG_77	OHWI01000045	21988	22767	-
OG_211	OHWI01000045	22830	23183	-
OG_618	OHWI01000045	23180	23701	-
OG_353	OHWI01000045	24193	25260	-
OG_228	OHWI01000045	25257	26021	-
OG_2748	OHWI01000045	26018	26287	-
OG_1028	OHWI01000045	26284	26862	-
OG_577	OHWI01000045	26856	27047	-
OG_2749	OHWI01000045	27049	27261	-
OG_418	OHWI01000045	27283	27450	-
OG_2750	OHWI01000045	27447	27605	-
OG_2751	OHWI01000045	27592	27693	-
OG_2752	OHWI01000045	27690	27974	-
OG_312	OHWI01000045	27958	28815	-
OG_348	OHWI01000045	28891	29298	-
OG_2753	OHWI01000045	29519	29947	-
OG_4	OHWI01000045	29951	30367	-
OG_2754	OHWI01000045	30371	30616	-
OG_537	OHWI01000045	30695	31051	-
OG_245	OHWI01000045	31054	32238	-
OG_430	OHWI01000045	32225	32695	-
OG_680	OHWI01000045	32689	33159	-
OG_323	OHWI01000045	33119	34306	-
OG_2687	OHWI01000045	34444	35388	-
OG_1980	OHWI01000045	35511	36323	-
OG_3862	OHWI01000045	36393	37325	-
OG_218	OHWI01000045	37377	38804	-
OG_717	OHWI01000045	38808	41132	-
OG_317	OHWI01000045	41104	41685	-
OG_716	OHWI01000045	41682	42224	-
OG_628	OHWI01000045	42214	42567	-
OG_148	OHWI01000045	42677	42979	-
OG_434	OHWI01000045	42983	44446	-
OG_541	OHWI01000045	44447	44908	-
OG_714	OHWI01000045	44908	45225	-
OG_2745	OHWI01000045	45336	45740	-
OG_2755	OHWI01000045	46206	46325	-
OG_912	OHWI01000045	46322	46681	-
OG_2396	OHWI01000045	46700	46831	-
OG_2746	OHWI01000045	46958	47104	-
OG_706	OHWI01000045	47178	47672	-
OG_2756	OHWI01000045	47719	47904	-
OG_706	OHWI01000045	49062	49577	-
OG_2757	OHWI01000045	49882	50589	-
OG_618	OHWI01000045	50570	50995	-
OG_2758	OHWI01000045	51253	51393	-
OG_413	OHWI01000045	51925	52455	+
OG_547	OHWI01000045	52561	53094	+
OG_407	OHWI01000045	53063	53686	+
OG_429	OHWI01000045	53690	54697	+
OG_4767	OHWI01000045	54687	55301	+
OG_2759	OHWI01000045	55298	55516	+
OG_437	OHWI01000045	55509	55811	+
OG_337	OHWI01000045	55768	56133	+
OG_64	OHWI01000045	56136	58412	+
OG_209	OHWI01000045	58416	59375	+
OG_2760	OHWI01000045	59353	59637	+
OG_47	OHWI01000045	59643	62075	+
OG_431	OHWI01000045	62492	63835	+
OG_1038	OHWI01000045	63869	65344	+
OG_410	OHWI01000045	65374	66498	+
OG_439	OHWI01000045	66510	67397	+
OG_1151	OHWI01000045	67417	68358	+
OG_2390	OHWI01000045	68462	69085	+
OG_185	OHWI01000045	69098	69331	+
OG_120	OHWI01000045	69328	70071	+
OG_291	OHWI01000045	70058	70666	+
OG_70	OHWI01000045	70677	71768	+
OG_70	OHWI01000045	71826	72497	+
OG_192	OHWI01000045	72516	72884	+
OG_2761	OHWI01000045	73023	73187	+
OG_192	OHWI01000045	73218	73334	+
OG_192	OHWI01000045	73627	74004	+
OG_156	OHWI01000045	74017	74337	+
OG_612	OHWI01000045	74344	74586	+
OG_180	OHWI01000045	74627	74962	+
OG_225	OHWI01000045	74919	75209	+
OG_268	OHWI01000045	75334	76317	+
OG_359	OHWI01000045	76336	76641	+
OG_304	OHWI01000045	76644	77129	+
OG_2392	OHWI01000045	77135	77350	+
OG_319	OHWI01000045	77396	77812	+
OG_11	OHWI01000045	77809	78213	+
OG_464	OHWI01000045	78746	79456	+
OG_361	OHWI01000045	79463	80443	+
OG_584	OHWI01000045	80388	81146	+
OG_415	OHWI01000045	81150	85142	+
OG_436	OHWI01000045	85161	87176	+
OG_1794	OHWI01000045	87225	90155	+
OG_314	OHWI01000045	90160	90744	+
