GeneID	Chr	Start	End	Strand
OG_2536	OMGK01000003	56	409	+
OG_471	OMGK01000003	539	1729	+
OG_2543	OMGK01000003	1722	2207	+
OG_1467	OMGK01000003	2432	2665	+
OG_2048	OMGK01000003	2667	2906	+
OG_2467	OMGK01000003	2897	3082	+
OG_1822	OMGK01000003	3187	4146	+
OG_2013	OMGK01000003	4380	4841	+
OG_2468	OMGK01000003	5310	5681	+
OG_1803	OMGK01000003	5681	5785	+
OG_2469	OMGK01000003	5997	6212	+
OG_2470	OMGK01000003	6219	6470	+
OG_52	OMGK01000003	6467	6931	+
OG_451	OMGK01000003	7042	7602	+
OG_2471	OMGK01000003	7632	8081	+
OG_1541	OMGK01000003	8594	9112	+
OG_3866	OMGK01000003	9131	11104	+
OG_2472	OMGK01000003	11268	11507	+
OG_1470	OMGK01000003	11887	12048	+
OG_2473	OMGK01000003	12045	12254	+
OG_2537	OMGK01000003	12247	12519	+
OG_1747	OMGK01000003	12626	13048	+
OG_14	OMGK01000003	13050	13508	+
OG_2474	OMGK01000003	13528	13773	+
OG_32	OMGK01000003	13826	15010	+
OG_3094	OMGK01000003	15036	15560	+
OG_2475	OMGK01000003	15563	15922	+
OG_2476	OMGK01000003	15993	16385	+
OG_2477	OMGK01000003	16590	16892	+
OG_253	OMGK01000003	16843	17634	+
OG_1742	OMGK01000003	17920	18039	+
OG_2478	OMGK01000003	18303	18473	+
OG_2479	OMGK01000003	18804	18989	+
OG_3093	OMGK01000003	18999	19529	+
OG_3092	OMGK01000003	19526	19822	+
OG_2481	OMGK01000003	19822	20400	+
OG_2573	OMGK01000003	20384	20641	+
OG_505	OMGK01000003	21359	21691	+
OG_3323	OMGK01000003	21958	22161	+
OG_77	OMGK01000003	22226	22777	+
OG_2482	OMGK01000003	23005	23697	+
OG_1245	OMGK01000003	23815	24132	+
OG_1549	OMGK01000003	24136	24588	+
OG_1548	OMGK01000003	24554	24757	+
OG_2483	OMGK01000003	24750	25073	+
OG_721	OMGK01000003	25070	25372	+
OG_3547	OMGK01000003	25369	25530	+
OG_1617	OMGK01000003	25527	26021	+
OG_936	OMGK01000003	26005	26289	+
OG_4697	OMGK01000003	26353	28368	+
OG_1265	OMGK01000003	28371	28745	+
OG_2484	OMGK01000003	28711	29025	+
OG_2486	OMGK01000003	29217	29387	+
OG_15	OMGK01000003	29389	30300	+
OG_2487	OMGK01000003	30771	30929	+
OG_2488	OMGK01000003	30932	31249	+
OG_2489	OMGK01000003	31218	31592	+
OG_2491	OMGK01000003	31585	31980	+
OG_927	OMGK01000003	31973	32434	+
OG_958	OMGK01000003	32397	32813	+
OG_1259	OMGK01000003	32830	33846	+
OG_2492	OMGK01000003	33843	33956	+
OG_3091	OMGK01000003	33987	34106	+
OG_1208	OMGK01000003	34284	35111	+
OG_1174	OMGK01000003	35135	35455	+
OG_2493	OMGK01000003	35428	35952	+
OG_3755	OMGK01000003	35966	37516	+
OG_1166	OMGK01000003	37506	37943	+
OG_16	OMGK01000003	37909	38718	+
OG_1270	OMGK01000003	38728	39030	+
OG_2494	OMGK01000003	39390	39674	+
OG_631	OMGK01000003	39655	40239	+
OG_2495	OMGK01000003	40265	40531	+
OG_2496	OMGK01000003	40778	40969	+
OG_929	OMGK01000003	40951	41274	+
OG_930	OMGK01000003	41320	42183	+
OG_218	OMGK01000003	42183	43460	+
OG_2497	OMGK01000003	43463	43630	+
OG_17	OMGK01000003	43718	44323	+
OG_441	OMGK01000003	44320	45414	+
OG_1097	OMGK01000003	45414	46109	+
OG_931	OMGK01000003	46109	46684	+
OG_57	OMGK01000003	46687	47382	+
