GeneID	Chr	Start	End	Strand
OG_336	OLNI01000077	2	514	-
OG_70	OLNI01000077	527	988	-
OG_422	OLNI01000077	985	1209	-
OG_322	OLNI01000077	1206	2456	-
OG_404	OLNI01000077	2453	2851	-
OG_173	OLNI01000077	2848	3042	-
OG_1775	OLNI01000077	3072	3350	-
OG_742	OLNI01000077	3459	3713	-
OG_291	OLNI01000077	3725	5152	-
OG_291	OLNI01000077	5155	8376	-
OG_378	OLNI01000077	8373	8675	-
OG_300	OLNI01000077	8672	11398	-
OG_174	OLNI01000077	11398	11709	-
OG_812	OLNI01000077	11703	12311	-
OG_1149	OLNI01000077	12389	13363	-
OG_439	OLNI01000077	13468	14196	-
OG_439	OLNI01000077	14193	14933	-
OG_462	OLNI01000077	14933	15628	-
OG_446	OLNI01000077	15628	16380	-
OG_253	OLNI01000077	16406	17041	-
OG_1038	OLNI01000077	17147	18610	-
OG_106	OLNI01000077	18649	19842	-
OG_229	OLNI01000077	19861	20070	-
OG_899	OLNI01000077	20039	20389	-
OG_288	OLNI01000077	20392	22623	-
OG_813	OLNI01000077	22691	23053	-
OG_317	OLNI01000077	23055	23768	-
OG_47	OLNI01000077	23774	26299	-
OG_64	OLNI01000077	26306	28351	-
OG_878	OLNI01000077	28801	28959	-
OG_396	OLNI01000077	29016	29555	-
OG_850	OLNI01000077	29552	29908	-
OG_447	OLNI01000077	30008	30445	-
OG_276	OLNI01000077	30435	30707	-
OG_427	OLNI01000077	30700	31134	-
OG_880	OLNI01000077	31118	31387	-
OG_818	OLNI01000077	31534	31965	-
OG_822	OLNI01000077	31967	32338	-
OG_752	OLNI01000077	32331	32744	-
OG_751	OLNI01000077	32908	33267	-
OG_866	OLNI01000077	33281	33451	-
OG_881	OLNI01000077	33414	33536	-
OG_865	OLNI01000077	33536	33736	-
OG_312	OLNI01000077	33953	34810	-
OG_886	OLNI01000077	34812	35030	-
OG_1729	OLNI01000077	35274	35504	+
OG_204	OLNI01000077	35788	36447	+
OG_3509	OLNI01000077	36712	36870	+
OG_587	OLNI01000077	37355	37816	+
OG_871	OLNI01000077	38291	38614	+
OG_870	OLNI01000077	38717	39874	+
OG_171	OLNI01000077	40225	40542	+
OG_349	OLNI01000077	40587	41036	+
OG_309	OLNI01000077	41405	41674	+
OG_874	OLNI01000077	41702	42097	+
OG_1774	OLNI01000077	42099	42227	+
OG_832	OLNI01000077	43081	43575	+
OG_833	OLNI01000077	43577	43822	+
OG_754	OLNI01000077	43797	44078	+
OG_834	OLNI01000077	44069	44260	+
OG_840	OLNI01000077	44263	44721	+
OG_761	OLNI01000077	44721	45203	+
OG_841	OLNI01000077	45260	45808	+
OG_842	OLNI01000077	45825	46184	+
OG_362	OLNI01000077	46243	47625	+
OG_197	OLNI01000077	47667	48098	+
UG_470	OLNI01000077	49864	49998	+
OG_479	OLNI01000077	50152	50709	+
OG_214	OLNI01000077	50723	51244	+
OG_4163	OLNI01000077	51272	51370	+
OG_175	OLNI01000077	51681	52208	+
OG_875	OLNI01000077	52294	52962	+
OG_232	OLNI01000077	52964	53185	+
OG_717	OLNI01000077	53350	55284	+
OG_338	OLNI01000077	55338	55901	+
OG_448	OLNI01000077	55882	56835	+
OG_770	OLNI01000077	56840	57370	+
OG_306	OLNI01000077	57455	58195	+
OG_416	OLNI01000077	58212	58847	+
OG_269	OLNI01000077	58963	60144	+
OG_168	OLNI01000077	60125	61021	+
OG_323	OLNI01000077	61403	62422	+
OG_32	OLNI01000077	62769	63671	+
OG_908	OLNI01000077	63716	64483	+
OG_1772	OLNI01000077	64455	64730	+
OG_275	OLNI01000077	64743	65729	+
OG_1030	OLNI01000077	65707	66207	+
OG_130	OLNI01000077	66287	71041	-
OG_62	OLNI01000077	71043	83561	-
OG_125	OLNI01000077	83563	85533	-
OG_445	OLNI01000077	85535	87775	-
OG_408	OLNI01000077	87777	91871	-
OG_583	OLNI01000077	91868	92779	-
OG_351	OLNI01000077	92797	93258	-
OG_456	OLNI01000077	93255	93899	-
OG_304	OLNI01000077	94036	94596	-
OG_352	OLNI01000077	94642	95061	-
OG_268	OLNI01000077	95076	95975	-
OG_319	OLNI01000077	96006	96611	-
OG_191	OLNI01000077	96643	97299	-
OG_679	OLNI01000077	97256	97774	-
OG_336	OLNI01000077	98176	98382	-
