GeneID	Chr	Start	End	Strand
OG_618	OFMB01000041	58	768	+
OG_2257	OFMB01000041	1046	1474	-
OG_2689	OFMB01000041	1458	1568	-
OG_707	OFMB01000041	1699	2148	+
OG_729	OFMB01000041	2265	2429	+
OG_1399	OFMB01000041	2448	2897	+
OG_735	OFMB01000041	3649	4134	+
OG_4059	OFMB01000041	4139	4603	+
OG_2252	OFMB01000041	4608	4814	+
OG_737	OFMB01000041	4811	4918	+
OG_714	OFMB01000041	5133	5438	+
OG_542	OFMB01000041	5441	5899	+
OG_434	OFMB01000041	5899	7341	+
OG_722	OFMB01000041	7334	7606	+
OG_716	OFMB01000041	7618	8145	+
OG_717	OFMB01000041	8145	10451	+
OG_218	OFMB01000041	10454	11872	+
OG_3862	OFMB01000041	11923	12882	+
OG_1980	OFMB01000041	12931	13770	+
OG_2687	OFMB01000041	13877	14857	+
OG_323	OFMB01000041	14991	16193	+
OG_680	OFMB01000041	16198	16575	+
OG_344	OFMB01000041	16579	17124	+
OG_245	OFMB01000041	17117	18325	+
OG_536	OFMB01000041	18328	18762	+
OG_248	OFMB01000041	19026	19733	+
OG_4	OFMB01000041	19786	20169	+
OG_312	OFMB01000041	20177	21067	+
OG_1358	OFMB01000041	21042	21293	+
OG_329	OFMB01000041	21298	22080	+
OG_228	OFMB01000041	22083	22880	+
OG_353	OFMB01000041	22883	23947	+
OG_211	OFMB01000041	23937	24563	+
OG_2256	OFMB01000041	24535	24822	+
OG_326	OFMB01000041	24826	25281	+
OG_418	OFMB01000041	25294	25437	+
OG_313	OFMB01000041	25450	25608	+
OG_740	OFMB01000041	25853	26047	+
OG_2255	OFMB01000041	26044	26166	+
OG_62	OFMB01000041	27029	40282	-
OG_314	OFMB01000041	40360	46326	-
OG_1794	OFMB01000041	46328	48928	-
OG_436	OFMB01000041	48948	51488	-
OG_281	OFMB01000041	51599	52405	-
OG_415	OFMB01000041	52409	55879	-
OG_584	OFMB01000041	55887	56717	-
OG_361	OFMB01000041	56662	57618	-
OG_464	OFMB01000041	57622	58323	-
OG_278	OFMB01000041	58461	58832	-
OG_425	OFMB01000041	58835	59077	-
OG_37	OFMB01000041	59143	59841	-
OG_172	OFMB01000041	60010	60216	-
OG_291	OFMB01000041	60219	61451	-
OG_322	OFMB01000041	61456	62961	-
OG_70	OFMB01000041	63058	63459	-
OG_813	OFMB01000041	63622	63960	-
OG_156	OFMB01000041	64045	64374	-
OG_741	OFMB01000041	64376	64618	-
OG_743	OFMB01000041	64829	65314	-
OG_70	OFMB01000041	65396	66946	-
OG_70	OFMB01000041	67015	69375	-
OG_336	OFMB01000041	69418	69891	-
OG_120	OFMB01000041	69875	72994	-
OG_746	OFMB01000041	72972	73220	-
OG_2390	OFMB01000041	73213	73839	-
OG_1151	OFMB01000041	73929	74819	-
OG_439	OFMB01000041	74835	75518	-
OG_410	OFMB01000041	75523	76662	-
OG_1039	OFMB01000041	76686	78158	-
OG_431	OFMB01000041	78179	79510	-
OG_47	OFMB01000041	79895	82291	-
OG_64	OFMB01000041	82423	84672	-
OG_412	OFMB01000041	84683	85012	-
OG_424	OFMB01000041	84972	85277	-
OG_409	OFMB01000041	85294	85713	-
OG_256	OFMB01000041	85723	85935	-
OG_257	OFMB01000041	85919	86179	-
OG_3131	OFMB01000041	86186	86518	-
OG_429	OFMB01000041	86515	87522	-
OG_407	OFMB01000041	87532	88137	-
OG_547	OFMB01000041	88124	88663	-
OG_413	OFMB01000041	88761	89333	-
OG_614	OFMB01000041	89342	89551	-
OG_618	OFMB01000041	90307	91041	+
OG_703	OFMB01000041	91569	92267	+
OG_2253	OFMB01000041	92317	92514	+
OG_2919	OFMB01000041	92591	92716	+
