GeneID	Chr	Start	End	Strand
OG_421	OGPL01000016	2	3871	+
OG_24	OGPL01000016	3861	9566	+
OG_356	OGPL01000016	9688	10425	+
OG_24	OGPL01000016	10485	11393	+
OG_356	OGPL01000016	11473	12399	+
OG_24	OGPL01000016	12689	15214	+
OG_62	OGPL01000016	15207	19652	+
OG_940	OGPL01000016	19705	19863	-
OG_248	OGPL01000016	19847	20566	-
OG_1313	OGPL01000016	20566	21567	-
OG_312	OGPL01000016	21576	22523	-
OG_460	OGPL01000016	22539	22793	-
OG_3364	OGPL01000016	22786	23010	-
OG_717	OGPL01000016	23105	23617	-
OG_253	OGPL01000016	23768	24583	-
OG_717	OGPL01000016	24849	26195	-
OG_1277	OGPL01000016	26439	26648	-
OG_1314	OGPL01000016	26630	27172	-
OG_938	OGPL01000016	27178	27375	-
OG_919	OGPL01000016	27365	27634	-
OG_1315	OGPL01000016	27624	27809	-
OG_1159	OGPL01000016	27796	28176	-
OG_935	OGPL01000016	28776	29273	-
OG_1316	OGPL01000016	29227	29751	-
OG_3	OGPL01000016	29756	31123	-
OG_1166	OGPL01000016	31104	31496	-
OG_1317	OGPL01000016	31487	31678	-
OG_1205	OGPL01000016	31665	31919	-
OG_1318	OGPL01000016	32399	32728	-
OG_245	OGPL01000016	32728	33888	-
OG_434	OGPL01000016	33894	35300	-
OG_211	OGPL01000016	35300	35788	-
OG_1319	OGPL01000016	35778	35987	-
OG_433	OGPL01000016	36035	36502	-
OG_36	OGPL01000016	36495	38621	-
OG_1268	OGPL01000016	38621	39379	-
OG_1320	OGPL01000016	39345	39914	-
OG_767	OGPL01000016	39988	40515	-
OG_275	OGPL01000016	40656	41693	-
OG_447	OGPL01000016	41694	42458	-
OG_2949	OGPL01000016	42460	43755	-
OG_933	OGPL01000016	43816	44034	-
OG_1285	OGPL01000016	44021	44923	-
OG_3908	OGPL01000016	44927	45295	-
OG_3907	OGPL01000016	45282	45578	-
OG_3909	OGPL01000016	45565	45876	-
OG_3911	OGPL01000016	45860	46252	-
OG_3911	OGPL01000016	46254	46766	-
OG_3910	OGPL01000016	46756	47232	-
OG_932	OGPL01000016	47279	47680	-
OG_323	OGPL01000016	47631	48680	-
OG_416	OGPL01000016	48697	49374	-
OG_931	OGPL01000016	49426	49947	-
OG_306	OGPL01000016	49940	50671	-
OG_441	OGPL01000016	50674	51615	-
OG_441	OGPL01000016	51912	52109	-
OG_17	OGPL01000016	52113	52709	-
OG_218	OGPL01000016	52787	54007	-
OG_2944	OGPL01000016	53997	54926	-
OG_930	OGPL01000016	55001	55840	-
OG_929	OGPL01000016	55845	56159	-
OG_1278	OGPL01000016	56140	56901	-
OG_1279	OGPL01000016	56876	57058	-
OG_334	OGPL01000016	57119	57886	-
OG_1279	OGPL01000016	58074	58595	-
OG_1321	OGPL01000016	58541	58744	-
OG_1270	OGPL01000016	58737	58988	-
OG_928	OGPL01000016	58982	59353	-
OG_927	OGPL01000016	59346	59657	-
OG_956	OGPL01000016	59723	60112	-
OG_1322	OGPL01000016	60119	60286	-
OG_633	OGPL01000016	60279	60614	-
OG_1323	OGPL01000016	60632	60952	-
OG_2951	OGPL01000016	60936	61091	-
OG_1286	OGPL01000016	61187	61492	-
OG_1324	OGPL01000016	61516	62136	-
UG_248	OGPL01000016	62148	62792	-
UG_249	OGPL01000016	62798	63208	-
OG_992	OGPL01000016	63338	63529	-
OG_1325	OGPL01000016	63629	63814	-
OG_1326	OGPL01000016	63816	64001	-
OG_1281	OGPL01000016	64001	64471	-
OG_1282	OGPL01000016	64471	64686	-
OG_1327	OGPL01000016	64688	64927	-
OG_1328	OGPL01000016	65257	65496	-
OG_1271	OGPL01000016	65490	65705	-
OG_1341	OGPL01000016	65713	65970	-
OG_232	OGPL01000016	65970	66173	-
OG_1272	OGPL01000016	66164	66427	-
OG_1656	OGPL01000016	66611	67060	-
OG_1329	OGPL01000016	67350	67535	-
OG_1330	OGPL01000016	67638	68099	-
OG_1331	OGPL01000016	68163	68456	-
OG_1332	OGPL01000016	68523	68825	-
OG_3363	OGPL01000016	68807	68947	-
OG_1273	OGPL01000016	68997	70700	-
OG_1168	OGPL01000016	70778	71296	-
OG_1333	OGPL01000016	71287	71514	-
OG_1371	OGPL01000016	71568	71714	-
OG_1274	OGPL01000016	71808	72488	-
OG_1334	OGPL01000016	73461	73925	-
OG_1335	OGPL01000016	74348	74773	-
UG_250	OGPL01000016	75012	75230	-
OG_1336	OGPL01000016	75472	75690	-
OG_1337	OGPL01000016	76098	76430	-
OG_1275	OGPL01000016	76536	77438	-
OG_913	OGPL01000016	77544	77672	-
OG_1292	OGPL01000016	77789	77986	-
OG_3366	OGPL01000016	78645	78971	-
