GeneID	Chr	Start	End	Strand
OG_622	OGWR01000031	687	947	-
OG_165	OGWR01000031	1143	1448	+
OG_2547	OGWR01000031	1860	2009	+
OG_599	OGWR01000031	2006	2422	+
OG_2013	OGWR01000031	3199	3591	+
OG_673	OGWR01000031	4024	4500	+
OG_664	OGWR01000031	4856	5005	+
OG_1158	OGWR01000031	5020	5268	+
OG_598	OGWR01000031	5234	5467	+
OG_597	OGWR01000031	5469	5798	+
OG_819	OGWR01000031	5802	6185	+
OG_749	OGWR01000031	6182	6481	+
OG_596	OGWR01000031	6441	6851	+
OG_396	OGWR01000031	6902	7429	+
OG_640	OGWR01000031	7432	7752	+
OG_64	OGWR01000031	7745	10003	+
OG_253	OGWR01000031	10029	10769	+
OG_47	OGWR01000031	10769	13186	+
OG_70	OGWR01000031	13192	13584	+
OG_291	OGWR01000031	13591	16323	+
OG_291	OGWR01000031	16432	18504	+
OG_291	OGWR01000031	18517	21213	+
OG_191	OGWR01000031	21377	21979	+
OG_252	OGWR01000031	21982	22296	+
OG_355	OGWR01000031	22301	22666	+
OG_253	OGWR01000031	22668	23300	+
OG_1156	OGWR01000031	23272	23733	+
OG_376	OGWR01000031	23969	25138	+
OG_1038	OGWR01000031	25173	26687	+
OG_446	OGWR01000031	26760	27752	+
OG_253	OGWR01000031	27757	28407	+
OG_439	OGWR01000031	28397	29113	+
OG_414	OGWR01000031	29125	29817	+
OG_1152	OGWR01000031	29853	30863	+
OG_595	OGWR01000031	30923	31573	+
OG_162	OGWR01000031	31566	31910	+
OG_393	OGWR01000031	32011	32691	+
OG_351	OGWR01000031	32691	33248	+
OG_583	OGWR01000031	33241	33951	+
OG_408	OGWR01000031	33953	37957	+
OG_229	OGWR01000031	38065	40650	+
OG_594	OGWR01000031	40643	42247	+
OG_62	OGWR01000031	42254	49192	+
UG_257	OGWR01000031	49249	49386	-
OG_317	OGWR01000031	49346	49924	-
OG_62	OGWR01000031	50044	54093	-
OG_62	OGWR01000031	54096	61922	-
OG_194	OGWR01000031	62064	62690	-
OG_444	OGWR01000031	62703	63470	-
OG_196	OGWR01000031	63470	63712	-
OG_312	OGWR01000031	63730	64239	-
OG_305	OGWR01000031	64364	65128	-
OG_312	OGWR01000031	65243	65713	-
OG_603	OGWR01000031	65717	65950	-
OG_317	OGWR01000031	65943	66428	-
OG_603	OGWR01000031	66488	66712	-
OG_3192	OGWR01000031	66712	67254	-
OG_1162	OGWR01000031	67251	67565	-
OG_452	OGWR01000031	67578	67868	-
OG_3128	OGWR01000031	67881	68366	-
OG_1161	OGWR01000031	68363	68803	-
OG_1159	OGWR01000031	68800	69234	-
OG_2530	OGWR01000031	69227	69646	-
OG_219	OGWR01000031	69630	69950	-
OG_417	OGWR01000031	69957	72278	-
OG_630	OGWR01000031	72275	72592	-
OG_593	OGWR01000031	72589	73101	-
OG_211	OGWR01000031	73125	73592	-
OG_40	OGWR01000031	73594	75255	-
OG_317	OGWR01000031	75418	75918	-
OG_40	OGWR01000031	76035	76919	-
OG_275	OGWR01000031	76916	77959	-
OG_423	OGWR01000031	77943	78227	-
OG_74	OGWR01000031	78193	78714	-
OG_317	OGWR01000031	78668	79198	-
OG_658	OGWR01000031	79179	79718	-
OG_1096	OGWR01000031	79738	80403	-
OG_600	OGWR01000031	80400	81200	-
OG_1098	OGWR01000031	81200	82090	-
OG_1099	OGWR01000031	82093	83331	-
OG_1465	OGWR01000031	83270	84604	-
OG_589	OGWR01000031	84667	85335	-
OG_317	OGWR01000031	85502	86005	-
OG_323	OGWR01000031	85963	86964	-
OG_585	OGWR01000031	86985	87899	-
OG_611	OGWR01000031	87923	88297	-
OG_609	OGWR01000031	88303	88575	-
OG_1097	OGWR01000031	88568	89275	-
OG_441	OGWR01000031	89292	90512	-
OG_161	OGWR01000031	90514	91119	-
OG_628	OGWR01000031	91124	91525	-
OG_390	OGWR01000031	91522	92697	-
OG_1617	OGWR01000031	92690	93136	-
OG_1174	OGWR01000031	93185	93511	-
OG_1208	OGWR01000031	93514	94326	-
OG_3893	OGWR01000031	94339	94593	-
OG_2548	OGWR01000031	94783	94968	-
OG_607	OGWR01000031	95157	95540	-
OG_1176	OGWR01000031	95533	95922	-
OG_2232	OGWR01000031	96568	97989	-
OG_1464	OGWR01000031	98125	98544	-
OG_1747	OGWR01000031	98569	99027	-
OG_1736	OGWR01000031	100106	100336	-
OG_2549	OGWR01000031	100333	100425	-
OG_1466	OGWR01000031	100643	100981	-
