GeneID	Chr	Start	End	Strand
OG_908	OGPM01000076	3	605	-
OG_74	OGPM01000076	651	1034	-
OG_1727	OGPM01000076	988	1224	-
OG_323	OGPM01000076	1205	2176	-
OG_416	OGPM01000076	2484	3086	-
OG_306	OGPM01000076	3126	3866	-
OG_770	OGPM01000076	3947	4462	-
OG_448	OGPM01000076	4478	5458	-
OG_338	OGPM01000076	5439	6008	-
OG_717	OGPM01000076	6064	6978	-
OG_253	OGPM01000076	7003	7680	-
OG_717	OGPM01000076	7892	8959	-
OG_1728	OGPM01000076	9074	9481	-
OG_892	OGPM01000076	9506	9724	-
OG_1724	OGPM01000076	9730	10539	-
OG_175	OGPM01000076	10634	11137	-
OG_234	OGPM01000076	11285	11884	-
OG_234	OGPM01000076	11893	12540	-
OG_845	OGPM01000076	14646	15071	-
OG_184	OGPM01000076	15061	15462	-
OG_362	OGPM01000076	15533	17086	-
OG_846	OGPM01000076	17154	17531	-
OG_841	OGPM01000076	17544	18104	-
OG_758	OGPM01000076	18116	18547	-
OG_840	OGPM01000076	18507	18992	-
OG_835	OGPM01000076	18989	19177	-
OG_754	OGPM01000076	19168	19467	-
OG_753	OGPM01000076	20417	20884	-
OG_888	OGPM01000076	20924	21154	-
OG_847	OGPM01000076	21126	21446	-
OG_2004	OGPM01000076	21499	21654	-
OG_203	OGPM01000076	21669	21908	-
OG_283	OGPM01000076	21856	22482	-
OG_848	OGPM01000076	22496	22753	-
OG_1788	OGPM01000076	22944	23243	+
OG_349	OGPM01000076	23201	23683	-
OG_250	OGPM01000076	23723	24121	-
OG_872	OGPM01000076	24130	24465	-
OG_171	OGPM01000076	24462	24764	-
OG_170	OGPM01000076	24715	24969	-
OG_204	OGPM01000076	26945	27607	-
OG_1729	OGPM01000076	27876	28106	-
OG_886	OGPM01000076	28475	28693	+
OG_312	OGPM01000076	28695	29612	+
OG_865	OGPM01000076	29797	29988	+
OG_882	OGPM01000076	29985	30230	+
OG_447	OGPM01000076	30199	30522	+
OG_866	OGPM01000076	30509	30709	+
OG_751	OGPM01000076	30764	31120	+
OG_752	OGPM01000076	31321	31698	+
OG_822	OGPM01000076	31691	32083	+
OG_818	OGPM01000076	32058	32450	+
OG_750	OGPM01000076	32422	32613	+
OG_427	OGPM01000076	32597	33019	+
OG_276	OGPM01000076	33016	33351	+
OG_210	OGPM01000076	33461	33814	+
OG_849	OGPM01000076	33818	34111	+
OG_2003	OGPM01000076	34104	34382	+
OG_396	OGPM01000076	34369	34902	+
OG_215	OGPM01000076	34960	35100	+
OG_221	OGPM01000076	35627	35785	+
OG_64	OGPM01000076	35794	37875	+
OG_47	OGPM01000076	37878	40397	+
OG_253	OGPM01000076	40397	41158	+
OG_813	OGPM01000076	41208	41516	+
OG_288	OGPM01000076	41599	42537	+
OG_206	OGPM01000076	42549	42812	+
OG_229	OGPM01000076	42805	43041	+
OG_106	OGPM01000076	43059	44240	+
OG_1038	OGPM01000076	44273	45745	+
OG_446	OGPM01000076	45820	46572	+
OG_462	OGPM01000076	46572	47267	+
OG_439	OGPM01000076	47267	47995	+
OG_1149	OGPM01000076	48115	49089	+
OG_812	OGPM01000076	49169	49753	+
OG_174	OGPM01000076	49747	50064	+
OG_300	OGPM01000076	50061	52664	+
OG_378	OGPM01000076	52667	52930	+
OG_291	OGPM01000076	52936	54702	+
OG_291	OGPM01000076	54705	57287	+
OG_980	OGPM01000076	57292	57834	+
OG_173	OGPM01000076	57831	58025	+
OG_1156	OGPM01000076	58027	58530	+
OG_2005	OGPM01000076	58527	58784	+
OG_322	OGPM01000076	58781	60448	+
OG_172	OGPM01000076	60536	60754	+
OG_70	OGPM01000076	60763	61404	+
OG_70	OGPM01000076	61407	62666	+
OG_124	OGPM01000076	62943	63836	+
OG_679	OGPM01000076	64119	64634	+
OG_191	OGPM01000076	64597	65244	+
OG_268	OGPM01000076	65553	65858	+
OG_352	OGPM01000076	65873	66313	+
OG_304	OGPM01000076	66358	66921	+
OG_456	OGPM01000076	67059	67703	+
OG_351	OGPM01000076	67700	68161	+
OG_583	OGPM01000076	68165	69091	+
OG_408	OGPM01000076	69088	73236	+
OG_445	OGPM01000076	73238	75256	+
OG_125	OGPM01000076	75256	77229	+
OG_62	OGPM01000076	77231	89371	+
OG_130	OGPM01000076	89373	94148	+
OG_1030	OGPM01000076	94228	94728	-
OG_275	OGPM01000076	94706	95725	-
OG_908	OGPM01000076	95722	95919	-
