GeneID	Chr	Start	End	Strand
OG_268	OMGI01000036	3	767	-
OG_319	OMGI01000036	797	1432	-
OG_317	OMGI01000036	1530	2087	+
OG_191	OMGI01000036	2088	2732	-
OG_679	OMGI01000036	2704	3225	-
OG_124	OMGI01000036	3345	4367	-
OG_70	OMGI01000036	4629	7175	-
OG_70	OMGI01000036	7258	8142	-
OG_65	OMGI01000036	8146	8589	-
OG_173	OMGI01000036	8567	8758	-
OG_100	OMGI01000036	8755	10935	-
OG_291	OMGI01000036	10928	14713	-
OG_318	OMGI01000036	14697	15101	-
OG_300	OMGI01000036	15107	18328	-
OG_812	OMGI01000036	18340	19038	-
OG_1149	OMGI01000036	19140	20114	-
OG_439	OMGI01000036	20213	20881	-
OG_462	OMGI01000036	20884	21594	-
OG_446	OMGI01000036	21594	22346	-
OG_253	OMGI01000036	22369	23016	-
OG_1038	OMGI01000036	23091	24560	-
OG_106	OMGI01000036	24596	25762	-
OG_229	OMGI01000036	25784	26017	-
OG_288	OMGI01000036	26010	27161	-
OG_885	OMGI01000036	27163	27408	-
OG_813	OMGI01000036	27494	27958	-
OG_47	OMGI01000036	27961	30480	-
OG_64	OMGI01000036	30483	33662	-
OG_253	OMGI01000036	33921	34751	-
OG_215	OMGI01000036	34898	35035	-
OG_396	OMGI01000036	35096	35626	-
OG_849	OMGI01000036	35613	35927	-
OG_210	OMGI01000036	35929	36300	-
OG_276	OMGI01000036	36361	36741	-
OG_427	OMGI01000036	36731	37171	-
OG_750	OMGI01000036	37149	37346	-
OG_818	OMGI01000036	37318	37701	-
OG_822	OMGI01000036	37691	38068	-
OG_752	OMGI01000036	38061	38438	-
OG_751	OMGI01000036	38584	38943	-
OG_866	OMGI01000036	38977	39186	-
OG_447	OMGI01000036	39173	39487	-
OG_1807	OMGI01000036	39465	39725	-
OG_865	OMGI01000036	39722	39913	-
OG_312	OMGI01000036	40073	40972	-
OG_887	OMGI01000036	40974	41417	-
OG_301	OMGI01000036	41674	42258	+
OG_3800	OMGI01000036	44299	44508	+
OG_587	OMGI01000036	44529	44972	+
OG_171	OMGI01000036	45504	45809	+
OG_250	OMGI01000036	45829	46197	+
OG_349	OMGI01000036	46223	46681	+
OG_1810	OMGI01000036	47071	47316	+
OG_848	OMGI01000036	47298	47561	+
OG_283	OMGI01000036	47580	48065	+
OG_854	OMGI01000036	48049	48147	+
OG_203	OMGI01000036	48138	48284	+
OG_847	OMGI01000036	48511	48810	+
OG_888	OMGI01000036	48824	49045	+
OG_753	OMGI01000036	49083	49550	+
OG_754	OMGI01000036	50252	50530	+
OG_835	OMGI01000036	50521	50706	+
OG_840	OMGI01000036	50703	51200	+
OG_758	OMGI01000036	51151	51543	+
OG_841	OMGI01000036	51592	52152	+
OG_846	OMGI01000036	52169	52543	+
OG_362	OMGI01000036	52620	54134	+
OG_184	OMGI01000036	54218	54607	+
OG_845	OMGI01000036	54597	55022	+
OG_234	OMGI01000036	57127	58326	+
OG_175	OMGI01000036	58550	59077	+
OG_893	OMGI01000036	59080	59295	+
OG_1724	OMGI01000036	59313	60104	+
OG_1728	OMGI01000036	60130	60357	+
OG_717	OMGI01000036	60479	62458	+
OG_338	OMGI01000036	62516	63085	+
OG_448	OMGI01000036	63066	64046	+
OG_770	OMGI01000036	64061	64576	+
OG_306	OMGI01000036	64651	65391	+
OG_416	OMGI01000036	65408	66037	+
OG_323	OMGI01000036	66262	67257	+
OG_1414	OMGI01000036	67214	67408	+
OG_917	OMGI01000036	67405	67713	+
OG_74	OMGI01000036	67673	68050	+
OG_908	OMGI01000036	68099	68761	+
OG_275	OMGI01000036	68751	69734	+
OG_876	OMGI01000036	69706	69834	+
OG_877	OMGI01000036	69815	70192	+
OG_130	OMGI01000036	70248	75161	-
OG_62	OMGI01000036	75164	88948	-
OG_125	OMGI01000036	88958	90532	-
OG_445	OMGI01000036	90532	92358	-
OG_408	OMGI01000036	92360	96532	-
OG_583	OMGI01000036	96529	97470	-
OG_351	OMGI01000036	97467	97916	-
OG_456	OMGI01000036	97924	98568	-
OG_304	OMGI01000036	98708	99271	-
OG_352	OMGI01000036	99318	99758	-
OG_268	OMGI01000036	99776	99979	-
