GeneID	Chr	Start	End	Strand
OG_300	2_lib200757_1	2	2437	-
OG_319	2_lib200757_1	2516	3001	-
OG_304	2_lib200757_1	2970	3473	-
OG_268	2_lib200757_1	3531	4334	-
OG_187	2_lib200757_1	4537	4902	-
OG_124	2_lib200757_1	4850	6088	-
OG_70	2_lib200757_1	6354	8471	-
OG_211	2_lib200757_1	8542	9099	-
OG_189	2_lib200757_1	9593	9916	-
OG_233	2_lib200757_1	9927	10310	-
OG_750	2_lib200757_1	10288	10518	-
OG_751	2_lib200757_1	10518	10946	-
OG_752	2_lib200757_1	10948	11358	-
OG_427	2_lib200757_1	11646	12044	+
OG_763	2_lib200757_1	12041	12511	+
OG_2006	2_lib200757_1	12486	12605	+
OG_222	2_lib200757_1	12683	13147	+
OG_188	2_lib200757_1	13147	13386	+
OG_4656	2_lib200757_1	13502	13603	+
OG_1880	2_lib200757_1	13590	14105	+
OG_4545	2_lib200757_1	14336	14566	-
OG_764	2_lib200757_1	15367	15666	+
OG_1196	2_lib200757_1	15891	16307	+
OG_1195	2_lib200757_1	16276	16530	+
OG_768	2_lib200757_1	16530	16910	+
OG_3326	2_lib200757_1	16907	17365	+
OG_1197	2_lib200757_1	17362	17553	+
OG_1194	2_lib200757_1	17556	17828	+
OG_1962	2_lib200757_1	17825	18028	+
OG_349	2_lib200757_1	18408	18905	+
OG_778	2_lib200757_1	18902	19321	+
OG_780	2_lib200757_1	19436	19669	+
OG_753	2_lib200757_1	19706	20200	+
OG_756	2_lib200757_1	21001	21522	+
OG_757	2_lib200757_1	21535	22023	+
OG_841	2_lib200757_1	21981	22538	+
OG_2249	2_lib200757_1	22559	22696	-
OG_193	2_lib200757_1	22736	22939	+
OG_362	2_lib200757_1	23006	24517	+
OG_1187	2_lib200757_1	24619	25020	+
OG_2248	2_lib200757_1	25007	25198	+
OG_2007	2_lib200757_1	25398	25880	-
OG_438	2_lib200757_1	27186	27800	+
OG_214	2_lib200757_1	27785	28369	+
OG_175	2_lib200757_1	28646	29194	+
OG_2735	2_lib200757_1	29319	30272	+
OG_782	2_lib200757_1	30290	30952	+
OG_717	2_lib200757_1	31049	32959	+
OG_338	2_lib200757_1	32981	33547	+
OG_448	2_lib200757_1	33528	34454	+
OG_770	2_lib200757_1	34478	34933	+
OG_306	2_lib200757_1	34959	35699	+
OG_416	2_lib200757_1	35790	36395	+
OG_323	2_lib200757_1	37027	37998	+
OG_1186	2_lib200757_1	37991	38305	+
OG_74	2_lib200757_1	38286	38684	+
OG_32	2_lib200757_1	38705	39598	+
OG_275	2_lib200757_1	39598	40614	+
OG_1190	2_lib200757_1	40611	40757	+
OG_1188	2_lib200757_1	40750	41196	+
OG_130	2_lib200757_1	41186	47023	-
OG_62	2_lib200757_1	47026	63357	-
OG_125	2_lib200757_1	63367	65289	-
OG_190	2_lib200757_1	65299	67071	-
OG_190	2_lib200757_1	67055	67843	-
OG_408	2_lib200757_1	67834	72528	-
OG_583	2_lib200757_1	72518	73381	-
OG_351	2_lib200757_1	73356	73826	-
OG_456	2_lib200757_1	73801	74493	-
OG_191	2_lib200757_1	74490	75140	-
OG_772	2_lib200757_1	75091	75396	-
OG_1156	2_lib200757_1	75393	75818	-
OG_224	2_lib200757_1	75815	83308	-
OG_176	2_lib200757_1	83305	83901	-
OG_176	2_lib200757_1	84112	87465	-
OG_773	2_lib200757_1	87477	88394	-
OG_1149	2_lib200757_1	88457	89587	-
OG_439	2_lib200757_1	89665	90360	-
OG_439	2_lib200757_1	90360	91106	-
OG_462	2_lib200757_1	91103	91831	-
OG_446	2_lib200757_1	91847	92599	-
OG_1038	2_lib200757_1	92679	94214	-
OG_106	2_lib200757_1	94233	95429	-
OG_428	2_lib200757_1	95739	96875	-
OG_47	2_lib200757_1	96875	99346	-
OG_64	2_lib200757_1	99350	99679	-
OG_64	2_lib200757_1	100180	102714	-
OG_396	2_lib200757_1	102717	103226	-
OG_813	2_lib200757_1	103226	103552	-
OG_300	2_lib200757_1	103494	103832	-
