GeneID	Chr	Start	End	Strand
OG_319	OGON01000039	102	722	-
OG_191	OGON01000039	756	1391	-
OG_679	OGON01000039	1366	1722	-
OG_70	OGON01000039	2053	2451	-
OG_172	OGON01000039	2460	2591	-
OG_322	OGON01000039	2591	3670	-
OG_404	OGON01000039	3667	4065	-
OG_173	OGON01000039	4065	4256	-
OG_980	OGON01000039	4253	4771	-
OG_291	OGON01000039	4740	7355	-
OG_291	OGON01000039	7360	8580	-
OG_378	OGON01000039	8586	8849	-
OG_300	OGON01000039	8852	11455	-
OG_174	OGON01000039	11452	11769	-
OG_812	OGON01000039	11763	12419	-
OG_1149	OGON01000039	12428	13402	-
OG_439	OGON01000039	13512	14240	-
OG_462	OGON01000039	14240	14935	-
OG_446	OGON01000039	14935	15687	-
OG_253	OGON01000039	15694	16704	-
OG_1038	OGON01000039	16784	18256	-
OG_106	OGON01000039	18289	19470	-
OG_305	OGON01000039	19492	20022	-
OG_229	OGON01000039	20019	20252	-
OG_206	OGON01000039	20245	20562	-
OG_288	OGON01000039	20540	23824	-
OG_599	OGON01000039	23914	24288	-
OG_47	OGON01000039	24290	26794	-
OG_64	OGON01000039	26797	29985	-
OG_215	OGON01000039	30663	30803	-
OG_396	OGON01000039	30862	31392	-
OG_849	OGON01000039	31379	31687	-
OG_210	OGON01000039	31689	32042	-
OG_276	OGON01000039	32152	32487	-
OG_427	OGON01000039	32487	32906	-
OG_750	OGON01000039	32890	33081	-
OG_818	OGON01000039	33053	33427	-
OG_822	OGON01000039	33420	33812	-
OG_752	OGON01000039	33805	34185	-
OG_751	OGON01000039	34364	34720	-
OG_866	OGON01000039	34775	34975	-
OG_447	OGON01000039	34962	35276	-
OG_882	OGON01000039	35263	35481	-
OG_865	OGON01000039	35478	35675	-
OG_312	OGON01000039	35872	36669	-
OG_886	OGON01000039	36675	36902	-
OG_1729	OGON01000039	37246	37476	+
OG_204	OGON01000039	37745	38407	+
OG_3800	OGON01000039	39357	39560	+
OG_587	OGON01000039	39570	40061	+
OG_170	OGON01000039	40907	41212	+
OG_171	OGON01000039	41214	41516	+
OG_3121	OGON01000039	41513	41704	+
OG_250	OGON01000039	41697	42095	+
OG_349	OGON01000039	42135	42617	+
OG_848	OGON01000039	43023	43280	+
OG_283	OGON01000039	43294	43923	+
OG_203	OGON01000039	43871	44110	+
OG_847	OGON01000039	44332	44652	+
OG_888	OGON01000039	44624	44854	+
OG_753	OGON01000039	44894	45361	+
OG_2040	OGON01000039	46053	46178	+
OG_754	OGON01000039	46330	46629	+
OG_835	OGON01000039	46620	46808	+
OG_840	OGON01000039	46805	47290	+
OG_758	OGON01000039	47250	47681	+
OG_841	OGON01000039	47693	48253	+
OG_846	OGON01000039	48266	48643	+
OG_362	OGON01000039	48713	50257	+
OG_184	OGON01000039	50328	50729	+
OG_845	OGON01000039	50719	51144	+
OG_234	OGON01000039	53251	53898	+
OG_234	OGON01000039	53907	54506	+
OG_175	OGON01000039	54656	55159	+
OG_1724	OGON01000039	55276	56085	+
OG_892	OGON01000039	56085	56312	+
OG_1728	OGON01000039	56337	56744	+
OG_717	OGON01000039	56859	58076	+
OG_253	OGON01000039	58110	58988	+
OG_717	OGON01000039	59129	59971	+
OG_338	OGON01000039	60027	60596	+
OG_448	OGON01000039	60577	61557	+
OG_770	OGON01000039	61573	62088	+
OG_306	OGON01000039	62163	62903	+
OG_416	OGON01000039	62943	63545	+
OG_323	OGON01000039	63809	64780	+
OG_1727	OGON01000039	64761	64997	+
OG_74	OGON01000039	64951	65334	+
OG_908	OGON01000039	65380	66129	+
OG_275	OGON01000039	66126	67145	+
OG_1030	OGON01000039	67123	67623	+
OG_130	OGON01000039	67704	72488	-
OG_62	OGON01000039	72490	84630	-
OG_125	OGON01000039	84632	86605	-
OG_445	OGON01000039	86605	88623	-
OG_408	OGON01000039	88625	92737	-
OG_583	OGON01000039	92734	93645	-
OG_351	OGON01000039	93664	94125	-
OG_456	OGON01000039	94122	94766	-
OG_304	OGON01000039	94904	95467	-
OG_268	OGON01000039	95513	96406	-
