GeneID	Chr	Start	End	Strand
OG_3078	OJQQ01000027	65	376	+
OG_3078	OJQQ01000027	360	671	+
OG_1565	OJQQ01000027	662	892	+
OG_1914	OJQQ01000027	922	1227	+
OG_1498	OJQQ01000027	1224	1511	+
OG_1915	OJQQ01000027	1484	1837	+
OG_1916	OJQQ01000027	1950	2348	+
OG_1495	OJQQ01000027	2350	2574	+
OG_96	OJQQ01000027	2576	3076	+
OG_1917	OJQQ01000027	3057	3299	+
OG_4725	OJQQ01000027	3477	4028	+
OG_42	OJQQ01000027	4046	4450	+
OG_1918	OJQQ01000027	4452	4739	+
OG_1919	OJQQ01000027	4753	5139	+
OG_1920	OJQQ01000027	5519	5632	+
OG_1953	OJQQ01000027	5629	5763	+
OG_1922	OJQQ01000027	5760	6464	+
OG_1554	OJQQ01000027	6494	6730	+
OG_2043	OJQQ01000027	6754	7812	+
OG_1895	OJQQ01000027	8264	8536	+
OG_2261	OJQQ01000027	8786	8989	+
OG_2264	OJQQ01000027	9009	9191	+
OG_2263	OJQQ01000027	9203	9514	+
OG_831	OJQQ01000027	9574	9852	+
OG_6	OJQQ01000027	9845	10135	+
OG_94	OJQQ01000027	10128	10346	+
UG_364	OJQQ01000027	10764	11072	+
OG_4396	OJQQ01000027	11218	11499	+
OG_2275	OJQQ01000027	11591	11803	+
OG_2277	OJQQ01000027	11771	12049	-
OG_1897	OJQQ01000027	12208	13137	+
OG_1898	OJQQ01000027	13134	13337	+
OG_94	OJQQ01000027	13425	13688	+
OG_101	OJQQ01000027	13702	13983	+
OG_251	OJQQ01000027	13995	14435	+
OG_1789	OJQQ01000027	14471	15583	-
OG_1896	OJQQ01000027	15712	16128	+
OG_329	OJQQ01000027	16337	17110	+
OG_1924	OJQQ01000027	17114	17350	+
OG_1925	OJQQ01000027	17510	17791	+
OG_1892	OJQQ01000027	17775	18455	+
OG_2818	OJQQ01000027	18460	18924	+
OG_1926	OJQQ01000027	18905	19237	+
OG_1488	OJQQ01000027	19246	19734	+
OG_1893	OJQQ01000027	19704	21137	+
OG_1487	OJQQ01000027	21137	22093	+
OG_1802	OJQQ01000027	22077	22364	+
OG_1927	OJQQ01000027	22361	22918	+
OG_1928	OJQQ01000027	22977	23282	+
OG_1481	OJQQ01000027	23266	23535	+
OG_448	OJQQ01000027	23532	24674	+
OG_122	OJQQ01000027	24676	25317	+
OG_1929	OJQQ01000027	25277	25618	+
OG_1486	OJQQ01000027	25651	26328	+
OG_1542	OJQQ01000027	26334	26600	+
OG_1930	OJQQ01000027	26600	26701	+
OG_1931	OJQQ01000027	26652	27089	+
OG_1485	OJQQ01000027	27086	28111	+
OG_1933	OJQQ01000027	28178	28762	+
OG_1934	OJQQ01000027	28749	28925	+
OG_99	OJQQ01000027	28922	30382	+
OG_1501	OJQQ01000027	30379	31245	+
OG_3107	OJQQ01000027	31247	31594	+
OG_1935	OJQQ01000027	31597	31818	+
OG_447	OJQQ01000027	31867	33285	+
OG_1520	OJQQ01000027	33261	33590	+
OG_1936	OJQQ01000027	33593	33868	+
OG_1515	OJQQ01000027	33873	35060	+
OG_1940	OJQQ01000027	35057	35569	+
OG_1941	OJQQ01000027	35566	35985	+
OG_4781	OJQQ01000027	35939	36145	+
OG_2281	OJQQ01000027	36260	36763	+
OG_4779	OJQQ01000027	36905	37300	+
OG_1790	OJQQ01000027	37308	37430	+
OG_1946	OJQQ01000027	37589	38101	+
OG_2266	OJQQ01000027	38098	38253	+
OG_93	OJQQ01000027	38205	38699	+
OG_3106	OJQQ01000027	38712	39089	+
OG_1777	OJQQ01000027	39093	39371	+
OG_200	OJQQ01000027	39368	39775	+
OG_1161	OJQQ01000027	39777	40130	+
OG_3077	OJQQ01000027	40127	40243	+
OG_123	OJQQ01000027	40272	40820	-
OG_2285	OJQQ01000027	40847	40978	+
OG_130	OJQQ01000027	41012	47455	-
OG_4397	OJQQ01000027	47545	47847	-
OG_92	OJQQ01000027	47844	48122	-
OG_3038	OJQQ01000027	48127	48480	-
UG_365	OJQQ01000027	48567	49160	-
OG_70	OJQQ01000027	49168	50607	-
OG_426	OJQQ01000027	50705	51364	-
OG_169	OJQQ01000027	51460	52503	-
OG_70	OJQQ01000027	52515	54539	-
OG_1484	OJQQ01000027	54617	54946	-
OG_319	OJQQ01000027	55182	55475	-
OG_91	OJQQ01000027	55569	55937	-
OG_304	OJQQ01000027	55939	56436	-
OG_352	OJQQ01000027	56491	56907	-
OG_317	OJQQ01000027	57060	57722	+
OG_268	OJQQ01000027	57726	58757	-
OG_130	OJQQ01000027	59004	61241	-
OG_1789	OJQQ01000027	61282	62472	-
OG_123	OJQQ01000027	62655	63545	-
OG_1947	OJQQ01000027	63739	64323	-
OG_3108	OJQQ01000027	64372	64770	-
OG_1790	OJQQ01000027	64829	65968	+
OG_62	OJQQ01000027	66034	70914	-
OG_131	OJQQ01000027	70895	73786	-
OG_90	OJQQ01000027	73790	76396	-
OG_334	OJQQ01000027	76511	77467	-
OG_471	OJQQ01000027	77532	81338	-
OG_2258	OJQQ01000027	81430	81594	-
OG_70	OJQQ01000027	81606	82577	-
OG_408	OJQQ01000027	82635	89198	-
OG_1948	OJQQ01000027	89526	90026	-
OG_227	OJQQ01000027	90169	90888	-
OG_581	OJQQ01000027	90903	91787	-
OG_1231	OJQQ01000027	91886	92353	-
OG_100	OJQQ01000027	92492	92800	+
OG_4770	OJQQ01000027	92857	93129	-
OG_89	OJQQ01000027	93132	93827	-
OG_1954	OJQQ01000027	93867	93968	-
OG_100	OJQQ01000027	94445	98956	-
OG_88	OJQQ01000027	98958	99767	-
OG_87	OJQQ01000027	99769	100083	-
OG_1514	OJQQ01000027	100076	100495	-
OG_1949	OJQQ01000027	100497	100730	-
OG_1950	OJQQ01000027	100730	101131	-
OG_459	OJQQ01000027	101263	102006	-
OG_86	OJQQ01000027	102213	103058	-
OG_123	OJQQ01000027	103165	104127	-
OG_1951	OJQQ01000027	104399	104659	-
OG_1513	OJQQ01000027	104656	104898	-
OG_1512	OJQQ01000027	104870	105220	-
OG_907	OJQQ01000027	105238	106116	-
OG_3037	OJQQ01000027	106168	106692	-
OG_2259	OJQQ01000027	106692	107384	-
OG_1789	OJQQ01000027	107463	108683	+
OG_2260	OJQQ01000027	108722	108988	-
OG_3036	OJQQ01000027	109855	110529	-
OG_1952	OJQQ01000027	110526	111029	-
OG_1511	OJQQ01000027	111004	111552	-
OG_65	OJQQ01000027	111611	112060	-
OG_4777	OJQQ01000027	112062	113450	-
OG_4775	OJQQ01000027	113447	115009	-
OG_104	OJQQ01000027	115014	117407	-
OG_1789	OJQQ01000027	117477	118706	-
UG_366	OJQQ01000027	118690	119295	-
OG_1510	OJQQ01000027	119376	121922	-
OG_1212	OJQQ01000027	122021	123994	-
OG_129	OJQQ01000027	124117	125064	-
OG_85	OJQQ01000027	125192	125866	-
OG_84	OJQQ01000027	125869	126933	-
OG_1040	OJQQ01000027	127013	128716	-
OG_106	OJQQ01000027	128735	129892	-
OG_47	OJQQ01000027	130026	132788	-
OG_64	OJQQ01000027	132838	135627	-
OG_1902	OJQQ01000027	135624	135944	-
OG_473	OJQQ01000027	135994	137214	-
OG_1903	OJQQ01000027	137489	138028	-
OG_1509	OJQQ01000027	138021	138269	-
OG_1214	OJQQ01000027	138274	138972	-
OG_1508	OJQQ01000027	138974	139414	-
OG_83	OJQQ01000027	139407	139820	-
OG_2259	OJQQ01000027	140821	141906	+
OG_434	OJQQ01000027	142009	143418	+
OG_110	OJQQ01000027	143418	144404	+
OG_1904	OJQQ01000027	144407	144766	+
OG_1905	OJQQ01000027	144769	145035	+
OG_1505	OJQQ01000027	145032	145616	+
OG_1504	OJQQ01000027	145692	146792	+
OG_1503	OJQQ01000027	146811	147638	+
OG_1906	OJQQ01000027	147665	147922	+
OG_1907	OJQQ01000027	147922	148470	+
OG_478	OJQQ01000027	148442	149062	+
OG_82	OJQQ01000027	149055	149369	+
OG_1901	OJQQ01000027	149366	149965	+
OG_1909	OJQQ01000027	150436	150723	+
OG_1502	OJQQ01000027	150701	151450	+
OG_211	OJQQ01000027	151447	151977	+
OG_642	OJQQ01000027	151986	152174	+
OG_1910	OJQQ01000027	152180	152458	+
OG_105	OJQQ01000027	152470	153099	+
OG_1911	OJQQ01000027	153125	153403	-
OG_4770	OJQQ01000027	153400	153654	-
OG_457	OJQQ01000027	153914	154663	+
OG_1912	OJQQ01000027	154803	155375	-
OG_3084	OJQQ01000027	155478	155735	+
OG_1500	OJQQ01000027	155940	156479	+
OG_1913	OJQQ01000027	157136	157342	+
OG_2270	OJQQ01000027	157449	157622	+
UG_367	OJQQ01000027	158172	158606	+
OG_4167	OJQQ01000027	158646	158909	+
