GeneID	Chr	Start	End	Strand
OG_124	OMAC01000093	483	1574	+
OG_268	OMAC01000093	1724	2524	+
OG_304	OMAC01000093	2586	3089	+
OG_319	OMAC01000093	3052	3507	+
OG_176	OMAC01000093	3530	3841	+
OG_318	OMAC01000093	3838	4647	+
OG_291	OMAC01000093	4650	5900	+
OG_2920	OMAC01000093	5903	6325	+
OG_396	OMAC01000093	6325	6843	+
OG_2921	OMAC01000093	6853	7140	+
OG_64	OMAC01000093	7143	9200	+
OG_47	OMAC01000093	9203	11701	+
OG_317	OMAC01000093	11707	12372	+
OG_229	OMAC01000093	12359	13660	+
OG_106	OMAC01000093	13719	14897	+
OG_1038	OMAC01000093	14929	16440	+
OG_446	OMAC01000093	16520	17272	+
OG_462	OMAC01000093	17288	18007	+
OG_439	OMAC01000093	18004	18744	+
OG_439	OMAC01000093	18741	19436	+
OG_1149	OMAC01000093	19519	20613	+
OG_773	OMAC01000093	20689	23034	+
OG_1156	OMAC01000093	23037	23465	+
OG_679	OMAC01000093	23462	24004	+
OG_191	OMAC01000093	23958	24614	+
OG_456	OMAC01000093	24619	25329	+
OG_351	OMAC01000093	25304	25753	+
OG_583	OMAC01000093	25734	26642	+
OG_408	OMAC01000093	26632	31446	+
OG_190	OMAC01000093	31449	33584	+
OG_125	OMAC01000093	33587	35584	+
OG_62	OMAC01000093	35586	52811	+
OG_130	OMAC01000093	52824	58514	+
OG_2922	OMAC01000093	58564	58776	-
OG_2923	OMAC01000093	58862	59095	-
OG_275	OMAC01000093	59108	60118	-
OG_2924	OMAC01000093	60130	60270	-
OG_74	OMAC01000093	60260	60652	-
OG_783	OMAC01000093	60639	60878	-
OG_323	OMAC01000093	60871	61848	-
OG_416	OMAC01000093	62414	63010	-
OG_306	OMAC01000093	63037	63786	-
OG_770	OMAC01000093	63808	64272	-
OG_448	OMAC01000093	64302	65234	-
OG_338	OMAC01000093	65215	65781	-
OG_717	OMAC01000093	65810	67696	-
OG_782	OMAC01000093	67824	68558	-
OG_2925	OMAC01000093	68560	69402	-
OG_175	OMAC01000093	69522	70067	-
OG_214	OMAC01000093	70375	70950	-
OG_438	OMAC01000093	70953	71558	-
UG_536	OMAC01000093	73355	73564	-
OG_781	OMAC01000093	73642	74220	-
OG_362	OMAC01000093	74316	75701	-
OG_193	OMAC01000093	75762	76196	-
OG_841	OMAC01000093	76198	76794	-
OG_758	OMAC01000093	76811	77341	-
OG_756	OMAC01000093	77325	77921	-
OG_753	OMAC01000093	78666	79121	-
OG_2926	OMAC01000093	79294	79779	-
OG_349	OMAC01000093	79772	80263	-
OG_1197	OMAC01000093	80479	80670	-
OG_2927	OMAC01000093	80654	80899	-
OG_768	OMAC01000093	80886	81314	-
OG_774	OMAC01000093	81373	81594	-
OG_2928	OMAC01000093	81542	81943	-
OG_2929	OMAC01000093	81930	82091	-
OG_764	OMAC01000093	82045	82575	-
OG_2930	OMAC01000093	82587	82835	-
OG_1157	OMAC01000093	83305	83550	-
OG_51	OMAC01000093	83547	83789	-
OG_51	OMAC01000093	83802	84050	-
OG_2931	OMAC01000093	84022	84186	-
OG_2932	OMAC01000093	84201	84416	-
OG_2933	OMAC01000093	84472	84837	-
OG_2934	OMAC01000093	85278	85529	-
OG_1881	OMAC01000093	85609	86220	-
OG_2935	OMAC01000093	86398	86601	-
OG_216	OMAC01000093	86594	86761	-
OG_312	OMAC01000093	86758	87651	-
OG_305	OMAC01000093	87638	88201	-
OG_299	OMAC01000093	88215	88673	-
OG_427	OMAC01000093	88640	89083	-
OG_222	OMAC01000093	89055	89399	-
OG_2016	OMAC01000093	89401	89514	-
OG_763	OMAC01000093	89483	89950	-
OG_752	OMAC01000093	90137	90538	+
OG_751	OMAC01000093	90535	90936	+
OG_750	OMAC01000093	90929	91135	+
OG_233	OMAC01000093	91132	91509	+
OG_255	OMAC01000093	91528	91815	+
OG_77	OMAC01000093	92589	93488	+
OG_1028	OMAC01000093	93703	94326	+
OG_211	OMAC01000093	94328	94858	+
OG_70	OMAC01000093	94944	95513	+
OG_70	OMAC01000093	95525	97129	+
