GeneID	Chr	Start	End	Strand
OG_64	OLQU01000060	3	1589	+
OG_47	OLQU01000060	1592	4099	+
OG_813	OLQU01000060	4102	4566	+
OG_885	OLQU01000060	4653	4898	+
OG_288	OLQU01000060	4900	6858	+
OG_288	OLQU01000060	6863	7138	+
OG_899	OLQU01000060	7135	7542	+
OG_106	OLQU01000060	7561	8727	+
OG_1038	OLQU01000060	8763	10235	+
OG_446	OLQU01000060	10312	11064	+
OG_462	OLQU01000060	11064	11774	+
OG_439	OLQU01000060	11777	12445	+
OG_1149	OLQU01000060	12543	13517	+
OG_812	OLQU01000060	13618	14316	+
OG_300	OLQU01000060	14328	17627	+
OG_318	OLQU01000060	17638	18042	+
OG_291	OLQU01000060	18026	21616	+
OG_100	OLQU01000060	21609	23852	+
OG_173	OLQU01000060	23852	24043	+
OG_65	OLQU01000060	24018	24464	+
OG_70	OLQU01000060	24468	25352	+
OG_291	OLQU01000060	25358	25978	+
OG_227	OLQU01000060	25978	27060	+
OG_70	OLQU01000060	27159	29714	+
OG_124	OLQU01000060	29976	30998	+
OG_679	OLQU01000060	31113	31622	+
OG_191	OLQU01000060	31594	32232	+
OG_319	OLQU01000060	32269	32904	+
OG_268	OLQU01000060	32934	33848	+
OG_352	OLQU01000060	33836	34306	+
OG_304	OLQU01000060	34350	34913	+
OG_456	OLQU01000060	35053	35697	+
OG_351	OLQU01000060	35705	36154	+
OG_583	OLQU01000060	36151	37092	+
OG_408	OLQU01000060	37089	41261	+
OG_445	OLQU01000060	41263	43056	+
OG_125	OLQU01000060	43046	45019	+
OG_62	OLQU01000060	45022	59418	+
OG_62	OLQU01000060	59430	63584	+
OG_1030	OLQU01000060	63668	64168	-
OG_275	OLQU01000060	64146	65126	-
OG_908	OLQU01000060	65116	65778	-
OG_74	OLQU01000060	65827	66210	-
OG_2744	OLQU01000060	66182	66484	-
OG_323	OLQU01000060	66468	67436	-
OG_416	OLQU01000060	67746	68375	-
OG_306	OLQU01000060	68392	69132	-
OG_770	OLQU01000060	69205	69720	-
OG_448	OLQU01000060	69735	70715	-
OG_338	OLQU01000060	70696	71265	-
OG_717	OLQU01000060	71323	73302	-
OG_1724	OLQU01000060	73434	74225	-
OG_175	OLQU01000060	74464	74991	-
OG_234	OLQU01000060	75213	76412	-
OG_845	OLQU01000060	78535	78933	-
OG_184	OLQU01000060	78950	79351	-
OG_362	OLQU01000060	79423	80937	-
OG_846	OLQU01000060	81012	81383	-
OG_841	OLQU01000060	81399	81959	-
OG_758	OLQU01000060	82109	82501	-
OG_840	OLQU01000060	82452	82949	-
OG_835	OLQU01000060	82946	83131	-
OG_754	OLQU01000060	83122	83400	-
OG_753	OLQU01000060	84164	84631	-
OG_847	OLQU01000060	84724	85023	-
OG_203	OLQU01000060	85242	85388	-
OG_283	OLQU01000060	85461	85946	-
OG_848	OLQU01000060	85964	86227	-
OG_1810	OLQU01000060	86209	86451	-
OG_1808	OLQU01000060	86600	86836	-
OG_349	OLQU01000060	86861	87325	-
OG_250	OLQU01000060	87351	87719	-
OG_171	OLQU01000060	87739	88044	-
OG_1813	OLQU01000060	88097	88282	-
OG_3088	OLQU01000060	88781	88900	-
OG_204	OLQU01000060	90363	91079	-
OG_3056	OLQU01000060	91386	91616	-
OG_3140	OLQU01000060	91671	91838	-
OG_886	OLQU01000060	92400	92618	+
OG_312	OLQU01000060	92620	93516	+
OG_865	OLQU01000060	93676	93840	+
OG_1807	OLQU01000060	93864	94124	+
OG_447	OLQU01000060	94102	94416	+
OG_866	OLQU01000060	94403	94612	+
OG_751	OLQU01000060	94644	95003	+
OG_752	OLQU01000060	95149	95526	+
OG_822	OLQU01000060	95519	95896	+
OG_818	OLQU01000060	95886	96263	+
OG_750	OLQU01000060	96235	96429	+
OG_427	OLQU01000060	96410	96847	+
OG_276	OLQU01000060	96837	97217	+
OG_210	OLQU01000060	97278	97643	+
OG_849	OLQU01000060	97645	97959	+
OG_396	OLQU01000060	97946	98476	+
OG_215	OLQU01000060	98534	98671	+
OG_64	OLQU01000060	99122	99667	+
