GeneID	Chr	Start	End	Strand
OG_413	OBLG01000146	206	775	+
OG_547	OBLG01000146	915	1448	+
OG_407	OBLG01000146	1461	2075	+
OG_365	OBLG01000146	2082	2375	+
OG_429	OBLG01000146	2400	3392	+
OG_3131	OBLG01000146	3400	3723	+
OG_409	OBLG01000146	3726	4151	+
OG_424	OBLG01000146	4138	4425	+
OG_412	OBLG01000146	4406	4765	+
OG_64	OBLG01000146	4772	7027	+
OG_47	OBLG01000146	7044	9473	+
OG_3430	OBLG01000146	9606	9773	+
OG_431	OBLG01000146	9790	11094	+
OG_1039	OBLG01000146	11119	12597	+
OG_410	OBLG01000146	12622	13806	+
OG_439	OBLG01000146	13808	14512	+
OG_1151	OBLG01000146	14549	15424	+
OG_2390	OBLG01000146	15489	16049	+
OG_265	OBLG01000146	16039	16254	+
OG_120	OBLG01000146	16251	16700	+
OG_291	OBLG01000146	16702	17289	+
OG_291	OBLG01000146	17321	18415	+
OG_291	OBLG01000146	18434	19978	+
OG_3010	OBLG01000146	20065	21171	+
OG_156	OBLG01000146	21283	21603	+
OG_70	OBLG01000146	21619	21816	+
OG_1019	OBLG01000146	21907	22005	+
OG_225	OBLG01000146	22371	22553	+
OG_37	OBLG01000146	22771	23547	+
OG_425	OBLG01000146	23623	24126	+
OG_278	OBLG01000146	24133	24504	+
OG_319	OBLG01000146	24511	25020	+
OG_464	OBLG01000146	25194	25874	+
OG_361	OBLG01000146	25888	26799	+
OG_584	OBLG01000146	26792	27634	+
OG_415	OBLG01000146	27782	32449	+
OG_440	OBLG01000146	32446	33081	+
OG_436	OBLG01000146	33199	35403	+
OG_1794	OBLG01000146	35417	38161	+
OG_314	OBLG01000146	38165	44701	+
OG_62	OBLG01000146	44797	58416	+
OG_3317	OBLG01000146	58858	59007	+
OG_260	OBLG01000146	59457	59924	-
OG_1218	OBLG01000146	60115	60420	-
OG_211	OBLG01000146	60445	60993	-
OG_353	OBLG01000146	61018	62058	-
OG_363	OBLG01000146	62058	62786	-
OG_228	OBLG01000146	62788	63552	-
OG_329	OBLG01000146	63559	64311	-
OG_329	OBLG01000146	64324	65118	-
OG_577	OBLG01000146	65060	65383	-
OG_312	OBLG01000146	65387	66247	-
OG_4	OBLG01000146	66254	66640	-
OG_248	OBLG01000146	66622	67362	-
OG_3012	OBLG01000146	67375	67626	-
OG_537	OBLG01000146	67869	68222	-
OG_245	OBLG01000146	68226	69452	-
OG_344	OBLG01000146	69460	70071	-
OG_863	OBLG01000146	70046	70276	-
OG_680	OBLG01000146	70254	70706	-
OG_323	OBLG01000146	70669	71862	-
OG_317	OBLG01000146	71876	72268	-
OG_317	OBLG01000146	72272	72568	-
OG_2687	OBLG01000146	72680	73594	-
OG_1980	OBLG01000146	73706	74530	-
OG_3862	OBLG01000146	74669	75628	-
OG_218	OBLG01000146	75688	77103	-
OG_717	OBLG01000146	77093	79552	-
OG_716	OBLG01000146	79542	80102	-
OG_434	OBLG01000146	80092	81552	-
OG_542	OBLG01000146	81545	82036	-
OG_714	OBLG01000146	82055	82447	-
OG_1160	OBLG01000146	82502	82720	-
OG_261	OBLG01000146	83142	83624	-
OG_732	OBLG01000146	83760	83900	-
OG_707	OBLG01000146	83983	84561	-
OG_706	OBLG01000146	84819	85403	-
OG_3314	OBLG01000146	86285	86479	-
OG_704	OBLG01000146	86923	87420	-
OG_3428	OBLG01000146	87616	87981	-
OG_618	OBLG01000146	88477	89136	-
OG_3315	OBLG01000146	89237	89428	-
OG_618	OBLG01000146	89465	90130	-
OG_3348	OBLG01000146	90316	90531	-
OG_1965	OBLG01000146	90639	91076	+
