GeneID	Chr	Start	End	Strand
OG_171	OBYQ01000140	14	319	-
OG_3757	OBYQ01000140	441	611	-
OG_3531	OBYQ01000140	841	984	+
OG_587	OBYQ01000140	1380	1826	-
OG_3799	OBYQ01000140	1847	2077	-
OG_3529	OBYQ01000140	2756	2980	-
UG_172	OBYQ01000140	3337	3558	-
OG_204	OBYQ01000140	3760	4476	-
OG_3056	OBYQ01000140	4785	5015	-
OG_3140	OBYQ01000140	5070	5237	-
OG_3057	OBYQ01000140	5317	5460	-
OG_887	OBYQ01000140	5794	6195	+
OG_312	OBYQ01000140	6238	7116	+
OG_865	OBYQ01000140	7276	7467	+
OG_447	OBYQ01000140	7464	7778	+
OG_866	OBYQ01000140	7765	7974	+
OG_751	OBYQ01000140	8006	8365	+
OG_752	OBYQ01000140	8511	8888	+
OG_822	OBYQ01000140	8881	9258	+
OG_818	OBYQ01000140	9248	9631	+
OG_750	OBYQ01000140	9603	9797	+
OG_427	OBYQ01000140	9778	10215	+
OG_276	OBYQ01000140	10205	10585	+
OG_210	OBYQ01000140	10646	11011	+
OG_849	OBYQ01000140	11013	11327	+
OG_396	OBYQ01000140	11314	11844	+
OG_215	OBYQ01000140	11902	12039	+
OG_4611	OBYQ01000140	12673	12858	+
OG_64	OBYQ01000140	12860	17131	+
OG_47	OBYQ01000140	17152	19641	+
OG_813	OBYQ01000140	19644	20108	+
OG_288	OBYQ01000140	20194	21342	+
OG_899	OBYQ01000140	21339	21746	+
OG_106	OBYQ01000140	21765	22925	+
OG_1038	OBYQ01000140	22961	24430	+
OG_446	OBYQ01000140	24502	25254	+
OG_462	OBYQ01000140	25254	25964	+
OG_439	OBYQ01000140	25967	26635	+
OG_1149	OBYQ01000140	26733	27707	+
OG_812	OBYQ01000140	27808	28506	+
OG_300	OBYQ01000140	28518	31757	+
OG_318	OBYQ01000140	31763	32167	+
OG_291	OBYQ01000140	32151	36143	+
OG_100	OBYQ01000140	36136	38028	+
OG_173	OBYQ01000140	38025	38216	+
OG_65	OBYQ01000140	38194	38637	+
OG_70	OBYQ01000140	38641	39513	+
OG_322	OBYQ01000140	39518	40423	+
OG_231	OBYQ01000140	40425	40673	+
OG_70	OBYQ01000140	40693	43248	+
OG_679	OBYQ01000140	43486	43995	+
OG_191	OBYQ01000140	43967	44605	+
OG_319	OBYQ01000140	44642	45277	+
OG_268	OBYQ01000140	45307	46227	+
OG_352	OBYQ01000140	46245	46685	+
OG_304	OBYQ01000140	46729	47292	+
OG_456	OBYQ01000140	47432	48076	+
OG_351	OBYQ01000140	48084	48533	+
OG_583	OBYQ01000140	48545	49471	+
OG_408	OBYQ01000140	49468	53640	+
OG_445	OBYQ01000140	53642	55483	+
OG_125	OBYQ01000140	55473	57446	+
OG_62	OBYQ01000140	57449	71935	+
OG_62	OBYQ01000140	71947	76998	+
OG_1030	OBYQ01000140	77082	77582	-
OG_275	OBYQ01000140	77560	78540	-
OG_908	OBYQ01000140	78530	79192	-
OG_74	OBYQ01000140	79241	79624	-
OG_2744	OBYQ01000140	79596	79898	-
OG_323	OBYQ01000140	79882	80850	-
OG_416	OBYQ01000140	81074	81703	-
OG_306	OBYQ01000140	81720	82460	-
OG_770	OBYQ01000140	82533	83048	-
OG_448	OBYQ01000140	83063	84043	-
OG_338	OBYQ01000140	84024	84593	-
OG_717	OBYQ01000140	84651	86630	-
OG_1728	OBYQ01000140	86756	86983	-
OG_1724	OBYQ01000140	87009	87800	-
OG_175	OBYQ01000140	87862	88389	-
OG_77	OBYQ01000140	88487	88912	-
OG_234	OBYQ01000140	89099	90298	-
OG_3724	OBYQ01000140	91242	91382	+
OG_4164	OBYQ01000140	92051	92176	-
OG_845	OBYQ01000140	92389	92787	-
OG_184	OBYQ01000140	92804	93193	-
OG_362	OBYQ01000140	93267	94790	-
OG_846	OBYQ01000140	94867	95241	-
OG_841	OBYQ01000140	95257	95817	-
OG_758	OBYQ01000140	95866	96258	-
OG_840	OBYQ01000140	96209	96706	-
OG_835	OBYQ01000140	96703	96888	-
OG_754	OBYQ01000140	96879	97148	-
OG_753	OBYQ01000140	97953	98420	-
OG_888	OBYQ01000140	98458	98679	-
OG_854	OBYQ01000140	99062	99160	-
OG_283	OBYQ01000140	99144	99629	-
OG_848	OBYQ01000140	99648	99911	-
OG_1810	OBYQ01000140	99893	100135	-
OG_349	OBYQ01000140	100513	100977	-
OG_250	OBYQ01000140	101003	101431	-
