GeneID	Chr	Start	End	Strand
UG_687	Sib1_ms_11	3	116	+
OG_3227	Sib1_ms_11	433	1032	+
OG_3228	Sib1_ms_11	1139	1519	+
OG_3229	Sib1_ms_11	1530	1691	-
UG_688	Sib1_ms_11	3414	3539	-
OG_3208	Sib1_ms_11	3549	3638	-
OG_3325	Sib1_ms_11	3639	3740	-
OG_3209	Sib1_ms_11	3808	4293	+
OG_3210	Sib1_ms_11	4310	4657	+
OG_148	Sib1_ms_11	4690	4986	+
OG_3211	Sib1_ms_11	4990	5328	+
OG_3212	Sib1_ms_11	5350	5730	+
OG_3230	Sib1_ms_11	5734	6075	+
OG_3231	Sib1_ms_11	6202	6378	+
OG_3213	Sib1_ms_11	6743	7030	+
OG_3214	Sib1_ms_11	7232	7390	+
OG_559	Sib1_ms_11	7344	7706	+
OG_560	Sib1_ms_11	7710	8303	+
OG_601	Sib1_ms_11	8306	8749	+
OG_1054	Sib1_ms_11	8721	9080	+
OG_434	Sib1_ms_11	9084	10586	+
OG_3215	Sib1_ms_11	10602	10754	+
OG_599	Sib1_ms_11	10758	11159	+
OG_1055	Sib1_ms_11	11340	11852	+
OG_3216	Sib1_ms_11	12020	12274	+
OG_717	Sib1_ms_11	12271	13458	+
OG_717	Sib1_ms_11	14081	15205	+
OG_3217	Sib1_ms_11	15211	15372	+
OG_218	Sib1_ms_11	15362	16849	+
OG_3862	Sib1_ms_11	16900	17922	+
OG_1981	Sib1_ms_11	17974	18687	+
OG_2687	Sib1_ms_11	18785	19609	+
OG_323	Sib1_ms_11	19745	20764	+
OG_240	Sib1_ms_11	20761	21246	+
OG_245	Sib1_ms_11	21253	22602	+
OG_3218	Sib1_ms_11	22624	23016	+
OG_312	Sib1_ms_11	23212	24216	+
OG_568	Sib1_ms_11	24194	24451	+
OG_1057	Sib1_ms_11	24458	24691	+
OG_248	Sib1_ms_11	24675	25370	+
OG_3219	Sib1_ms_11	25360	25677	+
OG_228	Sib1_ms_11	25681	26409	+
OG_353	Sib1_ms_11	26419	27543	+
OG_1059	Sib1_ms_11	27547	27846	+
OG_211	Sib1_ms_11	27872	28588	+
OG_3220	Sib1_ms_11	28935	29267	+
OG_62	Sib1_ms_11	29489	41890	-
OG_314	Sib1_ms_11	41894	49423	-
OG_239	Sib1_ms_11	49413	52415	-
OG_229	Sib1_ms_11	52487	54217	-
OG_415	Sib1_ms_11	54230	57664	-
OG_584	Sib1_ms_11	57655	58398	-
OG_277	Sib1_ms_11	58391	59254	-
OG_464	Sib1_ms_11	59391	60083	-
OG_238	Sib1_ms_11	60102	60698	-
OG_2140	Sib1_ms_11	60685	61035	-
OG_477	Sib1_ms_11	61121	61660	-
OG_449	Sib1_ms_11	61663	62178	-
OG_3221	Sib1_ms_11	62191	62907	-
OG_426	Sib1_ms_11	62917	63552	-
OG_3222	Sib1_ms_11	63563	63775	-
OG_100	Sib1_ms_11	63788	66157	-
OG_3232	Sib1_ms_11	66170	66610	-
OG_1150	Sib1_ms_11	66730	67698	-
OG_439	Sib1_ms_11	67702	68790	-
OG_410	Sib1_ms_11	68796	69812	-
OG_1039	Sib1_ms_11	69896	71371	-
OG_431	Sib1_ms_11	71428	72747	-
OG_47	Sib1_ms_11	72866	75184	-
OG_64	Sib1_ms_11	75181	77523	-
OG_407	Sib1_ms_11	77465	78115	-
OG_3223	Sib1_ms_11	78112	78273	-
OG_3224	Sib1_ms_11	78267	78557	-
OG_2045	Sib1_ms_11	78554	78844	-
OG_3225	Sib1_ms_11	78859	79020	-
OG_242	Sib1_ms_11	79011	79382	-
OG_549	Sib1_ms_11	79333	79659	-
OG_4767	Sib1_ms_11	79656	80276	-
OG_429	Sib1_ms_11	80279	81265	-
OG_3226	Sib1_ms_11	81258	81659	-
OG_292	Sib1_ms_11	81660	82079	-
