GeneID	Chr	Start	End	Strand
UG_523	OLXR01000011	3	164	+
OG_70	OLXR01000011	171	2492	+
OG_70	OLXR01000011	2542	4146	+
OG_70	OLXR01000011	4209	6650	+
OG_70	OLXR01000011	6671	8962	+
OG_945	OLXR01000011	9071	9379	+
OG_37	OLXR01000011	9642	10352	+
OG_425	OLXR01000011	10371	10835	+
OG_278	OLXR01000011	10820	11197	+
OG_39	OLXR01000011	11270	13084	+
OG_106	OLXR01000011	13179	14240	+
OG_1041	OLXR01000011	14262	15677	+
OG_446	OLXR01000011	15773	16636	+
OG_462	OLXR01000011	16651	17592	+
OG_21	OLXR01000011	17622	18875	+
OG_9	OLXR01000011	18949	19617	+
OG_582	OLXR01000011	19617	20306	+
OG_943	OLXR01000011	20307	20750	+
OG_944	OLXR01000011	20750	21298	+
OG_432	OLXR01000011	21301	24948	+
OG_408	OLXR01000011	24952	29568	+
OG_8	OLXR01000011	29561	30718	+
OG_60	OLXR01000011	30720	32135	+
OG_7	OLXR01000011	32135	32746	+
OG_942	OLXR01000011	32868	33194	+
OG_63	OLXR01000011	33274	37617	+
OG_941	OLXR01000011	37617	39455	+
OG_421	OLXR01000011	39459	47018	+
OG_24	OLXR01000011	47025	54839	+
OG_2946	OLXR01000011	54841	56652	+
OG_335	OLXR01000011	56652	61652	+
OG_940	OLXR01000011	61700	61864	-
OG_248	OLXR01000011	61849	62571	-
OG_939	OLXR01000011	62561	63613	-
OG_41	OLXR01000011	63615	64610	-
OG_253	OLXR01000011	64783	65610	-
OG_41	OLXR01000011	65672	65893	-
OG_4148	OLXR01000011	65880	67001	-
OG_312	OLXR01000011	67019	67921	-
OG_460	OLXR01000011	67908	68198	-
OG_2948	OLXR01000011	68152	68412	-
OG_417	OLXR01000011	68405	70396	-
OG_1277	OLXR01000011	70396	70590	-
OG_2950	OLXR01000011	70580	70918	-
OG_2954	OLXR01000011	70863	70976	-
OG_919	OLXR01000011	70970	71227	-
OG_1159	OLXR01000011	71229	72179	-
OG_935	OLXR01000011	72121	72636	-
OG_2955	OLXR01000011	72620	72958	-
OG_3	OLXR01000011	72961	74337	-
OG_1161	OLXR01000011	74303	74728	-
OG_2956	OLXR01000011	74719	74898	-
OG_1205	OLXR01000011	74858	75373	-
OG_333	OLXR01000011	75500	76240	-
OG_2957	OLXR01000011	76346	76762	-
OG_2958	OLXR01000011	76755	77327	-
OG_245	OLXR01000011	77320	78486	-
OG_434	OLXR01000011	78487	79935	-
OG_211	OLXR01000011	79935	80474	-
OG_2959	OLXR01000011	80438	80635	-
OG_2960	OLXR01000011	80629	80820	-
OG_2571	OLXR01000011	80813	81163	-
OG_40	OLXR01000011	81154	83397	-
OG_1268	OLXR01000011	83397	84155	-
OG_2961	OLXR01000011	84127	84624	-
OG_767	OLXR01000011	84689	85231	-
OG_275	OLXR01000011	85364	86401	-
UG_524	OLXR01000011	86376	86885	-
OG_447	OLXR01000011	86886	87650	-
OG_2949	OLXR01000011	87654	89054	-
OG_2962	OLXR01000011	89055	90152	-
OG_933	OLXR01000011	90145	90336	-
OG_1285	OLXR01000011	90323	91231	-
OG_3907	OLXR01000011	91237	91554	-
OG_3909	OLXR01000011	91535	91867	-
OG_3911	OLXR01000011	91869	92375	-
OG_932	OLXR01000011	92405	92800	-
OG_323	OLXR01000011	92754	93797	-
OG_57	OLXR01000011	93812	94501	-
OG_931	OLXR01000011	94517	95017	-
OG_306	OLXR01000011	95023	95472	-
OG_333	OLXR01000011	95848	96645	-
OG_448	OLXR01000011	96864	97958	-
OG_17	OLXR01000011	97958	98557	-
OG_218	OLXR01000011	98623	99843	-
OG_2944	OLXR01000011	99843	100781	-
OG_930	OLXR01000011	100807	101637	-
OG_929	OLXR01000011	101640	101957	-
OG_1278	OLXR01000011	101944	102699	-
OG_1279	OLXR01000011	102674	103249	-
OG_1321	OLXR01000011	103200	103397	-
OG_928	OLXR01000011	103397	103762	-
OG_927	OLXR01000011	103749	104060	-
OG_11	OLXR01000011	104126	104539	-
OG_1322	OLXR01000011	104523	104690	-
OG_632	OLXR01000011	104690	105055	-
OG_2949	OLXR01000011	105057	106433	-
OG_2951	OLXR01000011	106421	106615	-
OG_1286	OLXR01000011	106560	106817	-
OG_1003	OLXR01000011	106820	107308	-
UG_525	OLXR01000011	107311	107634	-
OG_978	OLXR01000011	107735	107917	-
OG_1281	OLXR01000011	107921	108397	-
OG_1370	OLXR01000011	108402	108668	-
OG_191	OLXR01000011	108669	109280	-
OG_42	OLXR01000011	109364	109867	-
OG_305	OLXR01000011	109984	110574	-
OG_2963	OLXR01000011	110593	111192	-
UG_526	OLXR01000011	111307	111807	-
OG_2964	OLXR01000011	111800	111982	-
UG_527	OLXR01000011	112209	112490	+
OG_2965	OLXR01000011	112476	112595	-
OG_43	OLXR01000011	112595	113062	-
OG_2966	OLXR01000011	113050	113304	-
OG_920	OLXR01000011	113308	113640	-
OG_3281	OLXR01000011	113640	113816	-
OG_454	OLXR01000011	113831	114094	-
OG_992	OLXR01000011	114099	114287	-
UG_528	OLXR01000011	114290	114553	-
OG_3406	OLXR01000011	114553	114927	-
OG_77	OLXR01000011	115008	115616	-
OG_2967	OLXR01000011	115691	115885	-
OG_923	OLXR01000011	115869	116927	-
OG_2968	OLXR01000011	116920	117120	-
OG_2582	OLXR01000011	117228	117578	-
OG_16	OLXR01000011	117571	118377	-
OG_2572	OLXR01000011	118368	119462	-
OG_2576	OLXR01000011	119462	120352	-
OG_2594	OLXR01000011	120354	121124	-
OG_3755	OLXR01000011	121124	122608	-
OG_44	OLXR01000011	122610	123191	-
OG_1332	OLXR01000011	123176	123478	-
OG_2969	OLXR01000011	123460	123609	-
OG_1273	OLXR01000011	123662	125353	-
UG_529	OLXR01000011	125411	125959	-
OG_3866	OLXR01000011	126027	127640	-
OG_1541	OLXR01000011	127648	128136	-
OG_3403	OLXR01000011	128524	128745	-
OG_1334	OLXR01000011	129399	129857	-
UG_530	OLXR01000011	130106	130585	-
OG_2701	OLXR01000011	131295	132080	-
OG_2482	OLXR01000011	132082	132642	-
OG_1675	OLXR01000011	133188	133574	-
OG_77	OLXR01000011	133775	134422	-
OG_2013	OLXR01000011	134942	135370	-
OG_2971	OLXR01000011	135536	135724	-
OG_1382	OLXR01000011	135703	135990	-
OG_76	OLXR01000011	136004	136363	-
OG_1349	OLXR01000011	136350	136607	-
OG_2470	OLXR01000011	136623	136829	-
OG_914	OLXR01000011	136807	137124	-
OG_3405	OLXR01000011	137850	138200	-
OG_45	OLXR01000011	138226	138444	-
OG_1372	OLXR01000011	138452	138655	-
OG_250	OLXR01000011	138636	138875	-
OG_3404	OLXR01000011	138881	139183	-
OG_921	OLXR01000011	139400	139666	-
OG_1275	OLXR01000011	139656	140030	-
UG_531	OLXR01000011	140328	140696	+
OG_1491	OLXR01000011	140596	141432	-
OG_2972	OLXR01000011	141435	142256	-
OG_2973	OLXR01000011	142273	143799	-
OG_2973	OLXR01000011	143786	144385	-
OG_2952	OLXR01000011	144522	145556	-
OG_2974	OLXR01000011	145559	146221	-
OG_2975	OLXR01000011	146225	146644	-
OG_2976	OLXR01000011	146646	146759	-
OG_960	OLXR01000011	147063	147251	-
OG_3402	OLXR01000011	147275	147451	-
OG_3407	OLXR01000011	147454	147597	-
UG_532	OLXR01000011	147569	147865	-
OG_1758	OLXR01000011	148538	149266	-
UG_533	OLXR01000011	149379	149651	-
UG_534	OLXR01000011	149611	149772	-
OG_2977	OLXR01000011	150394	150729	-
OG_1016	OLXR01000011	150835	151260	-
OG_2978	OLXR01000011	151418	151654	-
OG_2979	OLXR01000011	151657	151863	-
OG_2945	OLXR01000011	151894	152091	-
OG_160	OLXR01000011	152301	152798	+
OG_2980	OLXR01000011	152815	152982	-
OG_2981	OLXR01000011	153379	154008	-
OG_2982	OLXR01000011	154323	154889	-
OG_1010	OLXR01000011	155094	155999	+
OG_55	OLXR01000011	155999	156559	+
OG_65	OLXR01000011	156561	156992	+
OG_467	OLXR01000011	157124	159382	+
OG_954	OLXR01000011	159412	159660	+
OG_793	OLXR01000011	159662	159850	+
OG_3408	OLXR01000011	159856	160194	+
UG_535	OLXR01000011	160208	160297	+
OG_599	OLXR01000011	160604	160993	+
OG_54	OLXR01000011	160997	161566	+
OG_46	OLXR01000011	161857	162657	+
OG_2696	OLXR01000011	162913	163134	-
OG_229	OLXR01000011	163147	163443	-
OG_66	OLXR01000011	163559	164299	+
OG_429	OLXR01000011	164287	166215	+
OG_1215	OLXR01000011	166218	166487	+
OG_951	OLXR01000011	166493	166990	+
OG_949	OLXR01000011	166983	167216	+
OG_47	OLXR01000011	167216	167494	+
OG_48	OLXR01000011	167445	168092	+
OG_396	OLXR01000011	168094	168672	+
OG_64	OLXR01000011	168680	170881	+
OG_948	OLXR01000011	170874	171179	+
OG_47	OLXR01000011	171155	173359	+
OG_947	OLXR01000011	173359	174135	+
OG_946	OLXR01000011	174215	174310	+
OG_300	OLXR01000011	174297	177248	+
