GeneID	Chr	Start	End	Strand
OG_891	OLPO01000062	119	322	-
OG_4685	OLPO01000062	336	641	-
OG_3534	OLPO01000062	825	1409	+
OG_1071	OLPO01000062	2605	2934	+
OG_1072	OLPO01000062	3020	3163	+
OG_1073	OLPO01000062	3160	3402	+
OG_591	OLPO01000062	3577	3981	+
OG_349	OLPO01000062	4036	4551	+
OG_1074	OLPO01000062	4960	5400	+
OG_1075	OLPO01000062	5400	5522	+
OG_1076	OLPO01000062	5706	5927	+
OG_760	OLPO01000062	6111	6473	+
OG_753	OLPO01000062	6508	6906	+
OG_1081	OLPO01000062	7527	7658	+
OG_1077	OLPO01000062	8274	8642	+
OG_834	OLPO01000062	8644	8838	+
OG_839	OLPO01000062	8820	9254	+
OG_166	OLPO01000062	9251	9757	+
OG_841	OLPO01000062	9813	10379	+
OG_1078	OLPO01000062	10376	10753	+
OG_362	OLPO01000062	10840	12234	+
OG_1079	OLPO01000062	12248	12631	+
OG_479	OLPO01000062	15115	15654	+
OG_214	OLPO01000062	15744	16154	+
OG_175	OLPO01000062	16455	16958	+
OG_1725	OLPO01000062	17130	18470	+
OG_717	OLPO01000062	18595	20514	+
OG_338	OLPO01000062	20560	21120	+
OG_448	OLPO01000062	21101	22057	+
OG_770	OLPO01000062	22075	22590	+
OG_306	OLPO01000062	22682	23425	+
OG_416	OLPO01000062	23446	24057	+
OG_323	OLPO01000062	24223	25272	+
OG_1205	OLPO01000062	25269	25850	+
OG_1061	OLPO01000062	25822	26052	+
OG_1062	OLPO01000062	26059	26202	+
OG_74	OLPO01000062	26153	26560	+
OG_904	OLPO01000062	26529	26837	+
OG_908	OLPO01000062	26927	27613	+
OG_1403	OLPO01000062	27610	27774	+
OG_275	OLPO01000062	27774	28769	+
OG_1030	OLPO01000062	28763	29236	+
OG_130	OLPO01000062	29291	33433	-
OG_62	OLPO01000062	33436	48105	-
OG_125	OLPO01000062	48109	49944	-
OG_445	OLPO01000062	49947	51848	-
OG_408	OLPO01000062	51850	55974	-
OG_583	OLPO01000062	55974	56939	-
OG_351	OLPO01000062	56947	57405	-
OG_456	OLPO01000062	57392	58048	-
OG_231	OLPO01000062	58038	58322	-
OG_322	OLPO01000062	58324	60426	-
OG_305	OLPO01000062	60436	61173	-
OG_1156	OLPO01000062	61170	61628	-
OG_70	OLPO01000062	61628	62137	-
OG_304	OLPO01000062	62191	62754	-
OG_352	OLPO01000062	62821	63231	-
OG_268	OLPO01000062	63249	64184	-
OG_319	OLPO01000062	64222	64755	-
OG_319	OLPO01000062	64803	64964	-
OG_191	OLPO01000062	65013	65612	-
OG_679	OLPO01000062	65614	66159	-
OG_71	OLPO01000062	66332	67435	-
OG_71	OLPO01000062	67420	67572	-
OG_70	OLPO01000062	67575	68576	-
OG_169	OLPO01000062	68578	69222	-
OG_70	OLPO01000062	69320	73468	-
OG_201	OLPO01000062	73470	73874	-
OG_300	OLPO01000062	73878	78059	-
OG_419	OLPO01000062	78061	78360	-
OG_812	OLPO01000062	78335	78604	-
OG_1149	OLPO01000062	78682	79674	-
OG_439	OLPO01000062	79790	80491	-
OG_439	OLPO01000062	80494	81177	-
OG_462	OLPO01000062	81200	81907	-
OG_446	OLPO01000062	81910	82662	-
OG_253	OLPO01000062	82678	83304	-
OG_1038	OLPO01000062	83368	84468	-
OG_317	OLPO01000062	84629	85228	-
OG_1038	OLPO01000062	85331	85705	-
OG_106	OLPO01000062	85729	86919	-
OG_229	OLPO01000062	86937	87149	-
OG_288	OLPO01000062	87155	88441	-
OG_253	OLPO01000062	88442	89098	-
OG_599	OLPO01000062	89095	89532	-
OG_47	OLPO01000062	89552	92116	-
OG_64	OLPO01000062	92139	94211	-
OG_1065	OLPO01000062	94213	94404	-
OG_396	OLPO01000062	94474	95004	-
OG_210	OLPO01000062	95004	95345	-
OG_4765	OLPO01000062	95347	95505	-
OG_211	OLPO01000062	95450	95950	-
OG_1469	OLPO01000062	95952	96119	-
OG_447	OLPO01000062	96104	96775	-
OG_427	OLPO01000062	96724	97182	-
OG_750	OLPO01000062	97154	97366	-
OG_818	OLPO01000062	97344	97733	-
OG_822	OLPO01000062	97714	98097	-
OG_752	OLPO01000062	98090	98497	-
OG_1755	OLPO01000062	98499	98759	-
OG_751	OLPO01000062	98914	99291	-
OG_866	OLPO01000062	99352	99570	-
