GeneID	Chr	Start	End	Strand
OG_367	OGTB01000008	2	4069	-
OG_2696	OGTB01000008	4069	4311	-
OG_2555	OGTB01000008	4311	4853	-
OG_981	OGTB01000008	4866	5360	-
OG_2578	OGTB01000008	5360	5563	-
OG_30	OGTB01000008	5860	5985	-
OG_288	OGTB01000008	5994	6824	-
OG_813	OGTB01000008	6821	7201	-
OG_229	OGTB01000008	7189	7488	-
OG_2577	OGTB01000008	7650	8408	+
OG_429	OGTB01000008	8395	9267	+
OG_1215	OGTB01000008	9354	9623	+
OG_951	OGTB01000008	9636	10187	+
OG_949	OGTB01000008	10187	10411	+
OG_29	OGTB01000008	10411	11238	+
OG_396	OGTB01000008	11241	11816	+
OG_64	OGTB01000008	11819	14095	+
OG_948	OGTB01000008	14037	14348	+
OG_47	OGTB01000008	14326	16527	+
OG_947	OGTB01000008	16527	17285	+
OG_22	OGTB01000008	17442	19211	+
OG_343	OGTB01000008	19217	20608	+
OG_70	OGTB01000008	20589	22190	+
OG_291	OGTB01000008	22205	23281	+
OG_70	OGTB01000008	23290	24273	+
OG_291	OGTB01000008	24292	26247	+
OG_70	OGTB01000008	26313	27761	+
OG_37	OGTB01000008	27941	28645	+
OG_1616	OGTB01000008	28723	29208	+
OG_31	OGTB01000008	29210	29650	+
OG_1618	OGTB01000008	29650	29982	+
OG_1156	OGTB01000008	29997	30449	+
OG_152	OGTB01000008	30449	32467	+
OG_10	OGTB01000008	32595	33707	+
OG_1041	OGTB01000008	33725	35146	+
OG_391	OGTB01000008	35238	36113	+
OG_439	OGTB01000008	36113	37069	+
OG_21	OGTB01000008	37081	38121	+
OG_9	OGTB01000008	38186	38863	+
OG_253	OGTB01000008	38863	39594	+
OG_582	OGTB01000008	39620	40279	+
OG_943	OGTB01000008	40221	40721	+
OG_944	OGTB01000008	40702	41295	+
OG_432	OGTB01000008	41298	44729	+
OG_408	OGTB01000008	44731	49503	+
OG_8	OGTB01000008	49496	51202	+
OG_7	OGTB01000008	51199	51765	+
OG_79	OGTB01000008	51818	52600	+
OG_942	OGTB01000008	52608	52928	+
OG_63	OGTB01000008	52997	57760	+
OG_941	OGTB01000008	57751	59583	+
OG_421	OGTB01000008	59585	68488	+
OG_62	OGTB01000008	68494	78258	+
OG_24	OGTB01000008	78260	80674	+
OG_335	OGTB01000008	80674	85200	+
OG_248	OGTB01000008	85259	85975	-
OG_2554	OGTB01000008	85972	86154	-
OG_2553	OGTB01000008	86141	86392	-
OG_1656	OGTB01000008	86394	87299	-
OG_2597	OGTB01000008	87286	88023	-
OG_2596	OGTB01000008	87998	88243	-
OG_1658	OGTB01000008	88230	88775	-
OG_677	OGTB01000008	88772	89326	-
OG_674	OGTB01000008	89354	89929	-
OG_2574	OGTB01000008	89920	90177	-
OG_32	OGTB01000008	90174	91277	-
OG_2594	OGTB01000008	91270	92250	-
OG_675	OGTB01000008	92247	93410	-
OG_2570	OGTB01000008	93407	93703	-
OG_44	OGTB01000008	93694	94272	-
OG_2569	OGTB01000008	94276	94503	-
OG_908	OGTB01000008	94508	95212	-
OG_2568	OGTB01000008	95203	95445	-
OG_2567	OGTB01000008	95448	95699	-
OG_1824	OGTB01000008	95696	95950	-
OG_2566	OGTB01000008	95931	96218	-
OG_830	OGTB01000008	96206	96433	-
OG_1825	OGTB01000008	96426	96638	-
OG_2565	OGTB01000008	96635	97042	-
OG_2181	OGTB01000008	97048	97257	-
OG_1205	OGTB01000008	97238	97837	-
OG_2643	OGTB01000008	97839	98360	-
OG_2564	OGTB01000008	98305	98637	-
OG_312	OGTB01000008	98600	99547	-
OG_2639	OGTB01000008	99513	99725	-
OG_2563	OGTB01000008	99725	100132	-
OG_2562	OGTB01000008	100119	100589	-
OG_417	OGTB01000008	100591	102729	-
OG_603	OGTB01000008	102726	102950	-
OG_53	OGTB01000008	103011	103634	-
OG_2561	OGTB01000008	103621	103833	-
OG_2593	OGTB01000008	103811	104125	-
OG_2519	OGTB01000008	104118	104294	-
OG_1159	OGTB01000008	104294	105220	-
OG_620	OGTB01000008	105220	105618	-
OG_1229	OGTB01000008	105615	106391	-
OG_2595	OGTB01000008	106391	106651	-
OG_2560	OGTB01000008	106671	107021	-
OG_2516	OGTB01000008	106990	107364	-
OG_3	OGTB01000008	107361	108749	-
OG_2559	OGTB01000008	108777	108980	-
OG_1	OGTB01000008	108998	109300	-
OG_2558	OGTB01000008	109294	109491	-
OG_2557	OGTB01000008	109488	109739	-
OG_245	OGTB01000008	109742	110950	-
OG_2637	OGTB01000008	110943	111101	-
OG_2556	OGTB01000008	111113	111334	-
OG_211	OGTB01000008	111331	111867	-
OG_2502	OGTB01000008	111848	112372	-
OG_2636	OGTB01000008	112366	112764	-
OG_434	OGTB01000008	112770	114134	-
OG_433	OGTB01000008	114131	114712	-
OG_36	OGTB01000008	114705	116771	-
OG_1268	OGTB01000008	116775	117530	-
OG_79	OGTB01000008	117545	118696	-
OG_253	OGTB01000008	118730	119458	-
OG_27	OGTB01000008	119539	121113	-
OG_767	OGTB01000008	121258	121794	-
OG_936	OGTB01000008	122014	122235	-
OG_20	OGTB01000008	122238	122630	-
OG_275	OGTB01000008	122602	123639	-
OG_472	OGTB01000008	123632	124135	-
OG_2500	OGTB01000008	124155	124376	-
OG_932	OGTB01000008	124488	124883	-
OG_323	OGTB01000008	124862	125866	-
OG_57	OGTB01000008	125914	126597	-
OG_931	OGTB01000008	126610	127170	-
OG_1097	OGTB01000008	127167	127859	-
OG_448	OGTB01000008	127864	128955	-
OG_17	OGTB01000008	128952	129533	-
OG_2592	OGTB01000008	129629	129823	-
OG_2634	OGTB01000008	129914	130114	-
OG_218	OGTB01000008	130114	131388	-
